Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
EFCAB2,Dynein regulatory complex protein 8,Chapter I Certain infectious and parasitic diseases,Other viral diseases,20106,63,2.10 [1.20-3.67],0.0090561276929989
EFCAB2,Dynein regulatory complex protein 8,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",20098,55,2.20 [1.22-3.95],0.0083283582441873
EFCAB2,Dynein regulatory complex protein 8,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",15715,46,0.25 [0.10-0.63],0.0032497128186943
EFCAB2,Dynein regulatory complex protein 8,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,14713,39,2.27 [1.14-4.52],0.0189733631398623
EFCAB2,Dynein regulatory complex protein 8,Chapter V Mental and behavioural disorders,Depression or dysthymia,16589,162,1.50 [1.01-2.24],0.0469665920412055
EFCAB2,Dynein regulatory complex protein 8,Chapter VI Diseases of the nervous system,Epilepsy,18759,139,0.54 [0.33-0.90],0.0169915370537379
EFCAB2,Dynein regulatory complex protein 8,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,19846,41,3.12 [1.68-5.79],0.0003300726022149
EFCAB2,Dynein regulatory complex protein 8,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2196,41,3.67 [1.73-7.82],0.0007363904296502
EFCAB2,Dynein regulatory complex protein 8,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",17691,41,3.04 [1.62-5.70],0.0005339928664466
EFCAB2,Dynein regulatory complex protein 8,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",17903,1366,0.85 [0.72-1.00],0.0460855702741822
EFCAB2,Dynein regulatory complex protein 8,Chapter IX Diseases of the circulatory system,Angina pectoris,17289,752,0.67 [0.54-0.84],0.0004387930618849
EFCAB2,Dynein regulatory complex protein 8,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,10026,113,0.55 [0.31-0.98],0.0420383978987523
EFCAB2,Dynein regulatory complex protein 8,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,15921,112,0.41 [0.23-0.74],0.002824058796661
EFCAB2,Dynein regulatory complex protein 8,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,15779,1728,1.15 [1.00-1.32],0.0470769562426495
EFCAB2,Dynein regulatory complex protein 8,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,16181,649,1.27 [1.03-1.57],0.0267216179758335
EFCAB2,Dynein regulatory complex protein 8,Chapter XI Diseases of the digestive system,Other diseases of peritoneum,19844,31,2.44 [1.13-5.26],0.0228379916290796
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,14948,3016,1.13 [1.01-1.26],0.0378879936400276
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,18285,921,1.22 [1.02-1.46],0.0278866765453546
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,15308,895,1.22 [1.01-1.47],0.0367618301295424
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,14902,489,1.32 [1.03-1.67],0.0253818644358249
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,17694,44,0.35 [0.14-0.90],0.0290766667969868
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other intervertebral disc disorders,17851,201,1.44 [1.00-2.07],0.0474661128114758
EFCAB2,Dynein regulatory complex protein 8,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,17527,163,1.62 [1.10-2.40],0.0146589289122937
