Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
HRAS,GTPase Hras,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12919,658,1.08 [1.01-1.16],0.0348367468445867
HRAS,GTPase Hras,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",20094,31,1.34 [1.10-1.65],0.0046066641645185
HRAS,GTPase Hras,Chapter II Neoplasms,"Haemangioma, any site",20097,31,1.34 [1.10-1.65],0.0045996681772256
HRAS,GTPase Hras,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19189,92,1.19 [1.03-1.39],0.0225895596127528
HRAS,GTPase Hras,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,14688,39,1.35 [1.12-1.62],0.0015325199256904
HRAS,GTPase Hras,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,18368,68,1.19 [1.00-1.43],0.0493928745375353
HRAS,GTPase Hras,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",20037,68,1.23 [1.03-1.47],0.021957416854281
HRAS,GTPase Hras,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",16632,68,1.20 [1.00-1.44],0.0441270044360975
HRAS,GTPase Hras,Chapter VI Diseases of the nervous system,Other sleep disorders,18783,195,1.14 [1.01-1.28],0.0311156366159423
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,19332,195,1.15 [1.02-1.28],0.0185384832631332
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,19812,41,1.26 [1.02-1.55],0.0305424905126354
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2191,41,1.28 [1.03-1.59],0.0258074027627438
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",17662,41,1.25 [1.01-1.55],0.0407880068149516
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,19600,78,1.24 [1.05-1.45],0.008847848736364
HRAS,GTPase Hras,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified glaucoma,19564,42,1.33 [1.11-1.60],0.0022665743219659
HRAS,GTPase Hras,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,15755,1724,1.06 [1.01-1.11],0.0206282714089918
HRAS,GTPase Hras,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,19420,565,1.09 [1.01-1.17],0.0254106861913209
HRAS,GTPase Hras,Chapter X Diseases of the respiratory system,Deviated nasal septum,19050,195,1.15 [1.02-1.28],0.0211558976589808
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Dental caries,19531,98,1.19 [1.02-1.38],0.0233708705866067
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Functional dyspepsia,15463,241,1.14 [1.03-1.26],0.0131953508983539
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,19428,514,1.10 [1.02-1.19],0.0149073811477551
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Crohn's disease NAS,18964,50,1.22 [1.00-1.48],0.0496465247836381
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,19306,392,1.11 [1.01-1.20],0.0221458099164479
HRAS,GTPase Hras,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,19304,390,1.10 [1.00-1.20],0.0396290290126535
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,14923,3012,1.06 [1.02-1.10],0.0049120687639209
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,16165,1779,1.09 [1.04-1.14],0.0002340264116333
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,14727,341,1.22 [1.12-1.32],4.616305770262289e-06
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,15281,895,1.08 [1.01-1.15],0.0162892296804399
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",17351,895,1.08 [1.01-1.15],0.0228052444343666
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,14497,111,1.21 [1.04-1.40],0.0115524498413742
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",19363,107,1.21 [1.05-1.39],0.0093252303401582
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,14522,136,1.23 [1.08-1.39],0.0014411358672027
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,14875,489,1.12 [1.04-1.21],0.0039005781681845
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,14629,243,1.13 [1.01-1.26],0.0295381550240862
HRAS,GTPase Hras,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,17404,72,1.22 [1.03-1.44],0.0227365096313918
HRAS,GTPase Hras,Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,17383,1069,1.07 [1.01-1.13],0.0236554014900994
HRAS,GTPase Hras,Chapter XIV Diseases of the genitourinary system,Acute renal failure,17970,52,1.27 [1.05-1.53],0.0123478983568149
HRAS,GTPase Hras,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,17938,316,1.11 [1.01-1.23],0.0241955628959576
