Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,17062,694,1.12 [1.00-1.26],0.04558502560827
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",15455,62,1.51 [1.25-1.81],1.557063559814621e-05
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter II Neoplasms,Other benign neoplasms of skin,19720,111,1.28 [1.04-1.57],0.0172286130265072
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,19624,50,1.33 [1.01-1.76],0.0411801263056803
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,14448,39,1.39 [1.08-1.80],0.0109461803977503
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",16595,297,1.21 [1.02-1.42],0.0250970896576295
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter V Mental and behavioural disorders,Smoking dependency,18086,72,1.34 [1.05-1.72],0.019610015140573
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,19192,62,1.30 [1.01-1.68],0.0440488887803888
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,18989,396,0.78 [0.61-1.00],0.0460373912006397
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,18993,87,1.34 [1.12-1.61],0.0014387133096132
PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Chapter VI Diseases of the nervous system,Falls/tendency to fall,18079,456,0.76 [0.61-0.96],0.0227427611760362
