Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,17819,111,1.30 [1.07-1.58],0.0094939659208127
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,17808,100,1.31 [1.06-1.60],0.0110525908041768
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",16809,215,1.18 [1.01-1.39],0.0431163454214274
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter V Mental and behavioural disorders,Depression or dysthymia,16589,162,1.22 [1.02-1.46],0.0282504621903282
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter V Mental and behavioural disorders,Other anxiety disorders,19347,45,1.39 [1.05-1.83],0.0223460807313542
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of eyelid, lacrimal system and orbit",19687,265,1.17 [1.02-1.36],0.0298138520281291
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,19573,151,1.21 [1.01-1.46],0.0423599829331154
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,18986,266,1.16 [1.00-1.34],0.0447270450655149
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter IX Diseases of the circulatory system,Secondary right heart disease,19423,79,1.27 [1.00-1.61],0.0479877827635383
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,10427,514,1.13 [1.00-1.27],0.0433379848591192
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,18034,734,1.11 [1.01-1.22],0.0234479148497119
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter X Diseases of the respiratory system,Interstitial lung disease,19170,75,1.29 [1.01-1.64],0.0409753360046473
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",19879,75,1.29 [1.01-1.64],0.0395436101567251
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XI Diseases of the digestive system,Dental caries,19567,98,1.36 [1.12-1.65],0.002063950636204
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",19192,301,1.19 [1.05-1.36],0.0087147109279121
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XI Diseases of the digestive system,Cholelithiasis,19108,217,1.21 [1.04-1.41],0.0134148062863902
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies,17688,38,0.42 [0.22-0.81],0.0091369372783036
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,17456,92,1.35 [1.10-1.65],0.0043207357433293
PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,15531,1943,1.09 [1.02-1.16],0.0119103371106295
