Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19805,805,1.21 [1.09-1.33],0.000196868668843
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19184,235,1.23 [1.03-1.48],0.0211783821084567
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,21963,136,1.30 [1.05-1.60],0.0161118809068583
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14816,801,1.27 [1.14-1.41],1.3744301404804433e-05
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,19879,88,1.32 [1.01-1.72],0.0442113743863278
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21947,82,1.35 [1.03-1.75],0.0269102315446225
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21806,386,1.28 [1.12-1.46],0.0002795558864657
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21570,150,1.30 [1.06-1.59],0.0118787464871181
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21681,261,1.29 [1.10-1.52],0.0014700303307153
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20469,545,1.17 [1.03-1.32],0.0157221677276153
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23129,73,1.39 [1.06-1.81],0.017053544783021
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23078,33,0.75 [0.75-0.75],0.0
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19430,494,1.19 [1.05-1.35],0.0080947527708863
SFTPA1,Pulmonary surfactant-associated protein A1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,18133,1411,1.09 [1.00-1.19],0.0435462900210414
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21827,159,1.43 [1.19-1.72],0.0001133197469908
SFTPA1,Pulmonary surfactant-associated protein A1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",16820,98,1.35 [1.06-1.71],0.0148067947173482
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,Any mental disorder,19637,667,1.27 [1.14-1.42],1.835046674451637e-05
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",19301,331,1.38 [1.19-1.59],2.19873469426657e-05
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",22604,255,1.28 [1.08-1.50],0.0032436171546614
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,21104,76,1.47 [1.14-1.91],0.0035676798213122
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",23015,76,1.39 [1.07-1.79],0.0120613476651424
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",19046,76,1.49 [1.14-1.93],0.0029214093143847
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter V Mental and behavioural disorders,Smoking dependency,21131,80,1.41 [1.06-1.87],0.019414328451509
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20494,1637,1.10 [1.02-1.20],0.0187365388843395
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,Secondary right heart disease,22270,83,1.45 [1.15-1.84],0.0018834079624828
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,22272,85,1.46 [1.16-1.84],0.0012881596422197
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",14184,79,1.42 [1.11-1.82],0.0050977536465502
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,11911,587,1.21 [1.07-1.38],0.0033433275073523
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,"Heart failure, strict",21883,306,1.23 [1.06-1.44],0.0080666272334315
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,21854,141,1.37 [1.12-1.67],0.00223988227175
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,18049,1950,1.18 [1.10-1.27],4.194442066698163e-06
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,21092,245,1.32 [1.12-1.56],0.0008177402918676
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",21055,208,1.29 [1.08-1.55],0.0056931687828523
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,22214,269,1.34 [1.15-1.56],0.0001550606896642
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,22211,266,1.35 [1.16-1.57],9.714497506466626e-05
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,20699,820,1.15 [1.04-1.28],0.007472380642203
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Early onset COPD,21879,190,1.35 [1.13-1.62],0.0012027242611038
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",21909,220,1.38 [1.17-1.63],0.0001438406822795
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",21909,220,1.38 [1.17-1.63],0.0001438406822795
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,22742,95,1.69 [1.40-2.04],2.845688886284753e-08
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Interstitial lung disease,22021,75,1.79 [1.48-2.17],2.2574783729558682e-09
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",22823,75,1.80 [1.49-2.18],1.7155422299438283e-09
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,22014,68,1.71 [1.39-2.11],4.350261128241509e-07
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Other diseases of pleura,21052,275,1.30 [1.12-1.52],0.0006487581693892
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,21822,122,1.42 [1.15-1.74],0.000948177331602
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",19361,1948,1.09 [1.01-1.17],0.0297578093522119
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),18182,769,1.14 [1.02-1.27],0.0178918376969222
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",21861,126,0.71 [0.50-1.00],0.0491799749502257
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,Other diseases of biliary tract,21718,33,1.50 [1.05-2.14],0.0250311309764186
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,Acute pancreatitis,21754,69,1.41 [1.08-1.85],0.0117755649790487
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XI Diseases of the digestive system,Acute pancreatitis (for exclusion),22972,69,1.41 [1.08-1.84],0.0128586330036046
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,17088,3461,1.08 [1.02-1.15],0.0143182639319873
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthrosis,16554,54,1.49 [1.10-2.00],0.0091424193465255
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,19985,86,1.31 [1.00-1.71],0.0488304102590822
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,20079,180,1.24 [1.02-1.51],0.0281462893321953
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,20426,304,1.39 [1.21-1.59],2.842816267196279e-06
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,20452,72,1.53 [1.20-1.93],0.0004541466155581
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,20471,91,1.46 [1.17-1.83],0.0010438002565224
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,20473,93,1.46 [1.17-1.83],0.0008364272818913
SFTPA1,Pulmonary surfactant-associated protein A1,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,22627,76,1.37 [1.05-1.79],0.0209826311366487
