Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16864,44,1.74 [1.04-2.91],0.0333349667130168
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter II Neoplasms,Other benign neoplasms of skin,19837,107,0.39 [0.20-0.74],0.0041482721940544
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,15341,77,1.68 [1.12-2.53],0.0125231492883249
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,19855,56,1.78 [1.14-2.79],0.0117346363600452
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,Epilepsy,18539,139,0.55 [0.31-0.96],0.0348704159853531
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,Other sleep disorders,18590,190,1.42 [1.02-1.98],0.0391542973622344
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,Sleep apnoea,19338,151,1.53 [1.08-2.17],0.0166957322379388
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter VI Diseases of the nervous system,Other neurological diseases,19532,100,0.51 [0.26-0.98],0.0444500946180727
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),18845,132,1.58 [1.11-2.26],0.0114995845885598
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter IX Diseases of the circulatory system,DVT of lower extremities,18829,116,1.51 [1.02-2.24],0.039848313937052
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter IX Diseases of the circulatory system,"!Phlebitis/thrombophlebitis venae iliacae [externae/internae/communis], drug-induced",19751,109,1.60 [1.08-2.35],0.0182728676617296
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,15199,977,1.19 [1.01-1.41],0.0395839845276776
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Hallux rigidus,14243,21,1.91 [1.02-3.56],0.0425793218979103
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIV Diseases of the genitourinary system,Neuromuscular dysfunction of bladder,17502,58,1.69 [1.03-2.76],0.036173282612334
