Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,20258,820,1.32 [1.17-1.48],7.208545267621741e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15122,815,1.61 [1.42-1.83],9.750769546386765e-14
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20346,90,2.15 [1.58-2.92],1.2558307386687611e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20933,565,1.68 [1.46-1.92],2.8168625381263114e-13
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22114,257,1.79 [1.47-2.18],7.106139276232681e-09
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22114,257,1.79 [1.47-2.18],7.106139276232681e-09
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19889,512,1.49 [1.29-1.73],7.964911590371289e-08
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20897,145,2.06 [1.60-2.65],1.6096911531607473e-08
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,20882,130,1.98 [1.51-2.59],6.333267084651657e-07
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,21449,697,1.38 [1.21-1.58],1.98796525059915e-06
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,23283,70,2.85 [2.05-3.97],4.727060771317455e-10
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2601,70,2.53 [1.79-3.57],1.424209865450545e-07
CD40,Tumor necrosis factor receptor superfamily member 5,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20752,70,3.04 [2.15-4.31],3.863656165896159e-10
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15979,3751,1.20 [1.11-1.29],2.036168584642792e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter IX Diseases of the circulatory system,"Hypertension, essential",16870,2454,1.28 [1.18-1.39],4.979325180951419e-09
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter IX Diseases of the circulatory system,Hypertension,16916,2500,1.31 [1.21-1.42],1.6194382584602202e-10
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14526,110,3.05 [2.30-4.06],1.22311546914055e-14
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,18469,2012,1.33 [1.23-1.45],2.9607803012482285e-12
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,21176,856,1.39 [1.24-1.56],3.012610753065518e-08
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",22412,228,1.69 [1.36-2.10],1.7882469345956455e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",22412,228,1.69 [1.36-2.10],1.7882469345956455e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,Asthma,16096,665,1.38 [1.21-1.58],2.3914363869959207e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",15748,665,1.38 [1.21-1.58],2.205011867301504e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",16086,655,1.38 [1.21-1.58],2.6763864608582755e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,22330,126,1.87 [1.43-2.45],6.301435610679007e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,15761,5600,1.16 [1.09-1.23],1.5182295922903624e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,22827,602,1.44 [1.25-1.65],1.909267887416323e-07
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,17470,3528,1.17 [1.09-1.25],4.176922295172279e-06
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,16961,90,2.63 [1.92-3.60],1.4601293106410507e-09
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,17282,411,1.61 [1.37-1.90],1.509627356178768e-08
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",23419,87,2.51 [1.85-3.40],3.744403649030198e-09
CD40,Tumor necrosis factor receptor superfamily member 5,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,23424,77,2.78 [2.03-3.81],1.7151594662663126e-10
