Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19916,805,1.71 [1.52-1.92],2.6668200453896e-19
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19301,236,2.19 [1.79-2.69],3.52512012223566e-14
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22078,141,1.70 [1.32-2.20],3.779216914301277e-05
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14887,802,1.82 [1.61-2.07],1.2996110513747927e-20
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22037,100,1.59 [1.17-2.16],0.0030502415211722
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20007,89,2.49 [1.87-3.32],3.733328892400241e-10
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23073,99,1.60 [1.17-2.18],0.003127509304707
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23083,67,1.31 [0.87-1.97],0.1886307355191149
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,19588,52,3.22 [2.30-4.52],1.204356330120724e-11
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,22108,117,1.90 [1.48-2.46],7.448806680679774e-07
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22074,83,2.24 [1.72-2.93],2.697307152449927e-09
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23159,59,1.13 [0.72-1.79],0.593260443191298
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23183,60,1.93 [1.36-2.72],0.0002078274976766
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23176,53,1.88 [1.29-2.73],0.0009901066701237
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Mycoses,22849,41,1.81 [1.14-2.86],0.0111170093896349
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21926,380,1.64 [1.40-1.93],1.4768110526125932e-09
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21695,149,2.00 [1.61-2.49],6.708448715576069e-10
PTN,Pleiotrophin,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21804,258,1.48 [1.22-1.81],0.0001065003877012
PTN,Pleiotrophin,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",18116,77,1.42 [0.98-2.05],0.0610633256133469
