Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SWAP70,Switch-associated protein 70,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22114,794,1.29 [1.09-1.53],0.0027952194560285
SWAP70,Switch-associated protein 70,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,17520,437,1.36 [1.08-1.71],0.008362984152172
SWAP70,Switch-associated protein 70,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22825,71,1.95 [1.36-2.80],0.0003096087542721
SWAP70,Switch-associated protein 70,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23918,98,1.71 [1.19-2.47],0.0039265066899371
SWAP70,Switch-associated protein 70,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,21489,627,1.44 [1.20-1.73],9.566102012580568e-05
SWAP70,Switch-associated protein 70,Chapter V Mental and behavioural disorders,Any mental disorder,21258,681,1.30 [1.07-1.57],0.0072137463432387
SWAP70,Switch-associated protein 70,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",20845,268,1.55 [1.18-2.03],0.0015809339733959
SWAP70,Switch-associated protein 70,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",24146,201,1.58 [1.18-2.12],0.0023879647517778
SWAP70,Switch-associated protein 70,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",24199,145,1.70 [1.22-2.35],0.0015200484908219
SWAP70,Switch-associated protein 70,Chapter V Mental and behavioural disorders,Alcohol dependence,22778,86,1.82 [1.23-2.70],0.002691255073924
SWAP70,Switch-associated protein 70,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,19135,1746,1.22 [1.07-1.38],0.0032257134260565
SWAP70,Switch-associated protein 70,Chapter IX Diseases of the circulatory system,"Hypertension, essential",20063,1166,1.27 [1.09-1.47],0.0024672059121768
SWAP70,Switch-associated protein 70,Chapter IX Diseases of the circulatory system,Hypertension,20079,1182,1.24 [1.07-1.45],0.0049942841929186
SWAP70,Switch-associated protein 70,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20746,1730,1.32 [1.18-1.49],4.0697192037922965e-06
SWAP70,Switch-associated protein 70,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,24353,56,1.91 [1.25-2.91],0.0026925405051072
SWAP70,Switch-associated protein 70,Chapter X Diseases of the respiratory system,Other diseases of pleura,23415,165,1.57 [1.16-2.13],0.0036183019757382
SWAP70,Switch-associated protein 70,Chapter XII Diseases of the skin and subcutaneous tissue,Seborrhoeic keratosis,23138,59,0.35 [0.16-0.77],0.0097984155333401
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,18984,3102,1.16 [1.05-1.29],0.0036215942462476
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,20391,1652,1.21 [1.07-1.38],0.0030464227012557
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,18849,110,1.67 [1.18-2.36],0.0038833872618348
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,19047,308,1.51 [1.19-1.93],0.0008806043563771
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",24224,105,1.65 [1.15-2.36],0.0067815296225019
SWAP70,Switch-associated protein 70,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,24236,93,1.77 [1.24-2.53],0.0017369384069304
SWAP70,Switch-associated protein 70,Chapter XIV Diseases of the genitourinary system,Urolithiasis,24199,207,1.53 [1.15-2.03],0.0037785313931261
