Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
BIN2,Bridging integrator 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25581,142,0.84 [0.71-0.99],0.0378276330990261
BIN2,Bridging integrator 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13760,292,0.88 [0.78-0.99],0.0332593199401883
BIN2,Bridging integrator 2,Chapter II Neoplasms,Benign neoplasm: Rectum,28031,46,1.36 [1.03-1.80],0.0281910758120714
BIN2,Bridging integrator 2,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27877,228,0.87 [0.76-0.99],0.033200950212699
BIN2,Bridging integrator 2,Chapter V Mental and behavioural disorders,Alcohol dependence,26329,96,0.75 [0.61-0.92],0.0061180457737134
BIN2,Bridging integrator 2,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,27990,39,0.65 [0.47-0.90],0.0086815147489124
BIN2,Bridging integrator 2,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26788,572,0.89 [0.82-0.97],0.0072492575226033
BIN2,Bridging integrator 2,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,26628,423,0.85 [0.77-0.94],0.0016206870765628
BIN2,Bridging integrator 2,Chapter IX Diseases of the circulatory system,Varicose veins,27392,436,0.89 [0.81-0.98],0.0170699835136963
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Duodenal ulcer,22681,103,0.82 [0.67-1.00],0.0467336645385955
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Other diseases of intestine,21816,184,0.83 [0.72-0.96],0.013739502044713
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Diseases of liver,27570,123,0.73 [0.61-0.88],0.0006909939390973
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Other diseases of liver,27512,65,0.71 [0.55-0.91],0.0069621736343355
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Acute pancreatitis,26589,62,0.71 [0.55-0.92],0.0084926201420419
BIN2,Bridging integrator 2,Chapter XI Diseases of the digestive system,Acute pancreatitis (for exclusion),28141,62,0.71 [0.55-0.91],0.0081995523468942
BIN2,Bridging integrator 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,26184,910,0.93 [0.87-1.00],0.0419228351812708
BIN2,Bridging integrator 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,25331,57,0.75 [0.57-0.98],0.0330154159947976
BIN2,Bridging integrator 2,Chapter XIV Diseases of the genitourinary system,Unspecified/other endometriosis,11527,93,1.36 [1.12-1.65],0.0017658400371698
BIN2,Bridging integrator 2,Chapter XIV Diseases of the genitourinary system,HSIL lesion of the cervix uteri,15655,113,1.21 [1.01-1.45],0.0357848039635389
BIN2,Bridging integrator 2,Chapter XIV Diseases of the genitourinary system,"HSIL lesion of the cervix uteri, vagina or vulva",15646,123,1.20 [1.01-1.42],0.0383408000957132
BIN2,Bridging integrator 2,"Chapter XV Pregnancy, childbirth and the puerperium",Haemorrhage in early pregnancy,15372,125,0.75 [0.62-0.90],0.0018436297381326
BIN2,Bridging integrator 2,"Chapter XV Pregnancy, childbirth and the puerperium",Long labour,14685,231,1.14 [1.00-1.30],0.0479829561812263
BIN2,Bridging integrator 2,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,15599,264,0.87 [0.76-0.98],0.0279253202631781
BIN2,Bridging integrator 2,Chapter VI Diseases of the nervous system,Falls/tendency to fall,26647,525,0.90 [0.83-0.99],0.0220105603957445
