Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CXCL3,C-X-C motif chemokine 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20292,502,0.90 [0.83-0.98],0.0117225815560724
CXCL3,C-X-C motif chemokine 3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26372,79,0.74 [0.61-0.91],0.003359030253388
CXCL3,C-X-C motif chemokine 3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27569,68,0.71 [0.58-0.88],0.0016806884621178
CXCL3,C-X-C motif chemokine 3,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27069,144,0.86 [0.74-0.99],0.0419170003193177
CXCL3,C-X-C motif chemokine 3,Chapter II Neoplasms,Benign neoplasm: Rectum,28027,49,1.42 [1.08-1.87],0.0134245727619413
CXCL3,C-X-C motif chemokine 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26700,339,0.89 [0.81-0.99],0.0273675466184444
CXCL3,C-X-C motif chemokine 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26692,331,0.89 [0.80-0.99],0.0247322109648407
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",24081,297,0.84 [0.75-0.94],0.0015862720429453
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27866,229,0.84 [0.74-0.95],0.004250894088448
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27938,164,0.83 [0.72-0.96],0.0114693059816618
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,26301,84,0.77 [0.64-0.94],0.0084627458079344
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",28194,84,0.78 [0.64-0.94],0.0095024344353787
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",23868,84,0.77 [0.63-0.93],0.0069265281997394
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,Alcohol dependence,26316,99,0.75 [0.63-0.90],0.0019838930067311
CXCL3,C-X-C motif chemokine 3,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",23858,74,0.79 [0.64-0.98],0.030217258874794
CXCL3,C-X-C motif chemokine 3,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,26946,494,0.92 [0.84-1.00],0.0413024735309359
CXCL3,C-X-C motif chemokine 3,Chapter VI Diseases of the nervous system,Epilepsy,26619,167,0.80 [0.70-0.92],0.0015223471969822
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,27983,40,0.71 [0.54-0.93],0.0136121997117778
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,21948,50,0.75 [0.59-0.95],0.0197161934418383
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26776,572,0.87 [0.81-0.94],0.0005286290092008
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Angina pectoris,26557,353,0.85 [0.77-0.94],0.0011409312992321
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27714,263,0.87 [0.78-0.97],0.0157987470826308
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,26617,424,0.88 [0.80-0.96],0.0037448440835138
CXCL3,C-X-C motif chemokine 3,Chapter IX Diseases of the circulatory system,Varicose veins,27380,442,0.90 [0.83-0.98],0.0198046086104654
CXCL3,C-X-C motif chemokine 3,Chapter X Diseases of the respiratory system,Chronic sinusitis,26833,97,1.22 [1.00-1.48],0.0453466049291167
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,24935,604,1.09 [1.01-1.18],0.0231831780314244
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,27410,760,1.07 [1.00-1.15],0.0486268654940132
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,"Ulcerative colitis (strict definition, require KELA, min 2 HDR)",28173,134,1.19 [1.01-1.41],0.034551638824403
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Ulcerative colitis,26784,134,1.20 [1.02-1.41],0.0324873304685869
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",26767,117,1.26 [1.06-1.50],0.0100877175484476
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,27251,601,1.08 [1.00-1.17],0.0498028015432359
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Other diseases of intestine,21774,186,0.85 [0.75-0.97],0.0185006673148896
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Diseases of liver,27555,123,0.76 [0.65-0.89],0.0007255925274636
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Other diseases of liver,27498,66,0.70 [0.56-0.86],0.0008833362224508
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Acute pancreatitis,26580,63,0.77 [0.62-0.97],0.0239485038346177
CXCL3,C-X-C motif chemokine 3,Chapter XI Diseases of the digestive system,Acute pancreatitis (for exclusion),28137,63,0.77 [0.62-0.97],0.0239703773757995
CXCL3,C-X-C motif chemokine 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,27908,154,0.85 [0.73-0.98],0.0239112092747467
CXCL3,C-X-C motif chemokine 3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,26746,210,0.80 [0.71-0.91],0.0004988731914727
CXCL3,C-X-C motif chemokine 3,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,26904,49,0.76 [0.59-0.98],0.0336473561587489
CXCL3,C-X-C motif chemokine 3,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,26769,892,0.93 [0.88-0.99],0.0308582342195811
CXCL3,C-X-C motif chemokine 3,Chapter VI Diseases of the nervous system,Falls/tendency to fall,26638,531,0.91 [0.84-0.98],0.0186258570854463
