Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
DCUN1D1,DCN1-like protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23672,75,1.27 [1.01-1.60],0.0440557342329932
DCUN1D1,DCN1-like protein 1,Chapter II Neoplasms,Melanocytic naevi,23654,208,0.80 [0.65-0.98],0.0352382870073799
DCUN1D1,DCN1-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,22750,367,1.13 [1.00-1.27],0.0451012118920018
DCUN1D1,DCN1-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,23305,141,0.72 [0.54-0.95],0.0221860761697024
DCUN1D1,DCN1-like protein 1,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,23214,76,1.43 [1.17-1.75],0.0004567018996092
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20156,1686,1.10 [1.03-1.17],0.0023188111920446
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,22811,159,1.20 [1.01-1.43],0.0349234528594606
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,23286,193,1.24 [1.07-1.44],0.0054127254451527
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,23285,192,1.24 [1.07-1.44],0.0052332577180408
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Chronic sinusitis,22578,87,1.26 [1.02-1.56],0.0350235385668286
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,21802,766,1.09 [1.00-1.19],0.0467910251107167
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,23669,54,1.38 [1.08-1.77],0.010826149758119
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,22659,41,1.47 [1.12-1.92],0.0053104067760809
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",23725,41,1.45 [1.11-1.90],0.006351980911873
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,22654,36,1.55 [1.18-2.03],0.0017412107930499
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,23103,76,1.37 [1.11-1.69],0.0031510282236371
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Impacted teeth,23777,108,1.23 [1.01-1.49],0.0437298573126639
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,18388,212,1.18 [1.01-1.37],0.0320182773997659
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Constipation,22840,188,1.18 [1.01-1.39],0.0367097120456887
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Diseases of the digestive system,22753,253,1.30 [1.15-1.47],4.52824786819051e-05
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22562,62,1.73 [1.44-2.08],5.091221204477149e-09
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Coeliac disease,22550,50,1.73 [1.41-2.13],1.2065114343330905e-07
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,23482,143,1.22 [1.02-1.46],0.0281575445473299
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,23376,37,1.40 [1.04-1.88],0.0259615384231465
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,20872,93,0.64 [0.44-0.92],0.0174058224545854
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,22622,89,1.28 [1.03-1.59],0.0246695305109379
DCUN1D1,DCN1-like protein 1,Chapter XIV Diseases of the genitourinary system,Other noninflammatory disorders of cervix uteri,9706,58,1.35 [1.06-1.72],0.0159212807230354
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems,13178,719,0.88 [0.78-0.98],0.0251820715412177
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,13186,990,0.86 [0.77-0.95],0.0026126312094928
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Perineal laceration during delivery,12747,551,0.87 [0.77-1.00],0.0418602787536274
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Delivery,13203,280,0.82 [0.69-0.99],0.038713009906926
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,13142,219,0.76 [0.61-0.94],0.0128508060983992
