Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24807,880,1.09 [1.02-1.17],0.0136381404228768
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19722,486,1.13 [1.02-1.24],0.0139764453192303
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25291,792,1.11 [1.03-1.19],0.006123213904358
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,27045,75,1.35 [1.07-1.72],0.0115050798543374
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24120,678,1.13 [1.04-1.23],0.0024976024493502
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,25953,333,1.33 [1.19-1.50],1.345767846344415e-06
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,25945,325,1.35 [1.20-1.51],7.001269879600043e-07
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,23960,518,1.14 [1.04-1.25],0.0040158862024004
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,23916,474,1.13 [1.03-1.25],0.0101668020059923
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,Any mental disorder,23862,743,1.26 [1.17-1.36],4.314601622345017e-09
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",23407,288,1.36 [1.20-1.53],6.782887571923339e-07
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27069,221,1.52 [1.33-1.73],1.185554755056919e-09
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27138,157,1.46 [1.25-1.71],2.6167211345181644e-06
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,25560,82,1.66 [1.33-2.07],8.655507225172011e-06
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",27396,82,1.58 [1.28-1.96],2.774190702779332e-05
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",23201,82,1.67 [1.34-2.09],5.844311848901933e-06
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,Alcohol dependence,25571,93,1.53 [1.24-1.88],5.943132169488569e-05
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",23191,72,1.33 [1.04-1.68],0.0208612326208798
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",23496,377,1.26 [1.13-1.40],2.0983767136309133e-05
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,Depression,25798,325,1.24 [1.11-1.38],0.0001778735788059
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter V Mental and behavioural disorders,Depression or dysthymia,23344,284,1.22 [1.08-1.37],0.0016176413202572
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter VI Diseases of the nervous system,Neurological diseases,24448,1416,1.09 [1.03-1.16],0.0017435945382211
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,26184,483,1.20 [1.09-1.31],0.0001542652429607
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter VI Diseases of the nervous system,Epilepsy,25864,163,1.58 [1.35-1.85],8.669655152006584e-09
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,21531,1922,1.14 [1.08-1.20],7.864352953234313e-07
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter IX Diseases of the circulatory system,"Hypertension, essential",22576,1284,1.20 [1.13-1.27],1.0344103722400024e-08
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter IX Diseases of the circulatory system,Hypertension,22599,1307,1.19 [1.12-1.26],3.943600496887919e-08
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,26934,259,0.86 [0.76-0.98],0.023445431642474
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter IX Diseases of the circulatory system,Varicose veins,26613,432,0.89 [0.80-0.98],0.0210914443546175
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19454,5043,1.09 [1.05-1.12],2.0625170079838666e-06
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",23615,1697,1.08 [1.03-1.14],0.0028355704877779
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,Oesophageal obstruction,21949,31,1.60 [1.10-2.31],0.0131368605715622
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),22538,620,1.11 [1.02-1.21],0.0120655790598101
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,Inguinal hernia,24038,392,0.90 [0.81-1.00],0.0481323150972228
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Chapter XI Diseases of the digestive system,Umbilical hernia,23767,121,1.21 [1.00-1.45],0.0451391843541336
