Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
JPT2,Jupiter microtubule associated homolog 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22825,71,0.77 [0.60-0.99],0.0447205808079647
JPT2,Jupiter microtubule associated homolog 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23881,61,0.70 [0.53-0.92],0.0098184436582085
JPT2,Jupiter microtubule associated homolog 2,Chapter II Neoplasms,Benign neoplasm: Rectum,24278,41,1.45 [1.03-2.04],0.0334284441022424
JPT2,Jupiter microtubule associated homolog 2,Chapter IX Diseases of the circulatory system,Angina pectoris,23007,310,0.87 [0.77-0.99],0.0347593249993201
JPT2,Jupiter microtubule associated homolog 2,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,24000,226,0.86 [0.75-1.00],0.0484048645421133
JPT2,Jupiter microtubule associated homolog 2,Chapter IX Diseases of the circulatory system,Cardiomyopathy,22202,40,0.70 [0.49-0.98],0.0369810269239216
JPT2,Jupiter microtubule associated homolog 2,Chapter IX Diseases of the circulatory system,Varicose veins,23727,383,0.87 [0.78-0.97],0.0121147278090982
JPT2,Jupiter microtubule associated homolog 2,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20746,1730,1.06 [1.00-1.12],0.0390675810361093
JPT2,Jupiter microtubule associated homolog 2,Chapter X Diseases of the respiratory system,Chronic sinusitis,23237,91,1.29 [1.02-1.62],0.0312270263193752
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,23750,664,1.12 [1.03-1.22],0.0073658011122146
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,23621,535,1.14 [1.04-1.25],0.0069152719473353
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,23617,531,1.14 [1.03-1.25],0.008242583999484
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Other diseases of intestine,18877,158,0.79 [0.66-0.94],0.007620963325396
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Diseases of liver,23874,109,0.72 [0.59-0.88],0.0016061701254009
JPT2,Jupiter microtubule associated homolog 2,Chapter XI Diseases of the digestive system,Other diseases of liver,23827,62,0.74 [0.56-0.97],0.0290524887662052
JPT2,Jupiter microtubule associated homolog 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,21904,49,0.71 [0.52-0.97],0.0286618910420852
JPT2,Jupiter microtubule associated homolog 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,21439,56,1.37 [1.02-1.84],0.0354805633306723
JPT2,Jupiter microtubule associated homolog 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other soft tissue disorders, not elsewhere classified",21773,390,1.12 [1.00-1.26],0.0425722811159538
JPT2,Jupiter microtubule associated homolog 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,21584,201,1.22 [1.04-1.42],0.012258025770016
JPT2,Jupiter microtubule associated homolog 2,Chapter XIV Diseases of the genitourinary system,Acute renal failure,23342,30,0.63 [0.43-0.94],0.0231505678850994
JPT2,Jupiter microtubule associated homolog 2,Chapter XIV Diseases of the genitourinary system,"All dysplastic lesions of the cervix uteri, vagina or vulva",13513,182,1.19 [1.01-1.40],0.0348190366474164
JPT2,Jupiter microtubule associated homolog 2,Chapter XIV Diseases of the genitourinary system,All dysplastic lesions of the cervix uteri,13522,175,1.19 [1.01-1.41],0.0358093451198492
JPT2,Jupiter microtubule associated homolog 2,Chapter XIV Diseases of the genitourinary system,Irregular menses,13449,331,1.18 [1.05-1.34],0.0062829362468319
JPT2,Jupiter microtubule associated homolog 2,Chapter XIV Diseases of the genitourinary system,"Excessive, frequent and irregular menstruation",10883,1002,1.10 [1.02-1.18],0.0105543382827594
JPT2,Jupiter microtubule associated homolog 2,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome,13533,395,1.15 [1.02-1.29],0.0185782356407829
JPT2,Jupiter microtubule associated homolog 2,"Chapter XV Pregnancy, childbirth and the puerperium",Medical abortion,13277,139,1.30 [1.07-1.57],0.0070902177990945
