Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
MBL2,Mannose-binding protein C,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,21895,125,1.20 [1.02-1.41],0.0263833642257544
MBL2,Mannose-binding protein C,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",20980,41,1.36 [1.01-1.82],0.0394788108142687
MBL2,Mannose-binding protein C,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",11770,263,1.13 [1.01-1.27],0.0301842237490461
MBL2,Mannose-binding protein C,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,21268,616,0.88 [0.82-0.94],0.0002545177249315
MBL2,Mannose-binding protein C,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,21131,479,0.87 [0.80-0.94],0.0004355043459568
MBL2,Mannose-binding protein C,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,21096,444,0.87 [0.80-0.95],0.0017141066309947
MBL2,Mannose-binding protein C,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",20648,264,1.14 [1.02-1.28],0.0204391628093521
MBL2,Mannose-binding protein C,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,24109,126,0.85 [0.73-0.99],0.0381383100821031
MBL2,Mannose-binding protein C,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,23145,433,1.10 [1.01-1.20],0.0338538009421094
MBL2,Mannose-binding protein C,Chapter VI Diseases of the nervous system,Epilepsy,22857,145,1.19 [1.03-1.38],0.0217811547428201
MBL2,Mannose-binding protein C,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,24022,37,1.36 [1.00-1.84],0.0487539610304088
MBL2,Mannose-binding protein C,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",22976,498,0.91 [0.84-0.99],0.0237663633553423
MBL2,Mannose-binding protein C,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,23771,224,0.89 [0.79-1.00],0.0429554887775816
MBL2,Mannose-binding protein C,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",24204,50,0.71 [0.56-0.90],0.0053805681490685
MBL2,Mannose-binding protein C,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,22840,372,0.90 [0.82-0.99],0.026869309576335
MBL2,Mannose-binding protein C,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20553,1710,1.05 [1.01-1.10],0.0217720043262322
MBL2,Mannose-binding protein C,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,24127,56,1.31 [1.03-1.68],0.029169716460411
MBL2,Mannose-binding protein C,Chapter X Diseases of the respiratory system,Interstitial lung disease,23110,43,1.35 [1.02-1.79],0.0373795511798321
MBL2,Mannose-binding protein C,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",24185,43,1.35 [1.02-1.79],0.036958876563449
MBL2,Mannose-binding protein C,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,23104,37,1.45 [1.06-1.97],0.0191780895463751
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of lip and oral mucosa,23200,54,1.31 [1.02-1.68],0.0357478884760225
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Oral lichen ruber planus,24188,39,1.43 [1.06-1.92],0.0197002009674991
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,19440,99,1.26 [1.05-1.52],0.0128399904482315
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Colonic or urogenital fistula,24124,173,1.19 [1.04-1.36],0.0127307412087647
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Hernia,21889,1047,1.07 [1.01-1.13],0.0145819182439825
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Inguinal hernia,21194,352,1.10 [1.00-1.21],0.0456466174828363
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of intestines,19996,1472,1.05 [1.00-1.10],0.043420650103424
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Fissure and fistula of anal and rectal regions,18685,161,1.21 [1.05-1.39],0.0090334623756692
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of anus and rectum,19229,705,1.09 [1.02-1.16],0.0162434992443732
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of biliary tract,22753,38,1.47 [1.08-1.99],0.0141119733022512
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,Other diseases of the digestive system,23098,160,1.16 [1.01-1.34],0.0369081676719793
MBL2,Mannose-binding protein C,Chapter XI Diseases of the digestive system,GI-bleeding,23093,155,1.17 [1.01-1.35],0.0360927410655185
MBL2,Mannose-binding protein C,Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,24060,63,1.27 [1.01-1.60],0.0372697424961342
MBL2,Mannose-binding protein C,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified disorders of skin and subcutaneous tissue,23012,154,1.20 [1.04-1.39],0.0142593504048793
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,22141,962,0.93 [0.88-0.99],0.017609862914555
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Hallux valgus (acquired),18704,154,0.86 [0.75-0.99],0.0315750961725468
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,22432,805,0.94 [0.88-1.00],0.0426468504073509
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other dorsopathies, not elsewhere classified",22303,676,0.91 [0.85-0.97],0.0051790276582422
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,21677,50,0.74 [0.58-0.95],0.0164788976975136
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervicalgia,21687,60,0.80 [0.64-1.00],0.0470128743528947
MBL2,Mannose-binding protein C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,21272,93,0.83 [0.69-0.99],0.0359177500014028
MBL2,Mannose-binding protein C,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome,13417,388,0.91 [0.83-1.00],0.0498411312504885
MBL2,Mannose-binding protein C,"Chapter XV Pregnancy, childbirth and the puerperium",Medical abortion,13166,137,0.82 [0.71-0.95],0.0095512566304023
MBL2,Mannose-binding protein C,"Chapter XV Pregnancy, childbirth and the puerperium",Prolonged pregnancy,12817,127,0.85 [0.72-0.99],0.0386714041796228
MBL2,Mannose-binding protein C,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,13380,222,0.88 [0.78-1.00],0.0416348330916142
