Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22418,308,1.45 [1.10-1.92],0.0081622135837026
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter VI Diseases of the nervous system,Other sleep disorders,23029,152,1.52 [1.02-2.26],0.0397487169963033
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter VI Diseases of the nervous system,Sleep apnoea,23939,118,1.61 [1.03-2.53],0.0385353042631979
NAP1L4,Nucleosome assembly protein 1-like 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,24263,17,4.06 [1.22-13.53],0.0224371288893779
NAP1L4,Nucleosome assembly protein 1-like 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",22730,17,4.19 [1.25-14.01],0.0200409457374739
NAP1L4,Nucleosome assembly protein 1-like 4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",24063,84,0.51 [0.35-0.75],0.0005920391088598
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,18899,33,0.54 [0.32-0.93],0.0247531504225226
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,23856,120,0.69 [0.47-0.99],0.0469167635422003
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,23961,225,0.72 [0.54-0.95],0.0197916953789714
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter X Diseases of the respiratory system,Other diseases of pleura,23375,165,1.53 [1.05-2.22],0.0272078785233655
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,23727,76,2.03 [1.16-3.56],0.0135700265107174
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,23710,663,1.21 [1.01-1.46],0.0423671325975175
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,23581,534,1.27 [1.03-1.57],0.0235659429422455
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,23577,530,1.28 [1.04-1.58],0.0210946970783554
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,18901,219,1.39 [1.00-1.92],0.0493796899227403
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XII Diseases of the skin and subcutaneous tissue,Seborrhoeic keratosis,23101,59,0.50 [0.32-0.77],0.001872134695739
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,21390,45,2.13 [1.01-4.47],0.0461486762212532
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,21546,201,1.42 [1.00-2.00],0.0469042449625676
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,20714,3840,0.89 [0.82-0.97],0.0064381682638528
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XIV Diseases of the genitourinary system,Other disorders of male genital organs,9674,83,0.60 [0.41-0.87],0.0081537197250137
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter XIV Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,13330,340,0.78 [0.62-0.99],0.0404588945069445
NAP1L4,Nucleosome assembly protein 1-like 4,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome,13515,393,1.29 [1.01-1.66],0.040971661557268
NAP1L4,Nucleosome assembly protein 1-like 4,"Chapter XV Pregnancy, childbirth and the puerperium",Medical abortion,13261,139,1.54 [1.02-2.32],0.0405913374059706
NAP1L4,Nucleosome assembly protein 1-like 4,Chapter VI Diseases of the nervous system,Falls/tendency to fall,23020,449,0.78 [0.64-0.97],0.0219250776799716
