Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PRDX6,Peroxiredoxin-6,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,28419,63,0.60 [0.41-0.88],0.0091118127642245
PRDX6,Peroxiredoxin-6,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24723,49,0.62 [0.40-0.97],0.0377347236462738
PRDX6,Peroxiredoxin-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,26604,184,0.77 [0.60-0.98],0.0308962426063545
PRDX6,Peroxiredoxin-6,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",26608,181,0.75 [0.59-0.96],0.0200753170503138
PRDX6,Peroxiredoxin-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,24898,546,0.83 [0.73-0.94],0.0045340806002046
PRDX6,Peroxiredoxin-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,24852,500,0.84 [0.73-0.96],0.0103658625303943
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,Any mental disorder,24812,777,0.82 [0.73-0.91],0.0003771263361345
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",24336,301,0.80 [0.67-0.96],0.0151186241091921
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",28138,231,0.79 [0.65-0.96],0.0177061126984885
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,26563,85,0.70 [0.50-0.97],0.033515897765681
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",24120,85,0.69 [0.50-0.96],0.0276550789805808
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",24109,74,0.56 [0.39-0.79],0.001130464805299
PRDX6,Peroxiredoxin-6,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",24432,397,0.84 [0.73-0.98],0.0262413169493335
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Transient ischemic attack,28081,39,0.60 [0.37-0.98],0.0427932769813795
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,22361,2002,0.92 [0.85-0.98],0.0163792255889163
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,"Hypertension, essential",23441,1328,0.89 [0.82-0.97],0.0097000154455433
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Hypertension,23466,1353,0.88 [0.81-0.96],0.0033731492497232
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,22164,51,0.64 [0.42-0.98],0.0408847821325328
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",27038,578,0.88 [0.78-1.00],0.0478617894551167
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27976,267,0.81 [0.68-0.97],0.0246386435603808
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",26624,164,0.76 [0.60-0.97],0.0240279602411009
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,26877,428,0.84 [0.73-0.97],0.0176129237908096
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Other arrhythmias,25880,42,1.59 [1.11-2.28],0.0116954703786548
PRDX6,Peroxiredoxin-6,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,25901,63,0.55 [0.37-0.82],0.0028618719844928
PRDX6,Peroxiredoxin-6,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,28390,57,0.54 [0.36-0.82],0.003380301078854
PRDX6,Peroxiredoxin-6,Chapter X Diseases of the respiratory system,Interstitial lung disease,27227,43,0.60 [0.38-0.97],0.034971768789955
PRDX6,Peroxiredoxin-6,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",28453,43,0.61 [0.38-0.97],0.0354798456425708
PRDX6,Peroxiredoxin-6,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,20229,5239,0.94 [0.90-0.98],0.009723701704449
PRDX6,Peroxiredoxin-6,Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,22984,208,0.80 [0.65-0.98],0.0315653906954655
PRDX6,Peroxiredoxin-6,Chapter XI Diseases of the digestive system,Duodenal ulcer,22881,105,0.70 [0.52-0.94],0.0162664718417053
PRDX6,Peroxiredoxin-6,Chapter XI Diseases of the digestive system,Other diseases of intestines,23536,1702,0.91 [0.84-0.98],0.0085576001611929
PRDX6,Peroxiredoxin-6,Chapter XII Diseases of the skin and subcutaneous tissue,Radiation-related disorders of the skin and subcutaneous tissue,28409,35,0.54 [0.32-0.92],0.0228405752240254
PRDX6,Peroxiredoxin-6,Chapter XII Diseases of the skin and subcutaneous tissue,Skin changes due to chronic exposure to nonionizing radiation,28406,32,0.56 [0.32-0.97],0.0391072396706792
PRDX6,Peroxiredoxin-6,Chapter XII Diseases of the skin and subcutaneous tissue,Atrophic disorders of skin,27006,101,0.73 [0.54-0.99],0.0455031129868623
PRDX6,Peroxiredoxin-6,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,21934,47,0.54 [0.34-0.86],0.0087883638953953
PRDX6,Peroxiredoxin-6,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",28185,46,0.59 [0.37-0.93],0.0220021955333317
PRDX6,Peroxiredoxin-6,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,25730,223,0.76 [0.62-0.94],0.0092311970154976
PRDX6,Peroxiredoxin-6,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,26426,919,0.88 [0.80-0.97],0.0117065694130497
PRDX6,Peroxiredoxin-6,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,25646,139,0.74 [0.57-0.96],0.0227251614569024
PRDX6,Peroxiredoxin-6,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,27168,50,0.65 [0.42-1.00],0.0484748983051715
PRDX6,Peroxiredoxin-6,Chapter XIV Diseases of the genitourinary system,Calculus of kidney and ureter,28121,172,0.76 [0.60-0.95],0.0183810595663913
PRDX6,Peroxiredoxin-6,Chapter XIV Diseases of the genitourinary system,Inflammatory disease of cervix uteri,15266,84,0.71 [0.51-0.99],0.0406862223382261
PRDX6,Peroxiredoxin-6,Chapter XIV Diseases of the genitourinary system,Endometriosis,11850,304,1.18 [1.00-1.38],0.0468968886523653
PRDX6,Peroxiredoxin-6,Chapter XIV Diseases of the genitourinary system,Unspecified/other endometriosis,11639,93,1.33 [1.01-1.75],0.0420586558280088
