Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter II Neoplasms,Benign neoplasm of breast,13153,81,1.70 [1.02-2.82],0.0412299586637348
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter IX Diseases of the circulatory system,Pulmonary embolism,23395,75,2.06 [1.27-3.33],0.0032189648148629
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter IX Diseases of the circulatory system,Venous thromboembolism,23394,155,1.61 [1.09-2.38],0.0160959391291304
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Chronic gastritis,19091,96,0.49 [0.26-0.93],0.0292576010676448
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,19096,101,0.54 [0.29-1.00],0.0497046514839085
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,20998,525,0.74 [0.56-0.96],0.025410176482047
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,18388,212,1.44 [1.01-2.07],0.0460937314216191
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Constipation,22840,188,1.51 [1.04-2.21],0.0315512390788957
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22562,62,2.18 [1.31-3.63],0.0026055219295628
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XI Diseases of the digestive system,Coeliac disease,22550,50,1.93 [1.03-3.61],0.0387401194223931
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,18760,581,1.29 [1.02-1.63],0.0320629535542882
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",20967,581,1.30 [1.03-1.63],0.0260507720910891
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,18376,197,1.55 [1.06-2.26],0.0222419665292481
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified soft tissue disorders,20910,131,0.54 [0.32-0.93],0.0260160671771187
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIV Diseases of the genitourinary system,Acute renal failure,22703,33,0.33 [0.11-0.97],0.0442109382193487
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIV Diseases of the genitourinary system,Calculus of kidney and ureter,23453,136,0.54 [0.31-0.91],0.021696361348548
RANBP2,E3 SUMO-protein ligase RanBP2,Chapter XIV Diseases of the genitourinary system,Menorrhagia,10309,661,1.26 [1.01-1.57],0.037925188261582
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,13186,990,0.76 [0.62-0.95],0.0132941583660154
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome,13179,374,0.69 [0.50-0.94],0.0206324977845951
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Other abnormal products of conception,12910,105,0.45 [0.25-0.82],0.0096752182397531
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care for other known or suspected fetal problems,12659,200,0.61 [0.39-0.94],0.0266917896988281
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Premature rupture of membranes,12580,121,0.54 [0.31-0.96],0.0349138952217681
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Perineal laceration during delivery,12747,551,0.74 [0.56-0.98],0.0332882542474667
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Delivery,13203,280,0.66 [0.46-0.96],0.0277071175772235
RANBP2,E3 SUMO-protein ligase RanBP2,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,13142,219,0.57 [0.37-0.86],0.0080386989105539
