Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
STXBP3,Syntaxin-binding protein 3,Chapter VI Diseases of the nervous system,Migraine,25928,103,0.63 [0.40-1.00],0.0495873823002264
STXBP3,Syntaxin-binding protein 3,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,27316,40,0.45 [0.21-0.96],0.0383649400917235
STXBP3,Syntaxin-binding protein 3,Chapter IX Diseases of the circulatory system,Conduction disorders,25080,72,1.51 [1.05-2.17],0.0261701681626498
STXBP3,Syntaxin-binding protein 3,Chapter IX Diseases of the circulatory system,Other arrhythmias,25048,40,1.67 [1.08-2.58],0.0222392260735999
STXBP3,Syntaxin-binding protein 3,Chapter XI Diseases of the digestive system,Cholecystitis,25981,77,1.48 [1.02-2.15],0.0366910786424341
STXBP3,Syntaxin-binding protein 3,Chapter XII Diseases of the skin and subcutaneous tissue,Atrophic disorders of skin,26111,97,0.51 [0.31-0.83],0.0064188540908817
STXBP3,Syntaxin-binding protein 3,Chapter XII Diseases of the skin and subcutaneous tissue,Scar conditions and fibrosis of skin,26096,82,0.50 [0.29-0.85],0.0109751872417888
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,25234,1093,1.13 [1.00-1.27],0.0455898922699731
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,21681,516,1.19 [1.01-1.41],0.0369512362357569
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,21593,428,1.26 [1.05-1.50],0.0106640195264311
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,24427,286,1.25 [1.01-1.55],0.0397686280956862
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Soft tissue disorders related to use, overuse and pressure",24197,56,1.51 [1.01-2.25],0.0463402554394719
STXBP3,Syntaxin-binding protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other shoulder lesions,24192,51,1.73 [1.18-2.52],0.0046658532929211
STXBP3,Syntaxin-binding protein 3,"Chapter XV Pregnancy, childbirth and the puerperium",Haemorrhage in early pregnancy,15011,118,0.62 [0.39-0.96],0.0341941713631942
STXBP3,Syntaxin-binding protein 3,"Chapter XV Pregnancy, childbirth and the puerperium",Delivery,15311,332,0.71 [0.54-0.92],0.0090491996934488
STXBP3,Syntaxin-binding protein 3,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,15230,251,0.61 [0.45-0.84],0.001944923242131
