Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24933,873,1.31 [1.21-1.41],3.021052971505644e-11
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24963,140,2.13 [1.83-2.48],2.295942747314684e-22
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19831,492,1.74 [1.59-1.92],2.6780988016648124e-30
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25745,78,2.00 [1.64-2.44],9.228543194448002e-12
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,25195,43,1.88 [1.43-2.48],7.402416732781103e-06
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,26946,104,1.75 [1.46-2.10],1.3492514662976219e-09
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other septicaemia,26909,67,2.03 [1.66-2.48],4.320426202679572e-12
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26660,379,1.48 [1.33-1.65],2.1694010537673374e-12
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26423,142,1.70 [1.45-2.00],9.147834962582332e-11
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26524,243,1.44 [1.26-1.66],2.280896372904108e-07
IL19,Interleukin-19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25396,804,1.32 [1.21-1.43],5.872181481096231e-11
IL19,Interleukin-19,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),25323,356,1.58 [1.41-1.77],1.4636298814141832e-15
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24240,690,1.49 [1.37-1.62],2.5045321108761672e-20
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,25839,110,1.63 [1.35-1.96],2.880298610918416e-07
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,25826,97,1.69 [1.39-2.04],9.322986117400204e-08
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26057,328,1.34 [1.19-1.52],1.8312704627956968e-06
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26048,319,1.33 [1.18-1.51],5.521865327657214e-06
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,24076,526,1.39 [1.26-1.54],4.8011536534457516e-11
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,24032,482,1.40 [1.26-1.55],1.6782187293000518e-10
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,23592,42,2.23 [1.75-2.84],7.288989949979511e-11
IL19,Interleukin-19,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",23627,77,2.31 [1.93-2.76],2.100538094447131e-20
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,Any mental disorder,23968,747,1.37 [1.26-1.50],1.175205032188489e-13
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",23511,290,1.57 [1.38-1.78],3.341190958285784e-12
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27200,220,1.48 [1.28-1.70],9.498827795123228e-08
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27269,159,1.57 [1.33-1.85],4.946942463886777e-08
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,Smoking dependency,25655,68,1.82 [1.45-2.28],2.032484298613185e-07
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",23599,378,1.40 [1.25-1.56],8.84466746353234e-09
IL19,Interleukin-19,Chapter V Mental and behavioural disorders,Depression,25919,327,1.35 [1.20-1.53],1.4858572852655376e-06
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,21640,1939,1.45 [1.37-1.54],7.154812595800319e-36
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Hypertension, essential",22675,1278,1.40 [1.31-1.50],5.673992229346826e-22
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Hypertension,22698,1301,1.43 [1.34-1.54],2.242295625792488e-25
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,21448,51,2.99 [2.44-3.68],1.1271851578107074e-25
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26133,565,1.33 [1.21-1.46],4.657369232138608e-09
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27042,262,1.36 [1.19-1.56],5.3983091746233045e-06
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",25731,163,1.46 [1.24-1.72],5.485715966968928e-06
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,25977,420,1.38 [1.24-1.53],5.287387466520977e-09
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,18990,191,1.68 [1.44-1.95],2.597434298137784e-11
IL19,Interleukin-19,Chapter IX Diseases of the circulatory system,"Heart failure, strict",27125,119,1.60 [1.34-1.91],1.993471735657696e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,23378,1933,1.23 [1.16-1.30],1.879718250474285e-12
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Influenza and pneumonia,26441,184,1.71 [1.48-1.98],3.298667225633785e-13
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",26415,158,1.74 [1.49-2.03],2.406920831605865e-12
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,27019,213,1.47 [1.27-1.69],1.6959784620543458e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,27017,211,1.46 [1.26-1.69],2.769828080170821e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,25284,878,1.23 [1.13-1.33],4.203700562657548e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Asthma,21149,799,1.25 [1.15-1.36],3.861880636402682e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",21009,799,1.25 [1.15-1.36],3.121429800979601e-07
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",21133,783,1.24 [1.14-1.35],1.499333084548478e-06
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,27441,52,1.82 [1.43-2.33],1.4504621070811985e-06
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Other diseases of pleura,26396,176,1.63 [1.40-1.90],1.8186740864747135e-10
IL19,Interleukin-19,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,26797,82,1.94 [1.60-2.35],1.0714738849743718e-11
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19540,5027,1.11 [1.06-1.15],1.5113108650599275e-06
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,26743,734,1.31 [1.21-1.43],3.615504919753185e-10
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",27549,99,1.62 [1.33-1.97],2.1494519276716244e-06
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,Crohn disease,26108,99,1.64 [1.34-2.01],1.1518098073480768e-06
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,Crohn's disease NAS,26084,75,1.76 [1.41-2.19],4.668531779751368e-07
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",26118,109,1.57 [1.28-1.91],8.983897373303946e-06
IL19,Interleukin-19,Chapter XI Diseases of the digestive system,Diseases of liver,26901,118,1.55 [1.29-1.86],3.51620165909836e-06
IL19,Interleukin-19,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,25074,1463,1.32 [1.24-1.40],1.520954726418218e-17
IL19,Interleukin-19,Chapter XII Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue,26858,390,1.35 [1.21-1.51],1.720323088155528e-07
IL19,Interleukin-19,Chapter XII Diseases of the skin and subcutaneous tissue,Papulosquamous disorders,27368,88,2.80 [2.39-3.29],7.430697188115279e-37
IL19,Interleukin-19,Chapter XII Diseases of the skin and subcutaneous tissue,Psoriasis,27353,73,3.18 [2.69-3.76],1.0655526248240992e-41
IL19,Interleukin-19,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,27332,52,3.39 [2.79-4.12],1.2279146859972182e-34
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,21378,3452,1.13 [1.08-1.19],1.6911823623812545e-07
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,22972,1823,1.15 [1.08-1.22],5.112081972786636e-06
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,21264,115,1.58 [1.30-1.91],3.097797283425819e-06
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,21481,332,1.53 [1.36-1.72],9.969684594828953e-13
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",27296,110,1.60 [1.33-1.93],8.01582319970991e-07
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,27313,98,1.67 [1.38-2.02],1.503848420750247e-07
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,27237,146,1.48 [1.24-1.75],9.81650169117823e-06
IL19,Interleukin-19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified soft tissue disorders,24281,144,1.48 [1.25-1.76],6.548052035077643e-06
IL19,Interleukin-19,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,26114,208,2.16 [1.92-2.45],4.6483429421083687e-35
IL19,Interleukin-19,Chapter XIV Diseases of the genitourinary system,Acute renal failure,26259,44,2.65 [2.14-3.30],1.415937656609482e-18
IL19,Interleukin-19,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,26264,49,3.33 [2.73-4.06],1.7393672769652627e-32
IL19,Interleukin-19,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,26269,54,2.60 [2.12-3.19],3.2027953852668394e-20
IL19,Interleukin-19,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,27324,53,1.76 [1.38-2.26],6.93875636284809e-06
