Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,25401,903,1.32 [1.20-1.45],8.518084789372237e-09
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25414,145,1.89 [1.55-2.31],3.192169956778949e-10
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20189,495,1.79 [1.59-2.01],3.847351220158162e-22
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27161,393,1.49 [1.30-1.70],6.907033432624837e-09
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26915,147,1.74 [1.42-2.13],7.789610304724113e-08
CAPG,Macrophage-capping protein,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),25788,362,1.54 [1.34-1.77],1.8841804572634582e-09
CAPG,Macrophage-capping protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24672,701,1.47 [1.32-1.63],9.831970364722212e-13
CAPG,Macrophage-capping protein,Chapter V Mental and behavioural disorders,Any mental disorder,24428,771,1.34 [1.21-1.48],2.6988738127827853e-08
CAPG,Macrophage-capping protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,22021,1973,1.28 [1.20-1.38],5.174237841983179e-12
CAPG,Macrophage-capping protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",23083,1308,1.39 [1.27-1.51],3.6448286582323367e-14
CAPG,Macrophage-capping protein,Chapter IX Diseases of the circulatory system,Hypertension,23108,1333,1.41 [1.29-1.53],1.2563340451142704e-15
CAPG,Macrophage-capping protein,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,21826,51,2.53 [1.90-3.37],2.1175856759138808e-10
CAPG,Macrophage-capping protein,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,23822,1949,1.25 [1.17-1.34],9.630677270912728e-11
CAPG,Macrophage-capping protein,Chapter X Diseases of the respiratory system,Influenza and pneumonia,26937,187,1.71 [1.43-2.05],7.64589514834927e-09
CAPG,Macrophage-capping protein,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",26908,158,1.74 [1.43-2.12],2.6185502464115537e-08
CAPG,Macrophage-capping protein,Chapter X Diseases of the respiratory system,Interstitial lung disease,26816,43,2.36 [1.73-3.23],6.902225025594997e-08
CAPG,Macrophage-capping protein,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",28021,43,2.37 [1.73-3.23],7.192446206404471e-08
CAPG,Macrophage-capping protein,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19919,5164,1.15 [1.09-1.20],2.921390535061493e-08
CAPG,Macrophage-capping protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,23420,1863,1.22 [1.14-1.31],2.7348455056715626e-08
CAPG,Macrophage-capping protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,21900,343,1.52 [1.31-1.76],2.1319497692583583e-08
CAPG,Macrophage-capping protein,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,26596,212,2.21 [1.90-2.58],1.958185210427549e-24
CAPG,Macrophage-capping protein,Chapter XIV Diseases of the genitourinary system,Acute renal failure,26749,45,2.62 [1.96-3.50],7.970005236646549e-11
CAPG,Macrophage-capping protein,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,26754,50,3.13 [2.43-4.03],5.971053257402524e-19
CAPG,Macrophage-capping protein,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,26757,53,2.58 [1.99-3.36],1.48844500035587e-12
CAPG,Macrophage-capping protein,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,27835,53,2.34 [1.76-3.11],4.52632252281944e-09
