Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
COL9A1,Collagen alpha-1(IX) chain,Chapter V Mental and behavioural disorders,Any mental disorder,24566,773,1.59 [1.40-1.82],2.4568246863626827e-12
COL9A1,Collagen alpha-1(IX) chain,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",24087,294,2.16 [1.79-2.62],3.910251452119221e-15
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,21913,3533,1.63 [1.52-1.75],4.439530900930437e-42
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,23551,1864,1.95 [1.79-2.12],3.1597294790079586e-52
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,22027,340,1.91 [1.60-2.28],1.2987561465893074e-12
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,22338,651,2.44 [2.15-2.77],4.4248114953700094e-43
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",24952,651,2.38 [2.10-2.70],2.5171996782288336e-42
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,21838,151,2.35 [1.86-2.98],9.7517718435694e-13
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,21807,120,2.57 [2.00-3.29],1.230443761990574e-13
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gonarthrosis,22013,326,2.44 [2.06-2.88],1.0049012462870908e-25
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,21911,224,2.44 [2.01-2.97],3.0418016863915657e-19
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,22934,1247,1.90 [1.72-2.10],2.2562764914965104e-35
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,22214,527,2.04 [1.77-2.35],1.3612499172862571e-22
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,22125,438,2.09 [1.80-2.44],3.334258839103116e-21
COL9A1,Collagen alpha-1(IX) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,26177,906,1.50 [1.33-1.69],1.8326214701480675e-11
COL9A1,Collagen alpha-1(IX) chain,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,26757,212,2.02 [1.63-2.49],8.440189908195802e-11
COL9A1,Collagen alpha-1(IX) chain,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,26919,50,3.21 [2.32-4.43],1.5767161782480192e-12
COL9A1,Collagen alpha-1(IX) chain,Chapter VI Diseases of the nervous system,Falls/tendency to fall,26642,530,1.76 [1.52-2.04],3.297397392348178e-14
