Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,25862,909,1.22 [1.04-1.43],0.0145840020331487
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25892,145,1.77 [1.24-2.52],0.001654474705887
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27494,156,1.33 [0.92-1.92],0.1271628790454354
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20559,504,1.50 [1.22-1.84],0.0001181588131241
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,27431,93,1.07 [0.65-1.76],0.7924051128836069
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26706,77,1.27 [0.75-2.16],0.3671079503352362
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28486,92,1.08 [0.65-1.77],0.7768476932454217
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,28506,64,1.06 [0.58-1.93],0.845078733476732
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26141,46,1.56 [0.82-2.95],0.1772209467576646
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27954,107,1.38 [0.89-2.15],0.1475167070642229
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27913,66,1.38 [0.79-2.42],0.2545097546353616
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,28550,66,1.05 [0.59-1.89],0.8639370386642208
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,28505,101,1.13 [0.71-1.80],0.6059733757932464
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",28495,91,1.04 [0.63-1.71],0.88683130257925
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Mycoses,28309,45,1.52 [0.79-2.92],0.2047530895443933
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27654,395,1.25 [0.99-1.58],0.0626202838893846
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27406,147,1.60 [1.12-2.29],0.01064891184118
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27513,254,1.16 [0.86-1.56],0.3435795382170881
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",24783,29,0.73 [0.28-1.92],0.5247599998009588
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24803,49,0.71 [0.33-1.50],0.3688020001112406
ADA,Adenosine deaminase,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",24882,128,0.57 [0.35-0.91],0.0186925715115419
ADA,Adenosine deaminase,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",24887,133,0.60 [0.38-0.95],0.0305453240372987
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13917,294,1.45 [1.10-1.91],0.0081897880750349
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",11159,28,1.20 [0.48-2.96],0.6981930322130826
ADA,Adenosine deaminase,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",24802,48,1.21 [0.62-2.37],0.5762158754985165
ADA,Adenosine deaminase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26379,832,1.00 [0.84-1.19],0.9811715888339014
ADA,Adenosine deaminase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",27464,201,1.24 [0.89-1.73],0.1965718921595792
ADA,Adenosine deaminase,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,28122,78,1.09 [0.63-1.88],0.7672635116025871
ADA,Adenosine deaminase,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",28619,73,1.09 [0.62-1.92],0.7665811591764697
ADA,Adenosine deaminase,Chapter II Neoplasms,Benign neoplasm: Rectum,28379,49,1.75 [0.95-3.21],0.0720243804250996
ADA,Adenosine deaminase,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,28627,39,1.31 [0.62-2.76],0.486427638126376
ADA,Adenosine deaminase,Chapter II Neoplasms,Benign neoplasm: Stomach,28668,32,1.07 [0.45-2.56],0.8714007409322044
