Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,25556,896,0.96 [0.86-1.07],0.4452137928393691
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25597,143,1.08 [0.83-1.40],0.5601456111206484
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,27175,153,1.09 [0.85-1.39],0.514877174701966
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20323,501,1.16 [1.01-1.34],0.0317475778325336
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,27113,91,1.19 [0.87-1.64],0.2826581690449131
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26397,80,0.90 [0.63-1.28],0.5558488383698799
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28145,90,1.20 [0.87-1.65],0.2712856383092301
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,28168,63,1.11 [0.76-1.64],0.5818350951291755
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,25831,45,1.08 [0.69-1.71],0.7246969284920505
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27627,106,0.90 [0.67-1.23],0.5190204122826655
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27590,69,0.93 [0.64-1.35],0.6906330245775723
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,28210,64,1.18 [0.81-1.72],0.3898639181284775
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,28166,101,1.08 [0.80-1.46],0.6193791329712568
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",28156,91,1.10 [0.80-1.51],0.5496765422373076
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Mycoses,27973,45,0.81 [0.51-1.30],0.3850145008319787
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27334,389,0.89 [0.76-1.04],0.1516176023927888
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27090,145,0.76 [0.58-0.99],0.0385745340600617
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27194,249,0.93 [0.77-1.14],0.4969642486473939
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",24494,28,0.56 [0.30-1.06],0.0748053221729058
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24515,49,1.16 [0.75-1.81],0.5006015881858153
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",24595,129,0.86 [0.65-1.15],0.3133339792734422
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",24599,133,0.87 [0.66-1.16],0.3442905886010461
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13762,293,0.79 [0.66-0.95],0.010381312359714
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",11024,27,0.64 [0.31-1.32],0.2248673268355402
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",24515,49,0.79 [0.50-1.25],0.3168968581109124
CHRDL2,Chordin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,26055,820,1.12 [1.01-1.25],0.0359543705705252
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",27139,200,0.91 [0.72-1.14],0.4084342141541245
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27784,79,1.02 [0.72-1.47],0.8947833988705477
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",28284,71,1.08 [0.74-1.56],0.6887721940316378
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Rectum,28045,48,0.78 [0.49-1.24],0.2923262637503137
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,28289,38,1.21 [0.73-2.01],0.4532562454810164
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Stomach,28329,31,1.19 [0.67-2.09],0.5510676639296386
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm,28018,301,0.83 [0.69-0.99],0.0423993049079376
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,28259,117,0.69 [0.51-0.93],0.0135984971029573
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,28266,96,0.86 [0.62-1.18],0.3535023284869096
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",28228,46,0.81 [0.51-1.30],0.3895332831935204
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,"Haemangioma, any site",28230,46,0.81 [0.51-1.30],0.3895441298628578
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Melanocytic naevi,28127,253,1.06 [0.87-1.28],0.5568829806804252
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,28290,112,0.88 [0.66-1.18],0.4031945712321633
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Other benign neoplasms of skin,28197,191,1.38 [1.11-1.70],0.0034267213537305
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Benign neoplasm of breast,15623,93,1.29 [0.98-1.70],0.0726207626061169
CHRDL2,Chordin-like protein 2,Chapter II Neoplasms,Leiomyoma of uterus,15258,693,1.01 [0.90-1.13],0.8782444251748094
CHRDL2,Chordin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,27296,201,1.25 [1.02-1.55],0.033692552955008
CHRDL2,Chordin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27180,353,1.12 [0.95-1.31],0.177056555357898
CHRDL2,Chordin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27180,353,1.12 [0.95-1.31],0.177056555357898
CHRDL2,Chordin-like protein 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),25965,365,0.99 [0.84-1.17],0.9152968271463878
CHRDL2,Chordin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,27854,79,0.80 [0.56-1.15],0.2245789310144675
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,28060,107,1.02 [0.76-1.37],0.8939148672012488
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,24838,710,1.08 [0.96-1.22],0.1932351254094997
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,27000,442,0.99 [0.85-1.15],0.8722112615771875
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,26490,114,1.00 [0.75-1.34],0.9819326097959704
CHRDL2,Chordin-like protein 2,Chapter IX Diseases of the circulatory system,Peripheral artery disease,27559,53,0.95 [0.61-1.47],0.8161357029342436
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,26477,101,0.96 [0.71-1.31],0.8117871302007955
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26715,339,0.88 [0.74-1.04],0.1335225596787966
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26706,330,0.86 [0.72-1.03],0.1027312929175539
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,26359,185,1.03 [0.81-1.31],0.8318784849188302
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",26363,182,1.02 [0.80-1.30],0.903388695850114
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,24673,545,1.05 [0.91-1.20],0.5185053140026039
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",24201,73,0.93 [0.65-1.35],0.7188852053997259
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,24628,500,1.05 [0.91-1.21],0.4875591110444177
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,24170,42,0.87 [0.53-1.41],0.5621235649742173
CHRDL2,Chordin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",24207,79,1.30 [0.93-1.81],0.1277935335823815
CHRDL2,Chordin-like protein 2,Chapter V Mental and behavioural disorders,Any mental disorder,24582,770,0.99 [0.88-1.11],0.7979382749305365
