Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22100,795,1.19 [1.06-1.34],0.002889138387971
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,22101,129,1.29 [1.01-1.66],0.0452921460902003
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23502,138,1.14 [0.85-1.51],0.3830288961340923
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,17522,439,1.21 [1.02-1.42],0.0247681294692068
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,23445,81,1.07 [0.72-1.60],0.7308394293317724
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22800,69,1.23 [0.86-1.75],0.2534803008234624
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",24338,80,1.04 [0.69-1.58],0.8501218965756097
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,24356,54,0.82 [0.43-1.59],0.5653264576128463
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,22317,40,1.29 [0.82-2.01],0.2713482534687236
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23894,96,1.21 [0.89-1.66],0.225566137247606
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23857,59,1.10 [0.70-1.73],0.6812729393451693
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,24396,58,0.94 [0.54-1.64],0.8336495346932635
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other viral diseases,24360,92,0.90 [0.57-1.42],0.6480945169692854
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",24352,84,0.94 [0.60-1.49],0.7969245292129913
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Mycoses,24187,44,1.70 [1.30-2.23],9.553640563454272e-05
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",23620,339,1.21 [1.02-1.43],0.028812704713008
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,23407,126,1.27 [0.98-1.65],0.0687989159669567
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,23501,220,1.15 [0.92-1.44],0.2316139873326892
EPGN,Epigen,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",21125,28,0.78 [0.30-2.06],0.6187906357774934
EPGN,Epigen,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",21142,45,0.76 [0.35-1.64],0.4797590467248964
EPGN,Epigen,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",21210,113,1.00 [0.69-1.45],0.9987477029352214
EPGN,Epigen,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",21215,118,nan [nan-nan],
EPGN,Epigen,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",11850,260,0.96 [0.74-1.23],0.7262096405497367
EPGN,Epigen,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",9529,22,0.29 [0.05-1.74],0.1762207968721931
EPGN,Epigen,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",21141,44,0.27 [0.08-0.92],0.0367498485926158
EPGN,Epigen,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22554,719,1.09 [0.95-1.24],0.2352673252779191
EPGN,Epigen,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",23481,183,0.99 [0.73-1.33],0.9291882977011464
EPGN,Epigen,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,24035,73,0.92 [0.56-1.53],0.7490182267863998
EPGN,Epigen,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",24463,69,1.08 [0.70-1.67],0.7180728381782027
EPGN,Epigen,Chapter II Neoplasms,Benign neoplasm: Rectum,24253,43,1.24 [0.79-1.95],0.3551680906162084
EPGN,Epigen,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,24462,34,1.06 [0.57-1.99],0.8445254632249539
EPGN,Epigen,Chapter II Neoplasms,Benign neoplasm: Stomach,24500,27,0.92 [0.40-2.12],0.8497926033415575
EPGN,Epigen,Chapter II Neoplasms,Benign lipomatous neoplasm,24233,263,1.04 [0.83-1.32],0.7202127549922637
EPGN,Epigen,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,24444,108,1.12 [0.80-1.55],0.5176371525617764
EPGN,Epigen,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,24447,79,1.16 [0.80-1.67],0.4282400568972107
EPGN,Epigen,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",24415,43,1.14 [0.69-1.89],0.5987185660990948
EPGN,Epigen,Chapter II Neoplasms,"Haemangioma, any site",24417,43,1.14 [0.69-1.89],0.598797387441337
EPGN,Epigen,Chapter II Neoplasms,Melanocytic naevi,24319,212,1.00 [0.76-1.31],0.9767626052797256
EPGN,Epigen,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,24465,96,1.21 [0.88-1.67],0.2413635341439532
EPGN,Epigen,Chapter II Neoplasms,Other benign neoplasms of skin,24377,162,0.90 [0.63-1.28],0.552692743711646
EPGN,Epigen,Chapter II Neoplasms,Benign neoplasm of breast,13494,80,0.95 [0.61-1.49],0.8221406313196064
EPGN,Epigen,Chapter II Neoplasms,Leiomyoma of uterus,13186,605,0.87 [0.72-1.04],0.1284878219880978
EPGN,Epigen,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23624,168,1.12 [0.86-1.46],0.3955615936841636
EPGN,Epigen,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,23524,311,1.12 [0.92-1.36],0.242839778224018
EPGN,Epigen,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,23524,311,1.12 [0.92-1.36],0.242839778224018
EPGN,Epigen,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22426,311,0.97 [0.76-1.23],0.7897551443677654
