Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24945,877,1.03 [0.97-1.10],0.3772741603118847
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24971,132,1.12 [0.97-1.29],0.1348716970315228
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,26507,148,1.12 [0.98-1.28],0.1057095771310168
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19830,479,1.12 [1.03-1.21],0.0051744422537592
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26446,87,1.06 [0.87-1.29],0.5530835648059761
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25756,76,1.15 [0.96-1.38],0.1263876960000737
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27460,86,1.06 [0.87-1.28],0.5867887655142644
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27480,60,1.03 [0.80-1.32],0.8224938012600643
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,25216,46,1.22 [0.97-1.52],0.0829238013129512
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,26960,100,1.15 [0.99-1.35],0.0747914472506991
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other septicaemia,26926,66,1.18 [0.98-1.42],0.0778815598998287
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27522,65,0.89 [0.68-1.17],0.4053637456963405
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27481,96,1.24 [1.07-1.42],0.0033580973680439
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27472,87,1.27 [1.10-1.46],0.0011706369574427
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Mycoses,27293,43,0.76 [0.50-1.16],0.2068076810710493
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26677,383,1.02 [0.93-1.13],0.6333254977586533
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26438,144,1.01 [0.86-1.18],0.9255928754513124
IKZF2,Zinc finger protein Helios,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26540,246,1.03 [0.91-1.16],0.6245350629146935
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",23901,30,1.05 [0.76-1.45],0.7628414439856874
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",23919,48,0.96 [0.73-1.27],0.7985740833397487
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",23997,126,1.15 [1.01-1.32],0.0349317401314764
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",24002,131,1.15 [1.01-1.31],0.0402428588077458
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13438,281,1.05 [0.95-1.17],0.3030864581356632
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",10741,27,1.06 [0.75-1.50],0.7572474489144758
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",23920,49,1.07 [0.83-1.37],0.6128466051428296
IKZF2,Zinc finger protein Helios,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25433,798,1.12 [1.06-1.19],0.0001216746815947
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",26475,196,1.03 [0.90-1.17],0.6696560395157514
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27110,77,0.98 [0.78-1.23],0.852388386665472
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",27592,71,1.03 [0.83-1.28],0.7744904826472807
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Benign neoplasm: Rectum,27361,47,1.03 [0.78-1.35],0.8571389179549818
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,27600,38,0.88 [0.62-1.27],0.4992029209020443
IKZF2,Zinc finger protein Helios,Chapter II Neoplasms,Benign neoplasm: Stomach,27639,31,0.91 [0.62-1.34],0.6383346888654382
