Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,21507,774,1.02 [0.92-1.13],0.6564550576223528
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,21513,123,0.97 [0.75-1.26],0.8286478086877165
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22856,126,0.97 [0.75-1.25],0.80660420017474
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,17025,431,1.05 [0.92-1.21],0.4628215129270694
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22804,74,0.83 [0.59-1.16],0.2811804038006793
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,22193,69,0.73 [0.51-1.04],0.0809707358817699
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23675,73,0.83 [0.59-1.17],0.2865459291479427
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23694,49,0.91 [0.61-1.37],0.6583212134027774
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,21716,40,1.48 [0.98-2.21],0.0593790724649846
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23255,93,0.85 [0.63-1.14],0.279047150133167
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,23221,59,0.72 [0.49-1.06],0.0929514061775984
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23732,57,1.28 [0.90-1.82],0.1663004662792253
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23692,92,1.28 [0.97-1.68],0.0850899874384137
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23684,84,1.27 [0.95-1.70],0.1024646293190258
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Mycoses,23527,43,1.13 [0.75-1.72],0.5536169364144957
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22977,325,0.89 [0.76-1.04],0.1514050553885533
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22771,119,1.10 [0.85-1.41],0.4764337612586587
ITPA,Inosine triphosphate pyrophosphatase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22863,211,0.82 [0.67-1.00],0.0454501390033044
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",20578,27,0.92 [0.53-1.61],0.7775677942185769
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",20593,42,nan [nan-nan],
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",20660,109,nan [nan-nan],
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",20665,114,1.02 [0.78-1.33],0.892952632750024
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",11567,255,0.96 [0.80-1.15],0.6623873643438929
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",9260,21,1.35 [0.76-2.43],0.3095933820916539
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",20594,43,1.00 [0.65-1.54],0.990202997494014
ITPA,Inosine triphosphate pyrophosphatase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,21939,699,0.99 [0.89-1.10],0.8691235193992102
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",22847,181,1.11 [0.90-1.37],0.3238581412274169
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23379,72,0.99 [0.71-1.39],0.9597478617458408
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23799,69,0.99 [0.71-1.40],0.9629333190200684
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign neoplasm: Rectum,23602,40,1.61 [1.09-2.36],0.0157639611018252
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23798,33,0.96 [0.58-1.59],0.8788799840135536
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign neoplasm: Stomach,23836,27,0.90 [0.52-1.57],0.7160445734336892
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign lipomatous neoplasm,23573,259,1.07 [0.90-1.27],0.4384143713757246
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23778,104,1.19 [0.91-1.55],0.2043686735937435
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23782,79,1.02 [0.75-1.40],0.8862338634968447
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23751,41,0.86 [0.55-1.34],0.5005171482899888
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,"Haemangioma, any site",23753,41,0.86 [0.55-1.34],0.5003033505166307
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Melanocytic naevi,23654,202,0.95 [0.78-1.16],0.6156184746568846
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,23801,91,1.06 [0.79-1.42],0.688458433865865
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Other benign neoplasms of skin,23716,159,1.05 [0.84-1.31],0.6890554336477074
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Benign neoplasm of breast,13147,81,1.10 [0.81-1.51],0.5411420088048011
ITPA,Inosine triphosphate pyrophosphatase,Chapter II Neoplasms,Leiomyoma of uterus,12857,594,1.11 [0.99-1.25],0.0801373300000884
ITPA,Inosine triphosphate pyrophosphatase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,23000,166,1.02 [0.82-1.27],0.8426421230838717
