Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,25073,886,1.05 [0.94-1.17],0.3533440189596238
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,25103,142,1.11 [0.85-1.44],0.4481956843845476
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,26659,152,1.39 [1.08-1.78],0.009509797176522
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,19944,490,1.27 [1.10-1.46],0.0011616337676449
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26599,92,1.29 [0.94-1.77],0.119404342115294
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25895,79,0.63 [0.44-0.92],0.0156173574850192
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27621,91,1.28 [0.93-1.77],0.1271116404543916
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27642,64,1.56 [1.08-2.27],0.018528840336022
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,25340,46,1.31 [0.83-2.07],0.2448416257547793
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27109,108,0.75 [0.55-1.03],0.0762390846286386
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27069,68,0.71 [0.48-1.05],0.0881889797340572
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27685,65,0.97 [0.66-1.44],0.8935594491282304
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27644,97,1.11 [0.80-1.52],0.5395241496440177
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27635,88,1.11 [0.79-1.55],0.5560961587726598
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Mycoses,27455,45,1.09 [0.69-1.73],0.7093609718750158
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26824,386,1.06 [0.90-1.24],0.5065073891440948
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26584,146,0.88 [0.67-1.14],0.3257666624833965
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26684,246,1.12 [0.92-1.37],0.2672425392169836
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",24039,29,0.40 [0.21-0.75],0.0046395446513722
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24058,48,0.81 [0.50-1.32],0.4016298127536881
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",24137,127,1.12 [0.84-1.48],0.4490888848489182
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",24141,131,1.13 [0.85-1.49],0.404581285033204
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",13496,290,0.64 [0.52-0.77],5.381291714322706e-06
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",10831,27,0.47 [0.24-0.92],0.0269761769688701
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",24057,47,0.89 [0.56-1.42],0.6387788600018296
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25594,804,0.95 [0.84-1.06],0.3460901645093537
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",26629,197,1.13 [0.91-1.42],0.2673744848098232
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27274,75,0.98 [0.68-1.41],0.9249762431995088
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",27758,73,1.21 [0.84-1.74],0.3087281545275175
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign neoplasm: Rectum,27522,48,1.24 [0.79-1.92],0.3477445485186287
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,27764,39,0.82 [0.49-1.37],0.4396132163349142
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign neoplasm: Stomach,27804,32,0.92 [0.52-1.62],0.7631831714031995
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign lipomatous neoplasm,27500,288,0.99 [0.82-1.19],0.9068225366353722
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,27737,111,0.94 [0.70-1.28],0.7057887875076746
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,27740,93,1.02 [0.73-1.41],0.9177701069648312
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",27705,46,0.88 [0.55-1.42],0.61332179533493
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,"Haemangioma, any site",27707,46,0.88 [0.55-1.42],0.6134009508656177
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Melanocytic naevi,27602,248,1.06 [0.86-1.29],0.6066467201183053
SIT1,Signaling threshold-regulating transmembrane adapter 1,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,27767,110,1.14 [0.84-1.54],0.4070429264344809
