Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16176,764,0.81 [0.74-0.90],2.919927126009872e-05
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11352,857,0.82 [0.74-0.90],2.851572057347113e-05
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16752,597,0.78 [0.70-0.87],6.603244315976812e-06
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,14523,1826,0.82 [0.77-0.88],6.742758793731626e-09
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,16949,956,0.77 [0.71-0.84],9.276386590205797e-09
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",18144,722,0.75 [0.68-0.83],4.471799178585336e-08
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,Asthma,12813,722,0.75 [0.67-0.83],2.3722534632502908e-08
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",12496,722,0.75 [0.67-0.83],2.2274235839535247e-08
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",12806,715,0.74 [0.67-0.82],1.4631400855799152e-08
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,12853,3724,0.88 [0.84-0.93],8.89733815572198e-07
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,14207,2308,0.86 [0.81-0.92],1.6586046208140062e-06
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,13250,1351,0.83 [0.77-0.89],1.1639883058471494e-06
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",15386,1351,0.83 [0.77-0.90],1.432740875059566e-06
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,12345,446,0.75 [0.66-0.86],1.6860113194367587e-05
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other joint disorders,13030,1131,0.83 [0.77-0.90],9.225304207299297e-06
COL28A1,Collagen alpha-1(XXVIII) chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,18974,101,0.52 [0.39-0.69],7.174988605403296e-06
