Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
VGF,Neurosecretory protein VGF,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16594,776,1.72 [1.39-2.13],7.094591278547078e-07
VGF,Neurosecretory protein VGF,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,15980,241,2.86 [2.00-4.10],8.099928553440497e-09
VGF,Neurosecretory protein VGF,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11653,877,2.03 [1.65-2.50],1.3619663368529587e-11
VGF,Neurosecretory protein VGF,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",18683,369,1.97 [1.47-2.65],5.703262274938961e-06
VGF,Neurosecretory protein VGF,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18581,267,2.02 [1.43-2.84],5.644923291788228e-05
VGF,Neurosecretory protein VGF,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17187,621,2.02 [1.59-2.57],9.299085353714646e-09
VGF,Neurosecretory protein VGF,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,18794,163,2.60 [1.73-3.91],4.675231654976525e-06
VGF,Neurosecretory protein VGF,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,18353,279,2.32 [1.65-3.27],1.2981302219096515e-06
VGF,Neurosecretory protein VGF,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,18353,279,2.32 [1.65-3.27],1.2981302219096515e-06
VGF,Neurosecretory protein VGF,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,18648,546,1.75 [1.36-2.25],1.1835402262210567e-05
VGF,Neurosecretory protein VGF,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,13328,46,8.10 [3.98-16.49],8.158645126439983e-09
VGF,Neurosecretory protein VGF,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",13358,76,5.91 [3.54-9.87],1.1826979599331955e-11
VGF,Neurosecretory protein VGF,Chapter IX Diseases of the circulatory system,Hypertension,13200,2683,1.33 [1.16-1.52],4.2987492952168336e-05
VGF,Neurosecretory protein VGF,Chapter IX Diseases of the circulatory system,"Heart failure, strict",18733,251,2.17 [1.54-3.05],8.183172800459618e-06
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,12990,5504,1.27 [1.14-1.42],1.4098269776022694e-05
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",16176,2185,1.38 [1.21-1.59],3.968154529949444e-06
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,Inguinal hernia,15924,690,0.54 [0.42-0.68],4.37207599292076e-07
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,19181,658,1.61 [1.28-2.03],6.003519991769047e-05
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,Other diseases of intestines,14814,1997,1.36 [1.18-1.57],3.409223562450822e-05
VGF,Neurosecretory protein VGF,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",18816,597,1.62 [1.27-2.06],9.362158391471396e-05
VGF,Neurosecretory protein VGF,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,19460,102,2.98 [1.81-4.90],1.714238304308049e-05
VGF,Neurosecretory protein VGF,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,14811,3500,1.58 [1.41-1.78],2.9486837223512413e-14
VGF,Neurosecretory protein VGF,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,19617,65,4.69 [2.76-7.99],1.2097660233806304e-08
