Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18951,915,1.48 [1.19-1.83],0.0003331268953258
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13318,1082,1.81 [1.48-2.23],1.6570058832332982e-08
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19668,770,1.54 [1.22-1.95],0.0002883016626916
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18487,567,2.03 [1.56-2.64],1.1987121043618792e-07
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20350,157,4.18 [2.65-6.58],7.08575554901043e-10
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21536,174,2.23 [1.43-3.49],0.0004113977962547
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,20335,142,4.02 [2.49-6.50],1.3587889640587708e-08
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,20975,782,3.24 [2.59-4.06],1.7138038321058206e-24
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,20948,755,3.18 [2.53-4.00],5.455168150668932e-23
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter V Mental and behavioural disorders,Alcohol dependence,21613,44,4.12 [1.86-9.13],0.000490899371352
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,22737,82,3.27 [1.74-6.17],0.0002399695679073
SIGLEC7,Sialic acid-binding Ig-like lectin 7,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20208,82,4.02 [2.14-7.54],1.469740964905626e-05
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,14265,4602,1.38 [1.22-1.56],2.4613261357133897e-07
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter IX Diseases of the circulatory system,"Hypertension, essential",15117,3229,1.37 [1.20-1.57],3.279317779752844e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter IX Diseases of the circulatory system,Hypertension,15161,3273,1.38 [1.21-1.58],1.5916231043368615e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,9556,691,2.22 [1.72-2.86],8.677571772924856e-10
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XI Diseases of the digestive system,Inguinal hernia,18227,791,0.67 [0.53-0.85],0.0008353562551689
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XI Diseases of the digestive system,Diseases of liver,22254,125,2.63 [1.56-4.46],0.0003102467489144
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,15125,4436,1.22 [1.08-1.37],0.0009956958302052
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,14136,179,2.13 [1.37-3.33],0.0008246498912478
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,14547,590,1.90 [1.46-2.45],1.1852673461114511e-06
SIGLEC7,Sialic acid-binding Ig-like lectin 7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,14252,295,1.92 [1.34-2.75],0.0003446859509439
