Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CTRC,Chymotrypsin-C,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13313,1082,0.88 [0.80-0.96],0.0029548492144815
CTRC,Chymotrypsin-C,Chapter I Certain infectious and parasitic diseases,Mycoses,22535,61,0.59 [0.44-0.80],0.0006630393227313
CTRC,Chymotrypsin-C,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21133,136,0.68 [0.55-0.85],0.0006328729030412
CTRC,Chymotrypsin-C,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",16516,57,0.65 [0.47-0.90],0.0085641765172118
CTRC,Chymotrypsin-C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20332,151,0.31 [0.25-0.38],5.499659477235235e-30
CTRC,Chymotrypsin-C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,20319,138,0.29 [0.24-0.36],2.7231482973985356e-30
CTRC,Chymotrypsin-C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,20955,774,0.73 [0.66-0.80],3.4293349950102553e-10
CTRC,Chymotrypsin-C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,20930,749,0.72 [0.66-0.80],3.606759857897015e-10
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,Any mental disorder,18957,538,0.83 [0.74-0.94],0.0020013055658337
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",18581,162,0.65 [0.54-0.79],1.6758271211123314e-05
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",22783,114,0.69 [0.55-0.87],0.0015927067459885
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,21597,34,0.59 [0.40-0.86],0.0060196518489634
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",23071,34,0.60 [0.41-0.88],0.0090841490474188
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",18453,34,0.59 [0.41-0.86],0.0061066559660439
CTRC,Chymotrypsin-C,Chapter V Mental and behavioural disorders,Smoking dependency,21529,50,0.59 [0.42-0.82],0.0014819202271755
CTRC,Chymotrypsin-C,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,21747,303,0.74 [0.64-0.86],6.481657410385671e-05
CTRC,Chymotrypsin-C,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,22727,79,0.44 [0.35-0.55],4.679091200087539e-12
CTRC,Chymotrypsin-C,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2613,79,0.59 [0.47-0.73],2.416985446751002e-06
CTRC,Chymotrypsin-C,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20193,79,0.36 [0.27-0.47],1.4924508001660278e-13
CTRC,Chymotrypsin-C,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20266,1827,0.89 [0.84-0.95],0.0006679050050807
CTRC,Chymotrypsin-C,Chapter IX Diseases of the circulatory system,Angina pectoris,19526,1087,0.84 [0.77-0.91],4.8857047556311445e-05
CTRC,Chymotrypsin-C,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,19895,1481,0.88 [0.82-0.94],0.0004078081460145
CTRC,Chymotrypsin-C,Chapter IX Diseases of the circulatory system,Venous thromboembolism,22231,280,0.78 [0.67-0.91],0.0020210320758043
CTRC,Chymotrypsin-C,Chapter IX Diseases of the circulatory system,Cardiomyopathy,16981,69,1.62 [1.19-2.21],0.0021174684565502
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,17074,2161,0.91 [0.86-0.97],0.0029869688699972
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,20049,1136,0.84 [0.78-0.91],2.3643560841996285e-05
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,Early onset COPD,21488,243,0.68 [0.58-0.80],3.223233364299624e-06
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",21541,296,0.74 [0.64-0.87],0.0001223974350388
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",21541,296,0.74 [0.64-0.87],0.0001223974350388
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",21465,863,0.87 [0.79-0.95],0.0027089358847989
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,Asthma,15055,863,0.84 [0.77-0.93],0.000359607759377
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",14660,863,0.84 [0.76-0.92],0.0002161220495138
CTRC,Chymotrypsin-C,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",15046,854,0.84 [0.77-0.93],0.000347670621052
CTRC,Chymotrypsin-C,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,14940,6464,0.93 [0.89-0.97],0.0012797504928242
CTRC,Chymotrypsin-C,Chapter XI Diseases of the digestive system,Hernia,19523,2067,0.89 [0.83-0.94],0.0001736492708405
CTRC,Chymotrypsin-C,Chapter XI Diseases of the digestive system,Inguinal hernia,18256,800,0.85 [0.77-0.94],0.0012979865232115
CTRC,Chymotrypsin-C,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,22083,768,0.83 [0.75-0.91],0.0001341579150924
