Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16648,1651,0.94 [0.91-0.98],0.0007369952750186
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,20873,780,0.66 [0.62-0.69],3.0735440440900053e-53
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,20846,753,0.66 [0.62-0.69],1.1297075626184204e-51
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,16465,1468,0.94 [0.91-0.98],0.0008345498681046
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",15188,191,0.85 [0.77-0.93],0.0004301622141184
GPA33,Cell surface A33 antigen,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,16356,1359,0.95 [0.92-0.99],0.0077910953443546
GPA33,Cell surface A33 antigen,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,16378,104,1.21 [1.07-1.36],0.0029829687326128
GPA33,Cell surface A33 antigen,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,22952,79,1.24 [1.08-1.43],0.0029414089855752
GPA33,Cell surface A33 antigen,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",20108,81,0.80 [0.69-0.93],0.0027514505712208
GPA33,Cell surface A33 antigen,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20174,1822,0.94 [0.91-0.97],0.0002064948297632
GPA33,Cell surface A33 antigen,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,22015,698,0.91 [0.87-0.96],0.0002604733347747
GPA33,Cell surface A33 antigen,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",18787,435,0.89 [0.83-0.94],0.000135989244969
GPA33,Cell surface A33 antigen,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,19801,1474,0.93 [0.90-0.96],5.0147239201440806e-05
GPA33,Cell surface A33 antigen,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,21771,285,0.90 [0.83-0.97],0.006153653824488
GPA33,Cell surface A33 antigen,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,21762,276,0.90 [0.83-0.97],0.0062646577899206
GPA33,Cell surface A33 antigen,Chapter X Diseases of the respiratory system,Other diseases of pleura,20375,292,0.89 [0.83-0.96],0.0034697647646795
GPA33,Cell surface A33 antigen,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,21349,130,0.86 [0.77-0.96],0.009043405715138
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Ulcer of oesophagus,16217,275,0.88 [0.82-0.95],0.0014785869226529
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Duodenal ulcer,16085,143,0.84 [0.75-0.94],0.0015136419092241
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced",22871,98,0.80 [0.70-0.92],0.0011847953286781
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Hernia,19438,2058,0.92 [0.89-0.95],5.1753591298243993e-08
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Inguinal hernia,18172,792,0.86 [0.82-0.90],3.8831371075426826e-11
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, all UC cases excluded)",22692,46,0.69 [0.57-0.85],0.0003182389821597
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",22984,60,0.76 [0.65-0.90],0.0017500834270807
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Crohn disease,21284,60,0.77 [0.65-0.91],0.001892574118998
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Crohn's disease NAS,21269,45,0.66 [0.54-0.81],7.11178478248696e-05
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Ulcerative colitis (strict definition, require KELA, min 2 HDR)",22903,144,0.84 [0.75-0.93],0.0012932656223606
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Ulcerative colitis,21368,144,0.84 [0.75-0.94],0.001469731746706
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",21358,134,0.84 [0.75-0.94],0.0024856393395735
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Irritable bowel syndrome,14688,153,1.18 [1.07-1.31],0.0011779374603791
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Diseases of liver,22149,125,0.84 [0.75-0.95],0.0036666270575054
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",21553,717,1.09 [1.04-1.14],0.0003216658399734
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Cholelithiasis,21419,583,1.08 [1.02-1.14],0.0049023207943343
GPA33,Cell surface A33 antigen,Chapter XI Diseases of the digestive system,Cholecystitis,20955,119,1.17 [1.04-1.31],0.0076263817599144
GPA33,Cell surface A33 antigen,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,15055,4400,1.03 [1.01-1.05],0.0092956713488227
GPA33,Cell surface A33 antigen,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,19928,939,1.06 [1.02-1.10],0.0064904890088499
GPA33,Cell surface A33 antigen,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,16788,4069,1.03 [1.01-1.06],0.0046684877064909
