Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SLIT2,Slit homolog 2 protein,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",16181,97,1.48 [1.15-1.89],0.0022130152652218
SLIT2,Slit homolog 2 protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19232,750,1.24 [1.11-1.39],0.0002152919982606
SLIT2,Slit homolog 2 protein,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,22611,83,0.54 [0.35-0.82],0.0039618416718542
SLIT2,Slit homolog 2 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,20494,751,1.20 [1.06-1.35],0.0032527635205946
SLIT2,Slit homolog 2 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,20471,728,1.20 [1.06-1.35],0.0040964417901957
SLIT2,Slit homolog 2 protein,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",18150,155,1.43 [1.13-1.82],0.0034352598685767
SLIT2,Slit homolog 2 protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,17319,250,1.31 [1.10-1.57],0.0031688728891772
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,13931,4464,1.10 [1.03-1.17],0.0054856803766966
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",14766,3134,1.10 [1.03-1.18],0.0076064858606819
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Hypertension,14809,3177,1.10 [1.03-1.18],0.0062070040531346
SLIT2,Slit homolog 2 protein,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,9354,670,1.37 [1.21-1.54],5.907867296357289e-07
SLIT2,Slit homolog 2 protein,Chapter XI Diseases of the digestive system,Diseases of liver,21756,117,1.40 [1.10-1.77],0.0061386333036913
