Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CD34,Hematopoietic progenitor cell antigen CD34,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,18304,291,0.59 [0.38-0.92],0.0192989052849859
CD34,Hematopoietic progenitor cell antigen CD34,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13371,1084,0.49 [0.39-0.63],6.5915721518367054e-09
CD34,Hematopoietic progenitor cell antigen CD34,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21556,134,1.88 [1.01-3.50],0.0463685946679193
CD34,Hematopoietic progenitor cell antigen CD34,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23023,133,1.93 [1.04-3.59],0.0378321214767893
CD34,Hematopoietic progenitor cell antigen CD34,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",9518,385,1.50 [1.02-2.21],0.0401826859256153
CD34,Hematopoietic progenitor cell antigen CD34,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23224,97,2.21 [1.07-4.56],0.0319575014843305
CD34,Hematopoietic progenitor cell antigen CD34,Chapter II Neoplasms,Benign neoplasm: Stomach,23278,71,2.76 [1.19-6.40],0.0180617240503704
CD34,Hematopoietic progenitor cell antigen CD34,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,21683,193,0.57 [0.34-0.96],0.0354051990451191
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16811,1658,0.48 [0.39-0.58],8.000340054815794e-14
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,21531,648,1.34 [1.01-1.78],0.0456332089589696
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21656,171,0.45 [0.26-0.79],0.0056907198494617
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,21075,780,0.34 [0.26-0.45],1.7804289551465883e-14
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,21049,754,0.33 [0.25-0.43],4.040742491783051e-15
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,16629,1476,0.42 [0.34-0.52],1.3578028678690051e-16
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",15345,192,0.33 [0.19-0.56],4.805343357923581e-05
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,16519,1366,0.42 [0.34-0.52],1.4018485723014821e-15
CD34,Hematopoietic progenitor cell antigen CD34,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",18669,162,0.49 [0.27-0.88],0.0163860150859788
CD34,Hematopoietic progenitor cell antigen CD34,Chapter V Mental and behavioural disorders,Smoking dependency,21645,51,0.33 [0.12-0.93],0.0362532149866127
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,16534,103,0.41 [0.20-0.86],0.0174809498409378
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,23182,80,0.38 [0.16-0.85],0.0196321607240425
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",22064,715,1.53 [1.16-2.01],0.0024016924686236
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,21789,440,1.88 [1.33-2.65],0.0003369107913424
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,22885,79,0.19 [0.08-0.43],6.976584285180238e-05
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,Hemiplegia,22866,60,0.14 [0.06-0.36],3.5765707316637336e-05
CD34,Hematopoietic progenitor cell antigen CD34,Chapter VI Diseases of the nervous system,Other neurological diseases,22711,121,0.47 [0.24-0.91],0.0254283147176508
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,22119,137,0.48 [0.26-0.89],0.0203773113698784
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2626,80,3.00 [1.43-6.31],0.0036817188257624
CD34,Hematopoietic progenitor cell antigen CD34,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diseases of middle ear and mastoid,23182,143,0.44 [0.24-0.82],0.0093149951124398
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,14348,4609,0.41 [0.35-0.47],8.699600342156961e-35
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Hypertension, essential",15207,3230,0.52 [0.44-0.61],1.3464576367848503e-16
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Hypertension,15249,3272,0.55 [0.47-0.64],1.517856966528675e-14
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,12085,108,9.50 [4.91-18.39],2.3107800889715342e-11
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20375,1844,0.33 [0.27-0.39],8.622178715736342e-33
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Angina pectoris,19628,1097,0.30 [0.24-0.38],3.719046972241957e-24
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,21872,349,0.34 [0.23-0.50],7.256197545550655e-08
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,22226,703,0.32 [0.24-0.42],8.330635561768232e-16
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",23112,130,0.34 [0.18-0.65],0.0009994616327914
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",18968,437,0.26 [0.18-0.37],1.0256378637378084e-13
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,20000,1493,0.30 [0.25-0.37],6.389225893711934e-31
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Secondary right heart disease,22108,118,0.48 [0.24-0.93],0.0305027476329495
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,22109,119,0.49 [0.25-0.96],0.0386039906837646
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",12091,114,0.40 [0.20-0.81],0.010685559267425
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Conduction disorders,17180,173,0.37 [0.21-0.66],0.000758250792855
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,9074,144,0.27 [0.14-0.53],0.00010538924661
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,9621,691,0.20 [0.15-0.28],6.753065302351887e-24
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,17132,125,0.45 [0.23-0.89],0.0207848756584314
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Heart failure, strict",21621,295,0.42 [0.27-0.64],6.637952839165156e-05
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Stroke, including SAH",21984,198,0.51 [0.30-0.85],0.0099821252517193
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",22020,178,0.47 [0.27-0.81],0.0062223668378358
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",22129,158,0.40 [0.23-0.72],0.002077059096487
CD34,Hematopoietic progenitor cell antigen CD34,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,21699,178,0.42 [0.24-0.73],0.0020269685421102
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,17141,2168,0.49 [0.41-0.58],2.3066388951120564e-16
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Influenza and pneumonia,20689,261,0.58 [0.37-0.92],0.0211341528348256
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,21990,288,0.47 [0.31-0.73],0.0007206500463023
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,21981,279,0.44 [0.28-0.68],0.0002519828402867
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,22545,551,0.71 [0.52-0.97],0.0300046380250232
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Vocal cord dysfunction,7365,75,0.33 [0.13-0.81],0.0155256474608446
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,20143,1140,0.48 [0.39-0.60],1.5684123754640988e-10
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Early onset COPD,21601,248,0.24 [0.15-0.38],1.6687938837703762e-09
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",21653,300,0.28 [0.19-0.44],8.349054934850132e-09
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",21653,300,0.28 [0.19-0.44],8.349054934850132e-09
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",21573,864,0.50 [0.39-0.64],5.904308384784693e-08
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Asthma,15114,864,0.40 [0.30-0.51],5.097650627564224e-12
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",14717,864,0.39 [0.30-0.50],2.102136298363044e-12
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",15105,855,0.39 [0.30-0.51],3.4416151960679122e-12
CD34,Hematopoietic progenitor cell antigen CD34,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,22706,126,0.31 [0.16-0.59],0.0004091093839274
