Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18115,258,1.23 [1.03-1.48],0.0234307432216159
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19033,130,0.56 [0.35-0.88],0.0123700126518466
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19550,124,0.63 [0.40-0.98],0.0426971275412914
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,12982,45,1.40 [1.03-1.90],0.030886323099887
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter V Mental and behavioural disorders,Other anxiety disorders,18423,54,0.44 [0.21-0.92],0.0298167562306621
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",18839,57,1.45 [1.05-1.99],0.0237204874237117
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,8242,568,1.27 [1.10-1.46],0.0013046849234553
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,19111,116,0.62 [0.39-0.99],0.0472456527013301
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XI Diseases of the digestive system,Colonic or urogenital fistula,19483,101,1.44 [1.16-1.79],0.0010438225102883
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XI Diseases of the digestive system,Other diseases of intestine,12800,300,1.25 [1.06-1.47],0.007372210886466
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18131,56,1.45 [1.04-2.01],0.0279299637671167
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XI Diseases of the digestive system,Coeliac disease,18123,48,1.45 [1.02-2.07],0.0369554813733919
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XI Diseases of the digestive system,"Postprocedural disorders of digestive system, not elsewhere classified",18117,42,1.61 [1.22-2.12],0.0006661258635283
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XII Diseases of the skin and subcutaneous tissue,"Cutaneous abscess, furuncle and carbuncle",18459,57,1.58 [1.19-2.09],0.0014982036103285
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,12853,3724,0.91 [0.84-0.99],0.0285561095438598
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,17421,1105,0.84 [0.73-0.95],0.0084326475859447
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,16429,113,0.61 [0.38-0.99],0.0436014454033048
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other soft tissue disorders, not elsewhere classified",16701,385,0.71 [0.55-0.90],0.0054149843429196
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified soft tissue disorders,16474,158,0.68 [0.46-1.00],0.047868352071132
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIV Diseases of the genitourinary system,Urolithiasis,19291,201,1.34 [1.12-1.61],0.0013719180493771
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIV Diseases of the genitourinary system,Calculus of kidney and ureter,19237,147,1.31 [1.05-1.63],0.0167806548132494
GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Chapter XIV Diseases of the genitourinary system,Unspecified renal colic,19149,59,1.39 [1.01-1.90],0.0426201214792925
