Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SAA4,Serum amyloid A-4 protein,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",20088,52,1.89 [1.39-2.58],5.2409490501216506e-05
SAA4,Serum amyloid A-4 protein,Chapter II Neoplasms,"Haemangioma, any site",20091,51,1.90 [1.40-2.59],4.300217028642667e-05
SAA4,Serum amyloid A-4 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,17749,107,0.11 [0.03-0.44],0.0018088309225959
SAA4,Serum amyloid A-4 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,18284,642,0.60 [0.39-0.91],0.0174307181610641
SAA4,Serum amyloid A-4 protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,18266,624,0.62 [0.41-0.94],0.0250557762644364
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,12436,3836,0.86 [0.75-1.00],0.0454261871863425
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,19373,84,0.17 [0.04-0.80],0.0245046002252275
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,10624,63,0.17 [0.03-0.99],0.0481296707708231
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",17705,1512,0.74 [0.59-0.94],0.0123377774599688
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,19288,570,0.57 [0.36-0.89],0.0141601340981574
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",16554,361,0.33 [0.17-0.66],0.0017885553946088
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,17382,1211,0.64 [0.48-0.86],0.0027438965956289
SAA4,Serum amyloid A-4 protein,Chapter IX Diseases of the circulatory system,Other arrhythmias,14978,81,0.20 [0.04-0.93],0.0406536961340235
SAA4,Serum amyloid A-4 protein,Chapter X Diseases of the respiratory system,Nasal polyp,19180,119,0.27 [0.08-0.95],0.0408573634003197
SAA4,Serum amyloid A-4 protein,Chapter XI Diseases of the digestive system,Diseases of pulp and periapical tissues,19569,78,0.18 [0.04-0.88],0.0339808217718927
SAA4,Serum amyloid A-4 protein,Chapter XI Diseases of the digestive system,Functional dyspepsia,14441,411,1.37 [1.12-1.68],0.0023951917889256
SAA4,Serum amyloid A-4 protein,Chapter XI Diseases of the digestive system,"Other or unspecified ileus, impaction or obstruction",12946,72,1.49 [1.00-2.21],0.0483102776794263
SAA4,Serum amyloid A-4 protein,Chapter XI Diseases of the digestive system,Diseases of liver,19401,106,0.25 [0.07-0.96],0.0429802664440502
SAA4,Serum amyloid A-4 protein,Chapter XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,19822,378,1.39 [1.13-1.71],0.001608367207602
SAA4,Serum amyloid A-4 protein,Chapter XII Diseases of the skin and subcutaneous tissue,Follicular cysts of skin and subcutaneous tissue,19758,314,1.49 [1.21-1.82],0.0001180319550313
SAA4,Serum amyloid A-4 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",15864,1404,0.79 [0.63-1.00],0.0467350991743308
SAA4,Serum amyloid A-4 protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other shoulder lesions,16831,53,0.13 [0.02-0.91],0.0394508274422223
SAA4,Serum amyloid A-4 protein,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,14846,3522,1.14 [1.02-1.28],0.0207573262768107
SAA4,Serum amyloid A-4 protein,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,17009,66,0.12 [0.02-0.72],0.0200752125977362
SAA4,Serum amyloid A-4 protein,Chapter XIV Diseases of the genitourinary system,Other disorders of penis,7080,79,1.59 [1.09-2.30],0.014895400193118
SAA4,Serum amyloid A-4 protein,Chapter XIV Diseases of the genitourinary system,Uterine polyps,8249,129,1.45 [1.04-2.02],0.0292982093259117
