Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
DKK3,Dickkopf-related protein 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13479,1101,1.93 [1.61-2.33],3.9366408013975904e-12
DKK3,Dickkopf-related protein 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16946,1676,1.61 [1.38-1.88],7.768815604981149e-10
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,14445,4651,1.69 [1.51-1.89],2.267051387350638e-20
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,"Hypertension, essential",15302,3260,1.48 [1.31-1.67],3.2846631977457896e-10
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,Hypertension,15346,3304,1.54 [1.37-1.74],2.4803180955930376e-12
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20522,1855,1.70 [1.47-1.96],3.2395539397710483e-13
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,20146,1504,1.70 [1.46-1.99],1.976514316216753e-11
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,9680,698,4.72 [3.71-5.99],6.387129307881349e-37
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,17253,123,4.98 [3.02-8.20],2.8249739632215984e-10
DKK3,Dickkopf-related protein 3,Chapter IX Diseases of the circulatory system,"Heart failure, strict",21775,299,3.64 [2.64-5.01],2.8352968523014736e-15
DKK3,Dickkopf-related protein 3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,19652,300,6.79 [4.93-9.35],9.352584989069384e-32
DKK3,Dickkopf-related protein 3,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,19718,82,8.58 [4.76-15.48],9.378974299751957e-13
