Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19147,920,1.12 [0.95-1.33],0.1651399882160075
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,18387,291,1.34 [1.01-1.78],0.0434997268670011
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,21702,181,0.98 [0.67-1.41],0.8943950277335292
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13450,1089,1.16 [0.99-1.36],0.0677354820058634
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21656,135,1.04 [0.68-1.59],0.8465629690780999
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,19198,96,1.09 [0.65-1.81],0.7539062506546921
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23127,134,1.06 [0.70-1.63],0.7713322848517952
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23114,90,1.18 [0.71-1.96],0.5141780776318288
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18701,73,1.18 [0.67-2.09],0.5642806752852223
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,21961,133,0.93 [0.60-1.44],0.7447677830224186
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21916,88,1.04 [0.61-1.76],0.8952219169872149
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23235,69,1.36 [0.78-2.38],0.2795920676394338
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23268,68,0.97 [0.53-1.77],0.9119374447213696
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23265,65,1.01 [0.55-1.87],0.9626375622290456
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Mycoses,22761,61,0.65 [0.33-1.28],0.212611046120574
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21637,441,1.32 [1.05-1.66],0.0158971580785413
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21335,139,1.88 [1.31-2.69],0.0006418807946523
ADA,Adenosine deaminase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21516,320,1.14 [0.87-1.50],0.3521237742261951
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",16733,103,1.12 [0.69-1.81],0.6414867548894017
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",16694,64,nan [nan-nan],
ADA,Adenosine deaminase,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",17035,405,0.85 [0.65-1.10],0.213004919619873
ADA,Adenosine deaminase,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",17047,417,0.83 [0.64-1.08],0.160658418935169
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",9563,384,1.33 [1.03-1.72],0.0282694615085018
ADA,Adenosine deaminase,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",7660,209,0.85 [0.60-1.21],0.3598112807256161
