Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16548,775,1.41 [1.25-1.58],2.3946219839896614e-08
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,15935,245,1.60 [1.31-1.96],4.436114080367407e-06
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,18670,154,1.18 [0.91-1.54],0.2149732932085498
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11619,876,1.36 [1.21-1.53],1.923150486912677e-07
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18629,113,1.22 [0.90-1.66],0.1982690536131529
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,16625,79,2.16 [1.59-2.95],1.050075766053546e-06
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19838,112,1.24 [0.91-1.68],0.1712884829948729
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19824,75,0.91 [0.61-1.35],0.6466080875087004
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16207,58,1.92 [1.32-2.79],0.0007045603146811
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,18918,112,1.77 [1.34-2.34],5.947302276600848e-05
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,18878,72,2.11 [1.52-2.91],6.651876562344782e-06
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19917,60,1.50 [1.01-2.23],0.0464114745653261
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19957,55,1.59 [1.07-2.38],0.0230778436577281
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19954,52,1.43 [0.93-2.19],0.101560740966
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Mycoses,19538,49,1.23 [0.77-1.96],0.3901190122653313
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",18635,372,1.53 [1.30-1.80],3.320733880973928e-07
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18385,122,1.49 [1.13-1.98],0.0053310149719063
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18532,269,1.62 [1.34-1.95],5.768088181614569e-07
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",14390,82,1.34 [0.93-1.93],0.1122349282890267
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",14359,51,0.74 [0.44-1.23],0.243280978472591
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",14647,339,1.05 [0.87-1.27],0.6084815815883264
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",14655,347,1.04 [0.86-1.26],0.6923180333335646
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",8253,322,0.99 [0.82-1.21],0.9473281841703668
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",6553,176,1.29 [1.00-1.67],0.048110244044605
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",14357,49,2.01 [1.32-3.07],0.00112154882841
