Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19056,919,4.16 [3.26-5.31],1.751437730218791e-30
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,18296,296,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,21601,179,2.56 [1.51-4.33],0.0004615788314133
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13379,1096,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21555,133,1.97 [1.07-3.65],0.030272981271358
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,19097,97,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23024,132,1.90 [1.03-3.49],0.0401545832460858
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23011,89,0.62 [0.29-1.36],0.2332588893189711
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18599,72,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,21867,134,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21821,88,,
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23131,70,4.02 [1.77-9.17],0.0009202792746313
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23160,66,2.51 [1.07-5.91],0.0344962141552624
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23157,63,2.17 [0.90-5.26],0.0861684168469766
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Mycoses,22652,61,4.31 [1.82-10.23],0.0009229619051757
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21541,442,4.72 [3.39-6.57],3.653012600230485e-20
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21237,138,8.04 [4.58-14.11],3.5782443197880026e-13
COL18A1,Collagen alpha-1(XVIII) chain,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21422,323,4.29 [2.91-6.32],1.6332781224550536e-13
COL18A1,Collagen alpha-1(XVIII) chain,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",16660,103,1.52 [0.75-3.10],0.247124925761154
