Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18855,903,0.94 [0.88-1.00],0.0606876692061227
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,18110,291,0.91 [0.81-1.03],0.1278181598065646
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,21379,177,0.97 [0.84-1.12],0.7018658337377273
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13259,1085,1.00 [0.94-1.06],0.9292156511118714
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21334,132,0.94 [0.80-1.12],0.4903287250879311
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,18900,98,1.07 [0.88-1.29],0.5174561473320807
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",22796,131,0.95 [0.80-1.12],0.5136993857567447
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,22782,88,0.92 [0.74-1.13],0.4079545397647545
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18408,73,0.97 [0.78-1.22],0.7987458960972417
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,21643,135,0.95 [0.80-1.12],0.5325256953245197
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21597,89,1.02 [0.83-1.25],0.8357925975239355
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,22901,68,0.96 [0.76-1.21],0.713949718035837
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,22931,65,1.09 [0.86-1.37],0.4747016388696757
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",22929,63,1.11 [0.88-1.40],0.3751358674863227
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Mycoses,22434,60,0.99 [0.77-1.26],0.910457627914119
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21315,431,0.93 [0.85-1.02],0.1376553036783835
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21021,137,0.93 [0.79-1.10],0.4018844926418567
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21196,312,0.93 [0.83-1.03],0.1742913316748472
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",16489,101,1.06 [0.88-1.28],0.5444382371401617
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",16452,64,1.16 [0.93-1.46],0.196070126365092
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",16783,395,0.94 [0.85-1.04],0.2285244110802959
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",16795,407,0.95 [0.86-1.05],0.3085307926210672
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",9435,384,1.08 [0.99-1.19],0.0966190783084851
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",7543,206,0.93 [0.81-1.07],0.2874383965478584
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",16444,56,1.00 [0.78-1.29],0.977826147595736
DCTN2,Dynactin subunit 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19576,771,1.02 [0.95-1.09],0.6204181493288772
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",21399,465,0.99 [0.90-1.08],0.7563894676845458
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,22388,152,0.83 [0.70-0.97],0.0210308569916384
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",22986,149,1.07 [0.92-1.25],0.3712619736141391
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign neoplasm: Rectum,22662,87,0.99 [0.80-1.21],0.9047766220864648
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,22994,94,0.99 [0.81-1.21],0.922525532254727
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign neoplasm: Stomach,23047,70,0.95 [0.75-1.19],0.6454199222829718
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign lipomatous neoplasm,22807,296,0.98 [0.88-1.10],0.7183242851115745
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23028,101,0.99 [0.82-1.20],0.9284173803945568
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23033,85,0.86 [0.70-1.07],0.1820949475419682
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",22947,58,0.98 [0.77-1.27],0.8994558871092937
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,"Haemangioma, any site",22950,57,1.02 [0.79-1.31],0.9035895654260327
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Melanocytic naevi,22889,147,1.07 [0.92-1.25],0.3622910879644031
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,23026,64,1.00 [0.79-1.27],0.9691757821018468
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Other benign neoplasms of skin,22909,173,0.98 [0.85-1.14],0.8306934779689046
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Benign neoplasm of breast,12027,45,0.85 [0.64-1.14],0.2896166808645968
DCTN2,Dynactin subunit 2,Chapter II Neoplasms,Leiomyoma of uterus,11883,306,0.93 [0.83-1.04],0.2211793372300088
DCTN2,Dynactin subunit 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,21480,197,0.98 [0.85-1.12],0.7522910773146354
DCTN2,Dynactin subunit 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,20935,357,1.06 [0.95-1.17],0.2954698276969427
DCTN2,Dynactin subunit 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,20935,357,1.06 [0.95-1.17],0.2954698276969427
DCTN2,Dynactin subunit 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18379,567,1.01 [0.93-1.09],0.8413160854370325
DCTN2,Dynactin subunit 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,22429,60,0.71 [0.55-0.92],0.0107787407419249
DCTN2,Dynactin subunit 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,22702,61,1.40 [1.12-1.74],0.0031156199566921
DCTN2,Dynactin subunit 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16648,1651,1.02 [0.97-1.07],0.4130631392470845
DCTN2,Dynactin subunit 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,21319,641,1.03 [0.95-1.11],0.5059282333924183
DCTN2,Dynactin subunit 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20245,152,0.90 [0.77-1.06],0.2039445293551457
