Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16548,775,2.42 [1.99-2.95],6.959890938113105e-19
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,15935,245,4.13 [3.14-5.45],7.552574709088763e-24
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,18670,154,2.13 [1.51-2.99],1.5028543230448498e-05
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11619,876,3.94 [3.22-4.82],2.0564849511340108e-40
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18629,113,1.95 [1.31-2.92],0.0010291322475947
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,16625,79,3.80 [2.55-5.64],4.124577917829106e-11
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19838,112,1.95 [1.31-2.91],0.0010799811576984
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19824,75,0.81 [0.37-1.78],0.5976033904085629
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16207,58,3.04 [1.89-4.91],5.239819258323515e-06
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,18918,112,3.09 [2.18-4.37],1.8943974486945686e-10
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other septicaemia,18878,72,3.29 [2.25-4.81],7.542128395528812e-10
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19917,60,2.29 [1.43-3.69],0.0006223592411993
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19957,55,1.87 [1.03-3.37],0.0389635288947437
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19954,52,1.89 [1.03-3.46],0.0384149986304897
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Mycoses,19538,49,2.35 [1.46-3.78],0.0004247424055454
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",18635,372,2.50 [1.95-3.21],4.783433641376019e-13
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18385,122,2.52 [1.74-3.66],1.0802571394545006e-06
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18532,269,2.46 [1.85-3.26],4.1197981909195037e-10
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",14390,82,0.78 [0.36-1.69],0.5347217280114769
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",14359,51,nan [nan-nan],
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",14647,339,1.19 [0.84-1.67],0.3268115528807551
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",14655,347,1.23 [0.88-1.71],0.2329605625516513
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",8253,322,1.42 [0.99-2.05],0.0595255022468303
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",6553,176,1.38 [0.93-2.04],0.1105898134973244
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",14357,49,2.19 [1.34-3.58],0.0018313418173682
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,17136,627,3.38 [2.75-4.15],3.176826810122425e-31
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",18633,401,1.43 [1.08-1.88],0.0124880802910348
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19472,138,1.44 [0.91-2.29],0.1230423048346329
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19995,127,1.65 [1.08-2.53],0.0208499292535952
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,Benign neoplasm: Rectum,19714,80,0.93 [0.44-1.97],0.856735947709275
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19997,81,1.17 [0.59-2.34],0.6570631450605289
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,Benign neoplasm: Stomach,20046,57,1.30 [0.59-2.87],0.50758192053524
EFCAB14,EF-hand calcium-binding domain-containing protein 14,Chapter II Neoplasms,Benign lipomatous neoplasm,19842,250,1.04 [0.69-1.57],0.8474307902741733
