Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19033,913,1.76 [1.43-2.17],8.385233193596018e-08
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,18281,292,3.15 [2.24-4.44],4.7916528538170925e-11
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,21577,181,1.94 [1.25-3.01],0.0031807112515705
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13371,1090,2.25 [1.85-2.73],5.1960524040843e-16
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21530,134,1.59 [0.94-2.68],0.0835065040527089
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,19084,96,3.93 [2.25-6.86],1.5578279004846878e-06
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",22993,133,1.53 [0.91-2.58],0.1098976799302136
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,22980,89,0.75 [0.39-1.47],0.4066832454067413
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18584,72,5.06 [2.81-9.12],6.694289547871034e-08
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,21833,130,2.81 [1.71-4.61],4.398206269055747e-05
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,21790,87,3.20 [1.77-5.81],0.0001238066041548
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23101,70,3.37 [1.79-6.36],0.0001781002812764
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23131,65,1.95 [0.96-3.98],0.0661484536764123
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23128,62,2.06 [1.00-4.26],0.0502776599266134
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Mycoses,22630,61,1.09 [0.49-2.42],0.8325799361516927
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",21510,439,1.77 [1.32-2.36],0.0001134533658191
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21210,139,2.62 [1.62-4.24],8.545485706664588e-05
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,21389,318,1.60 [1.13-2.25],0.007451956946777
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",16628,103,0.97 [0.52-1.81],0.9302358330185276
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",16588,63,1.27 [0.57-2.83],0.5539699838016376
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",16924,399,0.95 [0.69-1.31],0.7582287675789123
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",16935,410,0.96 [0.70-1.32],0.7982469285042363
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",9509,384,1.26 [0.91-1.75],0.1702173839790137
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",7608,208,1.49 [0.97-2.28],0.0682854207068484
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",16583,58,2.07 [0.94-4.54],0.0697516574755056
PODXL2,Podocalyxin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19737,774,2.88 [2.32-3.58],1.5321751469760285e-21
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",21596,474,1.19 [0.90-1.58],0.2255203384118281
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,22593,159,0.88 [0.53-1.44],0.6067327903887879
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23193,149,1.14 [0.69-1.89],0.6086428651319753
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Rectum,22865,88,1.38 [0.72-2.65],0.326932423407126
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,23197,95,1.83 [1.00-3.36],0.051396062586085
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign neoplasm: Stomach,23251,69,2.25 [1.12-4.53],0.022606263939121
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm,23006,293,1.20 [0.84-1.72],0.3225841563691171
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,23232,100,1.69 [0.93-3.07],0.0826390812526458
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23236,84,1.41 [0.73-2.74],0.3086773184903471
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23148,58,1.45 [0.65-3.25],0.366897508662803
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,"Haemangioma, any site",23151,57,1.50 [0.67-3.38],0.3261744983029286
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Melanocytic naevi,23089,148,0.70 [0.41-1.18],0.1841445905044391
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,23229,64,0.68 [0.31-1.51],0.3473197885315269
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Other benign neoplasms of skin,23111,178,1.00 [0.63-1.60],0.9897845129601246
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Benign neoplasm of breast,12137,45,1.08 [0.42-2.77],0.8797053975682725
PODXL2,Podocalyxin-like protein 2,Chapter II Neoplasms,Leiomyoma of uterus,11994,306,0.84 [0.58-1.21],0.3438065398859856
PODXL2,Podocalyxin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,21659,197,2.48 [1.65-3.73],1.167008059120403e-05
PODXL2,Podocalyxin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,21123,354,2.86 [2.10-3.89],2.2658719770581768e-11
PODXL2,Podocalyxin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,21123,354,2.86 [2.10-3.89],2.2658719770581768e-11
PODXL2,Podocalyxin-like protein 2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18552,572,1.66 [1.27-2.16],0.0001668136059308
PODXL2,Podocalyxin-like protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,22624,59,2.30 [1.07-4.93],0.0328821990116997
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,22907,59,1.19 [0.53-2.66],0.6803349058659722
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,16779,1663,1.25 [1.06-1.47],0.0074461933568641
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,21502,642,1.65 [1.30-2.09],4.162218906453657e-05
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,20427,154,2.04 [1.29-3.24],0.0023908220583419
PODXL2,Podocalyxin-like protein 2,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21628,170,1.52 [0.96-2.41],0.0750555330080629
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,20414,141,1.69 [1.03-2.77],0.0392772178893051
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,21057,784,0.89 [0.71-1.12],0.3354549918086574
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,21030,757,0.85 [0.67-1.07],0.174199863074876
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,21350,186,1.08 [0.67-1.76],0.7478009462282953
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",21349,185,1.08 [0.67-1.76],0.7500705872169864
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,16593,1477,1.15 [0.97-1.37],0.1053816300846253
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",15308,192,1.48 [0.94-2.32],0.0898615139653469
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,16482,1366,1.15 [0.96-1.38],0.1339315917087983
PODXL2,Podocalyxin-like protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,15175,59,5.40 [2.90-10.08],1.1382586443032809e-07
