Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,16288,769,1.05 [0.96-1.16],0.2890376726007561
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,15671,236,1.07 [0.90-1.28],0.4267282221474051
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,18366,153,1.01 [0.82-1.25],0.9085532626671486
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,11419,864,1.07 [0.98-1.18],0.1427702889884269
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18326,113,0.96 [0.75-1.23],0.7480328084023455
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,16355,76,1.24 [0.92-1.66],0.1539880149458668
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19512,112,0.97 [0.76-1.25],0.8220631841596897
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19497,74,1.02 [0.75-1.39],0.8975526643777183
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,15945,58,1.14 [0.81-1.60],0.4459224420279678
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,18605,109,1.14 [0.89-1.46],0.315207960146364
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other septicaemia,18566,70,1.13 [0.83-1.54],0.4309150163688009
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19592,61,1.18 [0.85-1.65],0.3184077011765757
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19626,55,1.00 [0.70-1.43],0.9989243524593456
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19623,52,1.04 [0.73-1.50],0.813148997084852
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Mycoses,19224,51,1.06 [0.74-1.53],0.7425039227760133
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",18327,362,1.09 [0.94-1.25],0.2498489749135549
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18083,118,1.09 [0.86-1.39],0.4855428840682793
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18227,262,1.08 [0.92-1.28],0.3281121715828389
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",14170,84,0.84 [0.63-1.13],0.2563803351098214
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",14134,48,0.93 [0.63-1.36],0.7040591014070874
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",14424,338,0.94 [0.81-1.09],0.4260828483584533
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",14432,346,0.94 [0.81-1.09],0.4216394660049545
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",8141,317,1.05 [0.90-1.22],0.5133698460567754
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",6435,173,0.95 [0.77-1.17],0.6088422015846724
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",14132,46,0.75 [0.50-1.12],0.1585352228616334
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16857,614,1.04 [0.94-1.16],0.4412309313651693
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",18325,389,1.02 [0.89-1.17],0.795654810151582
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19144,129,0.92 [0.73-1.17],0.4996130129271203
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19662,126,0.97 [0.77-1.23],0.8169540792690275
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign neoplasm: Rectum,19397,79,0.96 [0.71-1.29],0.7892804436473656
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19667,80,1.00 [0.74-1.34],0.999417534715999
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign neoplasm: Stomach,19715,56,0.90 [0.63-1.29],0.5699222288588783
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm,19517,240,0.91 [0.77-1.08],0.2883015267413312
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19700,88,0.88 [0.66-1.17],0.3706742336414166
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19700,71,0.80 [0.58-1.10],0.1616302074899485
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",19629,51,0.94 [0.65-1.36],0.7441163681372231
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,"Haemangioma, any site",19632,50,0.98 [0.67-1.42],0.9064178778090354
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Melanocytic naevi,19579,126,1.22 [0.97-1.53],0.0915144549397716
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,19696,57,1.37 [0.98-1.91],0.0654366386714383
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Other benign neoplasms of skin,19595,143,0.99 [0.80-1.24],0.9586335408270406
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Benign neoplasm of breast,10370,39,0.79 [0.51-1.22],0.2838939896365369
YWHAQ,14-3-3 protein theta,Chapter II Neoplasms,Leiomyoma of uterus,10244,262,0.88 [0.74-1.04],0.1272397485747356
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,18431,161,1.04 [0.85-1.28],0.689558539861572
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,18004,275,1.09 [0.93-1.28],0.2661661569735586
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,18004,275,1.09 [0.93-1.28],0.2661661569735586
YWHAQ,14-3-3 protein theta,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),15888,442,1.02 [0.90-1.16],0.7243213903167756
YWHAQ,14-3-3 protein theta,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,19213,49,0.67 [0.45-0.99],0.0457894394529381
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,19436,46,0.96 [0.65-1.41],0.8226104207639724
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,14379,1311,0.98 [0.91-1.06],0.5811091232106447
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,18285,540,1.07 [0.96-1.20],0.2215293339710626
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,17349,117,0.92 [0.72-1.18],0.5248687958579437
YWHAQ,14-3-3 protein theta,Chapter IX Diseases of the circulatory system,Peripheral artery disease,18380,135,1.04 [0.83-1.30],0.7462308158137293
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,17340,108,0.92 [0.72-1.19],0.5477596661715467
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,17862,630,1.03 [0.92-1.15],0.5924175344932984
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,17844,612,1.02 [0.91-1.14],0.7653735257057739
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,18184,144,0.78 [0.62-1.00],0.0509203250970251
YWHAQ,14-3-3 protein theta,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",18183,143,0.78 [0.61-1.00],0.0497215724539813
