Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
AIF1,Allograft inflammatory factor 1,Lifestyle factors,X1050.Time spend outdoors in summer,44997,0.0350692963977992,0.0156153441343428,0.00446322189448722,0.0656753709011111,0.0247201921641701
AIF1,Allograft inflammatory factor 1,Lifestyle factors,X1060.Time spent outdoors in winter,39254,0.04377934149866,0.0175901189799073,0.00930270829804179,0.0782559746992783,0.0128194583470067
AIF1,Allograft inflammatory factor 1,Physical activities,X1070.Time spent watching television (TV),47304,0.0499115584858416,0.015724411613018,0.0190917117243263,0.0807314052473569,0.0015037497336239
AIF1,Allograft inflammatory factor 1,Physical activities,X1080.Time spent using computer,39233,-0.00522498056911791,0.0162065442909637,-0.0369898073794068,0.026539846241171,0.747151837929379
AIF1,Allograft inflammatory factor 1,Physical activities,X1090.Time spent driving,34011,-0.0142240540727762,0.0176865184629641,-0.0488896302601858,0.0204415221146335,0.421268952719546
AIF1,Allograft inflammatory factor 1,Lifestyle factors,X1160.Sleep duration,49861,-0.0142974576865617,0.0142757148591053,-0.0422778588104081,0.0136829434372847,0.316578857095526
AIF1,Allograft inflammatory factor 1,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,16690,0.016522466799957,0.0148622649073054,-0.0126075724183616,0.0456525060182755,0.266280671906451
AIF1,Allograft inflammatory factor 1,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,16690,-0.0081792621178983,0.0145205390122458,-0.0366395185819,0.0202809943461034,0.57324557678925
AIF1,Allograft inflammatory factor 1,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,16690,-0.0362872551611155,0.0165936457148921,-0.0688108007623039,-0.003763709559927,0.0287697807182879
AIF1,Allograft inflammatory factor 1,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,16690,-0.020235259056615,0.0169427507204898,-0.0534430504687751,0.012972532355545,0.232365349977794
