Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Lifestyle factors,X1050.Time spend outdoors in summer,38750,-0.0437570482525116,0.0347555391539563,-0.111877904994266,0.0243638084892427,0.208039743310435
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Lifestyle factors,X1060.Time spent outdoors in winter,33835,-0.0284597550179887,0.0392681593529405,-0.105425347349752,0.0485058373137747,0.468607983010387
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Physical activities,X1070.Time spent watching television (TV),40796,0.20566029646797,0.0350444275539609,0.136973218462207,0.274347374473733,4.42989533992505e-09
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Physical activities,X1080.Time spent using computer,33762,-0.10133988832299,0.0359213709169351,-0.171745775320182,-0.0309340013257968,0.00478784571655955
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Physical activities,X1090.Time spent driving,29371,-0.146814714882606,0.0390503894711313,-0.223353478246023,-0.0702759515191887,0.000170499887482744
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Lifestyle factors,X1160.Sleep duration,42948,0.0372024681601185,0.0311991770739516,-0.0239479189048267,0.0983528552250636,0.233103877841336
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,13998,0.00535203158723874,0.0078935039675658,-0.0101192361891902,0.0208232993636677,0.497763963444885
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,13998,-0.0016731527921968,0.00770084229810589,-0.0167668036964843,0.0134204981120907,0.828002037317092
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,13998,-0.0113947765072685,0.00872128268508284,-0.0284884905700309,0.00569893755549386,0.191387673960135
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,13998,-0.00285727738871115,0.00892763031765025,-0.0203554328113056,0.0146408780338833,0.748936117433585
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,13998,-0.0050001608457783,0.00907386231838033,-0.0227849309898038,0.0127846092982472,0.581607522067619
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,13998,-0.0341208450482663,0.019342208958364,-0.0720315746066598,0.00378988451012711,0.0777434656012373
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,13998,-0.00976311783458643,0.0195420147068704,-0.0480654666600524,0.0285392309908795,0.617367238566917
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,13998,0.0108908320629888,0.0140515575785503,-0.0166502207909697,0.0384318849169473,0.438315972481492
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,13998,0.00091772553360543,0.0102227845461198,-0.0191189321767895,0.0209543832440003,0.928469240148381
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,13998,0.000158431655315175,0.00694268594279028,-0.0134492327925538,0.0137660961031841,0.981794230388313
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#18.Location of pain during the past week_Upper back,13998,0.015544173062704,0.0100582028011211,-0.00416990442749333,0.0352582505529014,0.122266726518915
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#19.Location of pain during the past week_Lower back,13998,0.0077057749010586,0.00562192340092803,-0.00331319496476034,0.0187247447668775,0.170501339639245
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,13998,-0.00252051933489954,0.00723935884260189,-0.0167096626663993,0.0116686239966002,0.727718611401434
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,13998,0.00741328307986043,0.0107995163341985,-0.0137537689351687,0.0285803350948896,0.492443386827946
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,13998,0.00058989777631491,0.0100324568339251,-0.0190737176181782,0.0202535131708081,0.953113096978117
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,13998,0.0170933523738982,0.0133721821496754,-0.00911612463946563,0.0433028293872621,0.201173003920356
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,13998,-0.00331362269072027,0.0130047814922013,-0.0288029944154348,0.0221757490339943,0.798881062768052
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#7.Location of pain during the past week_Left hip,13998,0.0150916850232702,0.0078553313087948,-0.000304764341967585,0.030488134388508,0.0547264420401399
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#8.Location of pain during the past week_Right hip,13998,-0.0147162333544703,0.0074221925357734,-0.0292637307245862,-0.000168735984354493,0.0474166873241611
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,13998,-0.00115020229669329,0.00926844718083746,-0.0193163587711347,0.0170159541777481,0.90123890676847
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120040.Fatigue severity over the past week,14013,0.16146941728356,0.056645165217302,0.0504448934576478,0.272493941109472,0.00437085868015835
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120041.Waking unrefreshed severity over the past week,14016,0.0895798832240612,0.0561027190274625,-0.0203814460697653,0.199541212517888,0.110352495091118
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120042.Cognitive symptoms severity over the past week,14012,0.0384619905800857,0.0607912581819265,-0.0806888754564902,0.157612856616662,0.526946765871541
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120098.Mobility problems today,14020,0.0556617245254434,0.0660906506672821,-0.0738759507824295,0.185199399833316,0.399688885509707
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120099.Self-care problems today,14020,0.00982057066902054,0.102093264684549,-0.190282228112695,0.209923369450736,0.923369341527201
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120100.Problems doing usual activities,14020,0.0390195688840155,0.0629389782957395,-0.0843408285756339,0.162379966343665,0.535295047803545
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120101.Pain or discomfort today,14020,-0.00476571093352637,0.0566742764804035,-0.115847292835117,0.106315870968064,0.932986483867525
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120102.Anxiety or depression today,14020,-0.0130706194686076,0.0688982720288113,-0.148111232645078,0.121969993707862,0.84953994966451
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120103.Scale to indicate how health is today,13970,-0.000901823144007726,0.00243416727663192,-0.00567279100620628,0.00386914471819083,0.711026565327922
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,13983,0.0177400483141776,0.0697448240418699,-0.118959806807887,0.154439903436243,0.799223909781845
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",13961,-0.11531079745948,0.0729385452394419,-0.258270346128786,0.0276487512098265,0.113916525411123
LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",13992,0.0603897116247074,0.0561765224626474,-0.0497162724020814,0.170495695651496,0.282393684932618
