Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X1050.Time spend outdoors in summer,40057,0.0517533011876351,0.019554134304641,0.0134271979505387,0.0900794044247314,0.00813209163332863
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X1060.Time spent outdoors in winter,34964,0.0281166349299631,0.0220462622103763,-0.0150940390023745,0.0713273088623007,0.202194917357214
LRRC59,Leucine-rich repeat-containing protein 59,Physical activities,X1070.Time spent watching television (TV),42146,0.0841392092185529,0.0197167139063072,0.0454944499621908,0.122783968474915,1.98191128874618e-05
LRRC59,Leucine-rich repeat-containing protein 59,Physical activities,X1080.Time spent using computer,34934,-0.0772865886707336,0.0202697837229506,-0.117015364767717,-0.0375578125737505,0.000137583545656129
LRRC59,Leucine-rich repeat-containing protein 59,Physical activities,X1090.Time spent driving,30352,-0.0206182053634374,0.0219681693430227,-0.0636758172757619,0.022439406548887,0.34796977335812
LRRC59,Leucine-rich repeat-containing protein 59,Lifestyle factors,X1160.Sleep duration,44385,-0.00539147707328017,0.0178928350442526,-0.0404614337600154,0.029678479613455,0.763171561785153
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,14461,0.00613134114117256,0.0131202574779005,-0.0195843635155124,0.0318470457978575,0.640278956239362
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,14461,0.00983536566112289,0.0127790609531581,-0.015211593807067,0.0348823251293128,0.441521912755103
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,14461,-0.0174354065430509,0.014491748779488,-0.0458392341508474,0.0109684210647455,0.228947099319325
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,14461,0.0102035940150232,0.0148513311588509,-0.0189050150563246,0.039312203086371,0.492062802950466
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,14461,0.000681772340997449,0.0151516998023355,-0.0290155592715801,0.030379103953575,0.96411077949343
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,14461,-0.0584131779145594,0.0322667937379326,-0.121656093640907,0.00482973781178851,0.0702671564853046
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,14461,-0.00557118206451699,0.0326599548303039,-0.0695846935319126,0.0584423294028787,0.864555282947639
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,14461,0.00218096655421451,0.0231681996842999,-0.0432287048270132,0.0475906379354422,0.925002260631746
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,14461,-0.00748914462802017,0.0169846582516801,-0.0407790748013132,0.0258007855452729,0.659266041164338
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,14461,-0.00581306766633822,0.0115762389632511,-0.0285024960343104,0.0168763607016339,0.615566062971497
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#18.Location of pain during the past week_Upper back,14461,0.031577175884935,0.0167287168384798,-0.00121110911848536,0.0643654608883553,0.0590992935591739
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#19.Location of pain during the past week_Lower back,14461,-0.00859763654776063,0.00936800458875039,-0.0269589255417114,0.00976365244619014,0.358756681811343
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,14461,-0.00694443664370993,0.0120412795825477,-0.0305453446255034,0.0166564713380835,0.564138172659317
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,14461,0.0212342921579056,0.0178178446633654,-0.0136886833822906,0.0561572676981017,0.233381597237483
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,14461,-0.00753126405924047,0.0166864209222906,-0.0402366490669301,0.0251741209484492,0.651750653660139
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,14461,0.0249495994315125,0.022322763999032,-0.0188030180065902,0.0687022168696152,0.263724329499341
LRRC59,Leucine-rich repeat-containing protein 59,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,14461,0.0237922924828014,0.0215187141227076,-0.0183843871977055,0.0659689721633082,0.268893911404342
