Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
MDH1,"Malate dehydrogenase, cytoplasmic",Lifestyle factors,X1050.Time spend outdoors in summer,39872,0.040608243588943,0.0230971286310851,-0.00466212852798379,0.0858786157058698,0.0787294666122278
MDH1,"Malate dehydrogenase, cytoplasmic",Lifestyle factors,X1060.Time spent outdoors in winter,34788,0.0423890518680056,0.0260814565550315,-0.00873060297985604,0.0935087067158673,0.104117018834641
MDH1,"Malate dehydrogenase, cytoplasmic",Physical activities,X1070.Time spent watching television (TV),41951,0.0767719411659258,0.0232248542678576,0.0312512268009248,0.122292655530927,0.000948547852965191
MDH1,"Malate dehydrogenase, cytoplasmic",Physical activities,X1080.Time spent using computer,34754,-0.0420945629720265,0.0241145170440049,-0.0893590163782762,0.00516989043422315,0.0808874334243218
MDH1,"Malate dehydrogenase, cytoplasmic",Physical activities,X1090.Time spent driving,30204,-0.0387194895226745,0.0261067907234662,-0.0898887993406682,0.0124498202953193,0.138053111959313
MDH1,"Malate dehydrogenase, cytoplasmic",Lifestyle factors,X1160.Sleep duration,44177,-0.0333049373435151,0.0210527111060105,-0.0745682511112956,0.00795837642426548,0.113661628968253
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,14399,-0.00585269971196814,0.0113828483052891,-0.0281630823903348,0.0164576829663985,0.60714223020227
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,14399,0.0114905599896391,0.011087594273746,-0.0102411247869031,0.0332222447661814,0.300059182399758
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,14399,-0.00981364102739765,0.0126417590025755,-0.0345914886724457,0.0149642066176504,0.437591943466641
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,14399,0.00684126052129177,0.0129311199985461,-0.0185037346758586,0.0321862557184421,0.596776166487922
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,14399,-0.00706179393915029,0.0131342621980842,-0.0328049478473953,0.0186813599690947,0.590818721954074
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,14399,-0.0468522281086587,0.0279769188537582,-0.101686989062025,0.00798253284470742,0.0940198818994806
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,14399,-0.00311976462871553,0.0284462765804525,-0.0588744667264024,0.0526349374689713,0.912670909234984
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#15.Location of pain during the past week_Chest pain,14399,-0.0115940459131432,0.0200423132949371,-0.0508769799712199,0.0276888881449336,0.562950212872628
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#16.Location of pain during the past week_Abdomen,14399,0.00546181981725163,0.014695399909746,-0.0233411640058506,0.0342648036403539,0.710145024568637
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#17.Location of pain during the past week_Neck pain,14399,0.00165944295116664,0.0100623516499845,-0.018062766282803,0.0213816521851363,0.869012402910166
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#18.Location of pain during the past week_Upper back,14399,0.0186825616467859,0.0145403405937284,-0.00981650591692181,0.0471816292104937,0.198855658705734
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#19.Location of pain during the past week_Lower back,14399,0.000710494883658062,0.00814492179600648,-0.0152535518365146,0.0166745416038308,0.93048860451738
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,14399,-0.0151498819358749,0.0104486247108178,-0.0356291863690777,0.00532942249732797,0.147096972451843
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,14399,0.00720067976420054,0.0155547497642906,-0.0232866297738091,0.0376879893022101,0.643425257500587
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,14399,-0.0175063930467503,0.0144793519805688,-0.0458859229286652,0.0108731368351646,0.22665999210226
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,14399,0.00677572497997096,0.019375715783849,-0.0312006779563731,0.044752127916315,0.726567533147496
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,14399,0.00943573372805275,0.018660425469071,-0.0271387001913264,0.0460101676474319,0.613106751340438
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#7.Location of pain during the past week_Left hip,14399,0.00644915297495394,0.0113587310330583,-0.0158139598498404,0.0287122657997483,0.5701996400182
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#8.Location of pain during the past week_Right hip,14399,-0.00977771580573591,0.0107588879230382,-0.0308651361348907,0.0113097045234189,0.363469044658013
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,14399,0.0218993231762164,0.013421795049833,-0.0044073951214562,0.048206041473889,0.10278060495693
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120040.Fatigue severity over the past week,14413,-0.0354935327118088,0.0381701067413794,-0.110306941924912,0.0393198765012949,0.352449978726894
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120041.Waking unrefreshed severity over the past week,14415,-0.0411176172532113,0.0377549332610721,-0.115117286444913,0.0328820519384901,0.276142972287719
MDH1,"Malate dehydrogenase, cytoplasmic",Health and medical history,X120042.Cognitive symptoms severity over the past week,14412,0.0257383669956754,0.0410873926206499,-0.0547929225407983,0.106269656532149,0.531043003394176
