Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
PILRB,Paired immunoglobulin-like type 2 receptor beta,Lifestyle factors,X1050.Time spend outdoors in summer,46089,0.0395041294233819,0.0140859365396749,0.0118956938056192,0.0671125650411447,0.00504144423627865
PILRB,Paired immunoglobulin-like type 2 receptor beta,Lifestyle factors,X1060.Time spent outdoors in winter,40193,0.00213028493634676,0.0158664338531561,-0.0289679254158392,0.0332284952885327,0.893194787737287
PILRB,Paired immunoglobulin-like type 2 receptor beta,Physical activities,X1070.Time spent watching television (TV),48481,0.119346606693885,0.0140866095879034,0.091736851901594,0.146956361486175,2.47155906160478e-17
PILRB,Paired immunoglobulin-like type 2 receptor beta,Physical activities,X1080.Time spent using computer,40192,-0.0785167088157211,0.0145336867874703,-0.107002734919163,-0.0500306827122793,6.61301307665295e-08
PILRB,Paired immunoglobulin-like type 2 receptor beta,Physical activities,X1090.Time spent driving,34877,-0.0273303709662538,0.0159703776273078,-0.0586323111157771,0.00397156918326945,0.0870315947218261
PILRB,Paired immunoglobulin-like type 2 receptor beta,Lifestyle factors,X1160.Sleep duration,51065,0.0217171293402593,0.0128888237061549,-0.00354496512380423,0.0469792238043228,0.0920027464868904
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,17082,-0.00636133097605709,0.0159866367285472,-0.0376951389640096,0.0249724770118954,0.690697431007642
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,17082,0.0116772676947857,0.0155638794293637,-0.0188279359867673,0.0421824713763386,0.453096418620856
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,17082,-0.00181399948364173,0.0178079885562028,-0.0367176570537992,0.0330896580865157,0.918865530321811
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,17082,0.00124011782379409,0.0181921581089885,-0.0344165120698234,0.0368967477174116,0.945652926483296
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,17082,0.0208390200022803,0.0185320229992202,-0.0154837450761912,0.0571617850807518,0.260822272057646
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,17082,-0.0233098366554805,0.0391303653076939,-0.100005352658561,0.0533856793475996,0.55138563939156
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,17082,0.0451163980859572,0.0406994510217056,-0.0346545259165858,0.1248873220885,0.267650353165668
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,17082,-0.0108450118405936,0.0279564512350477,-0.065639656261287,0.0439496325800999,0.698076229033088
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,17082,0.0290395977410758,0.0204657392088824,-0.0110732511083337,0.0691524465904853,0.155935599531237
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,17082,0.0275507961689957,0.0140336814758148,4.47804763986474e-05,0.0550568118615927,0.0496402062354515
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#18.Location of pain during the past week_Upper back,17082,0.043349236425173,0.0203696457690693,0.00342473071779714,0.0832737421325489,0.0333406651866401
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#19.Location of pain during the past week_Lower back,17082,0.000239529519766026,0.01138897766596,-0.0220828667055156,0.0225619257450476,0.983220617096164
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,17082,0.0276880922629191,0.0147295736820654,-0.00118187215392915,0.0565580566797673,0.0601575468585267
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,17082,0.0147648666677545,0.0218503753484636,-0.0280618690152342,0.0575916023507432,0.499223782042756
PILRB,Paired immunoglobulin-like type 2 receptor beta,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,17082,0.0110883427392457,0.0206791264981945,-0.0294427451972155,0.051619430675707,0.591820801305104
