Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
PTP4A3,Protein tyrosine phosphatase type IVA 3,Lifestyle factors,X1050.Time spend outdoors in summer,38887,-0.0235233043051395,0.0182939024614139,-0.0593793531295107,0.0123327445192317,0.198501362005932
PTP4A3,Protein tyrosine phosphatase type IVA 3,Lifestyle factors,X1060.Time spent outdoors in winter,33953,-0.0111616792340291,0.0207043583322003,-0.0517422215651416,0.0294188630970834,0.589822736339726
PTP4A3,Protein tyrosine phosphatase type IVA 3,Physical activities,X1070.Time spent watching television (TV),40935,0.108944449829113,0.0186927467131268,0.0723066662713843,0.145582233386841,5.64588221394431e-09
PTP4A3,Protein tyrosine phosphatase type IVA 3,Physical activities,X1080.Time spent using computer,33888,-0.0166700210439838,0.0190593392686186,-0.0540263260104763,0.0206862839225088,0.381777144089913
PTP4A3,Protein tyrosine phosphatase type IVA 3,Physical activities,X1090.Time spent driving,29485,-0.0499678268994563,0.0206534827818562,-0.0904486531518944,-0.00948700064701828,0.0155546508180307
PTP4A3,Protein tyrosine phosphatase type IVA 3,Lifestyle factors,X1160.Sleep duration,43100,-0.00631287497109817,0.0167982869000401,-0.0392375172951767,0.0266117673529804,0.707063952383262
PTP4A3,Protein tyrosine phosphatase type IVA 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,14051,-0.0159292271955693,0.0147683594267803,-0.0448752116720585,0.01301675728092,0.280782358922339
PTP4A3,Protein tyrosine phosphatase type IVA 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,14051,-0.00685158586968799,0.0144012173413483,-0.0350779718587307,0.0213748001193547,0.63424967124209
PTP4A3,Protein tyrosine phosphatase type IVA 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,14051,0.00561071818788842,0.0163316184797698,-0.0263992540324603,0.0376206904082371,0.73119030797776
PTP4A3,Protein tyrosine phosphatase type IVA 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,14051,0.0069710942938343,0.0166963086594821,-0.0257536706787506,0.0396958592664191,0.676302228609059
PTP4A3,Protein tyrosine phosphatase type IVA 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,14051,-0.00670683390094877,0.0169663003752548,-0.0399607826364482,0.0265471148345506,0.692625098502295
