Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
APOF,Apolipoprotein F,Lifestyle factors,X1050.Time spend outdoors in summer,45733,-0.0370079944137204,0.0531067938515087,-0.141097310362678,0.0670813215352368,0.485898094838753
APOF,Apolipoprotein F,Lifestyle factors,X1060.Time spent outdoors in winter,42509,-0.049071273500316,0.0606727566741514,-0.167989876581653,0.0698473295810207,0.418648932317694
APOF,Apolipoprotein F,Physical activities,X1070.Time spent watching television (TV),47095,-0.141686380631186,0.0544440534617742,-0.248396725416263,-0.0349760358461083,0.00926282777958503
APOF,Apolipoprotein F,Physical activities,X1080.Time spent using computer,42488,0.017475708649375,0.0565534987925354,-0.0933691489839943,0.128320566282744,0.757315983149961
APOF,Apolipoprotein F,Physical activities,X1090.Time spent driving,40220,0.136003425915455,0.0607343726908691,0.0169640554413512,0.255042796389558,0.0251492774128379
APOF,Apolipoprotein F,Lifestyle factors,X1160.Sleep duration,48412,-0.107914005520573,0.0491340677408165,-0.204216778292573,-0.0116112327485725,0.0280787834006628
APOF,Apolipoprotein F,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32657,0.00747750286514103,0.00779312735845403,-0.00779702675742888,0.0227520324877109,0.337335375412481
APOF,Apolipoprotein F,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32657,-0.0267532754474597,0.00695220322528665,-0.0403795937690215,-0.0131269571258979,0.000119904921588326
APOF,Apolipoprotein F,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32657,-0.0141276027200649,0.00826761299138925,-0.0303321241831879,0.00207691874305801,0.0875279364994533
APOF,Apolipoprotein F,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32657,-0.0252493188561226,0.00838898961716823,-0.0416917385057724,-0.00880689920647289,0.00262200154046182
APOF,Apolipoprotein F,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32657,-0.013766399714672,0.0085338182662283,-0.0304926835164795,0.00295988408713544,0.106748578440153
APOF,Apolipoprotein F,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32657,0.00270229690865328,0.0163804624530246,-0.029403409499275,0.0348080033165816,0.868971081551652
APOF,Apolipoprotein F,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32657,-0.0284335156778472,0.0159685179654243,-0.0597318108900789,0.0028647795343845,0.0750150909173121
APOF,Apolipoprotein F,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32657,-0.0405549594229288,0.0126438217986801,-0.0653368501483419,-0.0157730686975157,0.00134411813812647
APOF,Apolipoprotein F,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32657,-0.0286982501427641,0.00902890293346243,-0.0463948998923505,-0.0110016003931777,0.00148595581272587
APOF,Apolipoprotein F,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32657,-0.0180522481260884,0.00627955323555589,-0.0303601724677779,-0.00574432378439882,0.00405366374061567
APOF,Apolipoprotein F,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32657,-0.0266841129591449,0.008685940861559,-0.0437085570478005,-0.00965966887048923,0.00213252083221142
APOF,Apolipoprotein F,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32657,-0.0206970085078257,0.00531557559450631,-0.031115536673058,-0.0102784803425933,9.95287106685456e-05
APOF,Apolipoprotein F,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32657,-0.0176386358951363,0.00660675883630661,-0.0305878832142972,-0.00468938857597533,0.00760489864228826
APOF,Apolipoprotein F,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32657,-0.0363737833011036,0.00946869217740973,-0.0549324199688266,-0.0178151466333805,0.000123216573007323
APOF,Apolipoprotein F,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32657,-0.013386651159757,0.00890161941164893,-0.0308338252065889,0.00406052288707493,0.132659905182196
APOF,Apolipoprotein F,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32657,-0.0303563656973233,0.0124634270349748,-0.0547846826858739,-0.00592804870877277,0.0148867999818079
APOF,Apolipoprotein F,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32657,-0.0280683367066664,0.011768039938689,-0.051133694986497,-0.0050029784268359,0.0170955277122055
APOF,Apolipoprotein F,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32657,-0.0182754788527445,0.00706360863878482,-0.0321201517847628,-0.0044308059207263,0.00969094765389939
APOF,Apolipoprotein F,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32657,-0.0218451972783165,0.00657190871214137,-0.0347261383541136,-0.00896425620251937,0.000891166131141563
APOF,Apolipoprotein F,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32657,-0.01052516592842,0.00874509157129192,-0.0276655454081522,0.00661521355131213,0.228797792481416
APOF,Apolipoprotein F,Health and medical history,X120040.Fatigue severity over the past week,32664,-0.568991343110005,0.100005750015689,-0.765002613140756,-0.372980073079254,1.31721374177715e-08
APOF,Apolipoprotein F,Health and medical history,X120041.Waking unrefreshed severity over the past week,32663,-0.40377173501161,0.100161676387685,-0.600088620731473,-0.207454849291748,5.59945476879519e-05
APOF,Apolipoprotein F,Health and medical history,X120042.Cognitive symptoms severity over the past week,32661,-0.388123873584926,0.105751040414855,-0.595395912798042,-0.180851834371809,0.000243930328687634
APOF,Apolipoprotein F,Health and medical history,X120098.Mobility problems today,32667,-0.314645859776867,0.112259879355394,-0.534675223313439,-0.0946164962402956,0.00507744071155071
APOF,Apolipoprotein F,Health and medical history,X120099.Self-care problems today,32667,-0.491328264792603,0.160229884189869,-0.805378837804747,-0.177277691780459,0.00217360594004437
APOF,Apolipoprotein F,Health and medical history,X120100.Problems doing usual activities,32667,-0.423644574261194,0.108240564025657,-0.635796079751483,-0.211493068770906,9.15446124294675e-05
APOF,Apolipoprotein F,Health and medical history,X120101.Pain or discomfort today,32667,-0.336594597575103,0.100860906764046,-0.534281974832633,-0.138907220317572,0.000849982174383757
APOF,Apolipoprotein F,Health and medical history,X120102.Anxiety or depression today,32667,-0.405581128363562,0.112993189090273,-0.627047778980497,-0.184114477746626,0.000333334234746566
APOF,Apolipoprotein F,Health and medical history,X120103.Scale to indicate how health is today,32628,0.0115473813641526,0.0022915708645643,0.00705590246960654,0.0160388602586986,4.77828457709193e-07
APOF,Apolipoprotein F,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,32642,-0.504193823054756,0.116261811957887,-0.732066974492213,-0.276320671617298,1.4636359047729e-05
APOF,Apolipoprotein F,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",32621,-0.418373505321677,0.118721405125613,-0.651067459367879,-0.185679551275475,0.000427420370632548
APOF,Apolipoprotein F,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",32650,-0.364851893167139,0.0990832807689578,-0.559055123474297,-0.170648662859982,0.000232648176350303
APOF,Apolipoprotein F,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,32650,-0.562053964175361,0.101853737407951,-0.761687289494946,-0.362420638855777,3.5284348477593e-08
APOF,Apolipoprotein F,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,32653,-0.535216597065594,0.11718375931805,-0.764896765328973,-0.305536428802216,5.01194422000015e-06
APOF,Apolipoprotein F,Health and medical history,X120109.Feeling bad about self over the last two weeks,32626,-0.242035651577353,0.121958274718976,-0.481073870026545,-0.00299743312816034,0.0472248829330147
APOF,Apolipoprotein F,Health and medical history,X120110.Trouble concentrating over the last two weeks,32650,-0.339607199958298,0.125245163043723,-0.585087719523995,-0.0941266803926009,0.0067111192576185
APOF,Apolipoprotein F,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,32641,-0.608397646107802,0.167650465571557,-0.936992558628055,-0.27980273358755,0.000286294032652046
APOF,Apolipoprotein F,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,32606,-0.404235983012912,0.229679546762069,-0.854407894666567,0.0459359286407436,0.0784453202506229
APOF,Apolipoprotein F,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",30612,-0.377390254363102,0.125249266687392,-0.622878817070391,-0.131901691655813,0.00259633898688657
APOF,Apolipoprotein F,Lifestyle factors,X1269.Exposure to tobacco smoke at home,46338,-0.0208681351684091,0.105078078515374,-0.226821169058542,0.185084898721723,0.842580262120938
APOF,Apolipoprotein F,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,44708,-0.102336936993951,0.0684042126650699,-0.236409193817488,0.0317353198295862,0.13465310326043
