Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1050.Time spend outdoors in summer,45665,-0.0279532467562659,0.0342839684884817,-0.0951498249936901,0.0392433314811583,0.41488427099407
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1060.Time spent outdoors in winter,42444,0.0122697269205632,0.0390114032235941,-0.0641926233976812,0.0887320772388075,0.753132493750978
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1070.Time spent watching television (TV),47035,0.142952926466385,0.0348188577371241,0.0747079653016218,0.211197887631148,4.04653189390747e-05
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1080.Time spent using computer,42439,-0.171418813138417,0.0369159834815723,-0.243774140762299,-0.0990634855145358,3.45003343528738e-06
FGFBP3,Fibroblast growth factor-binding protein 3,Physical activities,X1090.Time spent driving,40173,-0.137138642854702,0.0404046209518374,-0.216331699920303,-0.0579455857891006,0.000690163700372592
FGFBP3,Fibroblast growth factor-binding protein 3,Lifestyle factors,X1160.Sleep duration,48341,0.030129327670217,0.0315340365404909,-0.0316773839491451,0.0919360392895791,0.339357724420326
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32653,0.0182430883370278,0.0137971428365026,-0.0087993116225173,0.045285488296573,0.186126225588041
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32653,-0.00542615644804291,0.012299460607618,-0.0295330992389741,0.0186807863428883,0.659101359227892
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32653,-0.00509454920384926,0.0145330443566513,-0.0335793161428859,0.0233902177351873,0.725935466650581
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32653,-0.00353501505840255,0.0148026321466967,-0.032548174065928,0.0254781439491229,0.81125896262901
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32653,0.00678505482840422,0.015018707583724,-0.0226516120356948,0.0362217216925033,0.65144407414034
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32653,-0.0202116533252864,0.0287563031208962,-0.0765740074422429,0.0361507007916702,0.482162992398483
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32653,0.0297893202586229,0.0281241630728552,-0.0253340393641734,0.0849126798814192,0.289536553316974
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32653,0.00814701397052342,0.0222328146236791,-0.0354293026918876,0.0517233306329345,0.714045512146797
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32653,0.0222953693661963,0.0160005771394629,-0.00906576182715096,0.0536565005595435,0.163533507348929
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32653,-0.0160497513367353,0.0110536961705908,-0.0377149958310932,0.00561549315762268,0.146545280323204
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32653,-0.00421028802138675,0.0152942195004867,-0.0341869582423407,0.0257663821995672,0.783103278291421
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32653,-0.00503939319665602,0.00940718831340102,-0.023477482290922,0.01339869589761,0.592183192217737
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32653,-0.0171416348413359,0.0116907337193342,-0.0400554729312309,0.0057722032485592,0.142616284019095
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32653,0.0118648662694641,0.0166963377900472,-0.0208599557990285,0.0445896883379567,0.477335695425171
FGFBP3,Fibroblast growth factor-binding protein 3,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32653,-0.00756284360034907,0.0157184863808687,-0.0383710769068516,0.0232453897061535,0.63042752851872
