Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
GPR15L,Protein GPR15L,Lifestyle factors,X1050.Time spend outdoors in summer,45605,-0.0183765137272104,0.0207271080381602,-0.0590016454820045,0.0222486180275837,0.375308018255756
GPR15L,Protein GPR15L,Lifestyle factors,X1060.Time spent outdoors in winter,42383,0.0430239610042335,0.023667756901259,-0.00336484252223423,0.0894127645307012,0.0691067845884277
GPR15L,Protein GPR15L,Physical activities,X1070.Time spent watching television (TV),46970,-0.0667277080874822,0.0208950846613729,-0.107682074023773,-0.0257733421511914,0.0014077008295717
GPR15L,Protein GPR15L,Physical activities,X1080.Time spent using computer,42391,-0.156985427679246,0.0223546512121373,-0.200800544055035,-0.113170311303457,2.25747363622938e-12
GPR15L,Protein GPR15L,Physical activities,X1090.Time spent driving,40116,-0.0240673183541808,0.0242187496138043,-0.0715360675972373,0.0234014308888757,0.320361233604363
GPR15L,Protein GPR15L,Lifestyle factors,X1160.Sleep duration,48272,-0.100852002861512,0.0190366542910487,-0.138163845271967,-0.063540160451056,1.18260243834462e-07
GPR15L,Protein GPR15L,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32609,0.0147747012680699,0.0227583660752124,-0.0298316962393464,0.0593810987754862,0.516228241491743
GPR15L,Protein GPR15L,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32609,-0.00442950537328556,0.020484927510398,-0.0445799632936656,0.0357209525470945,0.828811993642554
GPR15L,Protein GPR15L,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32609,-0.000551728005700797,0.0241441070698709,-0.0478741778626477,0.0467707218512462,0.981769321541752
GPR15L,Protein GPR15L,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32609,0.0543087351113813,0.0245425036737218,0.00620542791088657,0.102412042311876,0.0269359784536727
GPR15L,Protein GPR15L,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32609,0.0532266371106439,0.0249210656060096,0.00438134852286515,0.102071925698423,0.0327246720859836
GPR15L,Protein GPR15L,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32609,-0.0840811108002525,0.0480630654470463,-0.178284719076463,0.0101224974759582,0.0802610011765563
GPR15L,Protein GPR15L,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32609,-0.0125227624835059,0.0468552111201311,-0.104358976278963,0.0793134513119511,0.789271815897696
GPR15L,Protein GPR15L,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32609,0.0299436515068251,0.0369827829390354,-0.0425426030536843,0.102429906067334,0.418156565541999
GPR15L,Protein GPR15L,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32609,0.0196810797179141,0.026572744800092,-0.0324015000902662,0.0717636595260945,0.458927543198419
GPR15L,Protein GPR15L,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32609,-0.0346930003663418,0.0183808235354278,-0.0707194144957804,0.00133341376309675,0.0591344543198193
GPR15L,Protein GPR15L,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32609,-0.00489259526626904,0.0254946218615655,-0.0548620541149374,0.0450768635823993,0.847819865779786
GPR15L,Protein GPR15L,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32609,0.0218435863958371,0.0155983602135681,-0.00872919962275636,0.0524163724144306,0.161438460299899
GPR15L,Protein GPR15L,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32609,-0.0235849473036603,0.019407602190408,-0.06162384759686,0.0144539529895393,0.224308703488973
GPR15L,Protein GPR15L,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32609,0.025809727389004,0.027784277735071,-0.0286474569717353,0.0802669117497432,0.352951391897431
GPR15L,Protein GPR15L,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32609,0.0162367287418424,0.0260941530957535,-0.0349078113258345,0.0673812688095193,0.533803905744837
GPR15L,Protein GPR15L,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32609,0.0133585954454584,0.0365016965647591,-0.0581847298214693,0.0849019207123862,0.714395530259405
GPR15L,Protein GPR15L,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32609,0.0624801394151607,0.0344394173373692,-0.00502111856608293,0.129981397396404,0.0696829989416108
GPR15L,Protein GPR15L,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32609,0.024784622747372,0.0207315585182863,-0.0158492319484691,0.0654184774432131,0.231925651077223
GPR15L,Protein GPR15L,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32609,0.00600971394660877,0.0192730283286506,-0.0317654215775465,0.043784849470764,0.755185361932472
GPR15L,Protein GPR15L,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32609,0.00765728145784312,0.0256158891613129,-0.0425498612983302,0.0578644242140164,0.765003343902756
GPR15L,Protein GPR15L,Health and medical history,X120040.Fatigue severity over the past week,32616,0.0934468333406272,0.0337836010285422,0.0272309753246845,0.15966269135657,0.00568689590635127
GPR15L,Protein GPR15L,Health and medical history,X120041.Waking unrefreshed severity over the past week,32614,0.00397998346580062,0.033610803769839,-0.0618971919230839,0.0698571588546852,0.905742695462596
GPR15L,Protein GPR15L,Health and medical history,X120042.Cognitive symptoms severity over the past week,32613,0.0957582419801368,0.0361320645550163,0.0249393954523049,0.166577088507969,0.00805924554123896
GPR15L,Protein GPR15L,Health and medical history,X120098.Mobility problems today,32619,0.0668762607029699,0.0397934476511955,-0.0111188966933733,0.144871418099313,0.0928818579810563
GPR15L,Protein GPR15L,Health and medical history,X120099.Self-care problems today,32619,0.102749863228134,0.062343007646151,-0.0194424317583221,0.22494215821459,0.0993628909004294
GPR15L,Protein GPR15L,Health and medical history,X120100.Problems doing usual activities,32619,0.0829497104844169,0.0375939255742119,0.00926561635896163,0.156633804609872,0.0273791416173599
GPR15L,Protein GPR15L,Health and medical history,X120101.Pain or discomfort today,32619,0.035740801943092,0.0338302062943991,-0.0305664023939302,0.102048006280114,0.290782048488852
GPR15L,Protein GPR15L,Health and medical history,X120102.Anxiety or depression today,32619,0.0486722306964582,0.0395509895660211,-0.0288477088529432,0.126192170245859,0.218500552491513
GPR15L,Protein GPR15L,Health and medical history,X120103.Scale to indicate how health is today,32580,-0.00363532335198561,0.00674803850340801,-0.0168614788186653,0.0095908321146941,0.590092774554161
GPR15L,Protein GPR15L,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,32594,0.0419789587829646,0.0407704461621183,-0.0379311156947874,0.121889033260717,0.303208741306339
GPR15L,Protein GPR15L,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",32572,0.0268357488186622,0.0409965105107672,-0.0535174117824414,0.107188909419766,0.512752775152473
GPR15L,Protein GPR15L,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",32603,-0.0110793307532866,0.0333854730237183,-0.0765148578797745,0.0543561963732013,0.740002884279267
GPR15L,Protein GPR15L,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,32601,-0.0178691128378146,0.0342124080011848,-0.0849254325201368,0.0491872068445075,0.601476236994595
GPR15L,Protein GPR15L,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,32605,0.0708414426662772,0.0410177585969208,-0.00955336418368763,0.151236249516242,0.0841890268635867
GPR15L,Protein GPR15L,Health and medical history,X120109.Feeling bad about self over the last two weeks,32580,0.0855721885247018,0.0424472690686413,0.00237554115016482,0.168768835899239,0.0438365334969647
GPR15L,Protein GPR15L,Health and medical history,X120110.Trouble concentrating over the last two weeks,32601,0.100867639355681,0.0440676519641598,0.0144950415059281,0.187240237205434,0.0221090637200709
GPR15L,Protein GPR15L,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,32592,0.162351433599375,0.0642803935577297,0.0363618622262244,0.288341004972525,0.0115664223476905
GPR15L,Protein GPR15L,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,32558,0.0529010797602644,0.0876549576718039,-0.118902637276471,0.224704796797,0.54618304618923
GPR15L,Protein GPR15L,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",30574,0.103577452342456,0.0439301641869333,0.0174743305360666,0.189680574148845,0.0184161150895223
GPR15L,Protein GPR15L,Lifestyle factors,X1269.Exposure to tobacco smoke at home,46222,0.087988183341842,0.0452148339406392,-0.000632891181810966,0.176609257865495,0.0516672808684523
GPR15L,Protein GPR15L,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,44596,0.0426739869482359,0.0294537295482476,-0.0150553229663294,0.100403296862801,0.147395509197514
GPR15L,Protein GPR15L,Diet and food preferences,X1289.Cooked vegetable intake,47795,-0.0778045886291214,0.0198552635675557,-0.116720905221531,-0.0388882720367121,8.93232382860959e-05
GPR15L,Protein GPR15L,Diet and food preferences,X1299.Salad  or  raw vegetable intake,47373,-0.0155873307586293,0.0214790271775336,-0.0576862240265952,0.0265115625093366,0.468030090429069
GPR15L,Protein GPR15L,Diet and food preferences,X1309.Fresh fruit intake,47854,0.0687754685202589,0.0205677609566776,0.0284626570451709,0.109088279995347,0.000827546207089113
GPR15L,Protein GPR15L,Diet and food preferences,X1319.Dried fruit intake,46361,0.00181853528484548,0.0208395244386095,-0.0390269326148291,0.04266400318452,0.930462655981777
GPR15L,Protein GPR15L,Health and medical history,X134.Number of self-reported cancers,48530,0.00532795075112423,0.0344667868270049,-0.0622269514298055,0.0728828529320539,0.877152021942132
GPR15L,Protein GPR15L,Health and medical history,X135.Number of self-reported non-cancer illnesses,48530,0.0776124692914968,0.0197835353473642,0.0388367400106629,0.116388198572331,8.76652886805355e-05
GPR15L,Protein GPR15L,Health and medical history,"X136.Number of operations, self-reported",48530,-0.0082661128802015,0.0199165282341322,-0.0473025082191007,0.0307702824586977,0.67811789981763
