Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
IL17D,Interleukin-17D,Lifestyle factors,X1050.Time spend outdoors in summer,48347,0.044756084536286,0.0340068074943462,-0.0218972581526325,0.111409427225205,0.18815581842466
IL17D,Interleukin-17D,Lifestyle factors,X1060.Time spent outdoors in winter,44739,0.026269614327395,0.0379559053277201,-0.0481239601149364,0.100663188769726,0.488876956416431
IL17D,Interleukin-17D,Physical activities,X1070.Time spent watching television (TV),49862,0.0824174221542432,0.0340542753184681,0.0156710425300457,0.149163801778441,0.0155198604739689
IL17D,Interleukin-17D,Physical activities,X1080.Time spent using computer,44723,-0.12035346690352,0.0360968672184795,-0.19110332665174,-0.0496036071553004,0.000857044979262674
IL17D,Interleukin-17D,Physical activities,X1090.Time spent driving,42167,-0.0129043354462062,0.0393299346897138,-0.0899910074380452,0.0641823365456328,0.742836397141778
IL17D,Interleukin-17D,Lifestyle factors,X1160.Sleep duration,51380,0.0312340983829805,0.0308189341622214,-0.0291710125749734,0.0916392093409344,0.310844310957761
IL17D,Interleukin-17D,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,33875,0.00399404801725162,0.0126574416206215,-0.0208145375591665,0.0288026335936697,0.752351543064437
IL17D,Interleukin-17D,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,33875,0.0140353886072561,0.0114078564111878,-0.00832400995867208,0.0363947871731842,0.218605559004341
IL17D,Interleukin-17D,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,33875,0.0088435908002956,0.013654223808776,-0.0179186878649053,0.0356058694654965,0.517206626170663
IL17D,Interleukin-17D,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,33875,-0.00532975713746955,0.0139586790058643,-0.0326887679889636,0.0220292537140245,0.70260060602695
IL17D,Interleukin-17D,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,33875,-0.0161245293311386,0.0141991064943833,-0.0439547780601298,0.0117057193978526,0.256152183545998
