Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
IL20RB,Interleukin-20 receptor subunit beta,Lifestyle factors,X1050.Time spend outdoors in summer,45118,-0.0104847637544398,0.0303585401025452,-0.0699875023554284,0.0490179748465488,0.729823834433384
IL20RB,Interleukin-20 receptor subunit beta,Lifestyle factors,X1060.Time spent outdoors in winter,41989,-0.0180572456344771,0.0348642019677485,-0.0863910814912641,0.05027659022231,0.604513053175153
IL20RB,Interleukin-20 receptor subunit beta,Physical activities,X1070.Time spent watching television (TV),46442,-0.0275617753364779,0.0307560066347165,-0.0878435483405223,0.0327199976675664,0.37018628594854
IL20RB,Interleukin-20 receptor subunit beta,Physical activities,X1080.Time spent using computer,41952,0.0485754107522061,0.0329002933262486,-0.0159091641672411,0.113059985671653,0.139842976430665
IL20RB,Interleukin-20 receptor subunit beta,Physical activities,X1090.Time spent driving,39768,0.00659629973549535,0.035831666645391,-0.0636337668894711,0.0768263663604618,0.853944232790673
IL20RB,Interleukin-20 receptor subunit beta,Lifestyle factors,X1160.Sleep duration,47716,0.0157343161564501,0.0280814560502148,-0.0393053377019709,0.0707739700148711,0.575273512199565
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32410,-0.0143649493230967,0.0163763523994515,-0.0464626000260216,0.0177327013798282,0.380417328920844
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32410,-0.0045329212133202,0.0146001100476775,-0.0331491369067682,0.0240832944801278,0.756210395903992
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32410,0.00115333099176108,0.0172983487609077,-0.0327514325796179,0.0350580945631401,0.946843787751567
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32410,-0.00280969207531667,0.0175207378201543,-0.0371503382028192,0.0315309540521858,0.872598575084646
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32410,-0.00333632474078622,0.0178490167744583,-0.0383203976187245,0.0316477481371521,0.851728714612333
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32410,-0.0127981834394354,0.0343392235416719,-0.0801030615811123,0.0545066947022415,0.709382641143795
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32410,-0.00340524919463238,0.033463635283819,-0.0689939743509176,0.0621834759616528,0.918949984945826
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32410,-0.0333400218565644,0.0265512211608103,-0.0853804153317526,0.0187003716186237,0.209266359520064
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32410,0.00619723920706971,0.018984052454185,-0.0310115036031328,0.0434059820172723,0.744096670383438
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32410,-0.00505780778309318,0.0131213771042391,-0.0307757069074019,0.0206600913412155,0.699904581442705
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32410,-0.0127143320996053,0.0182398870438528,-0.0484645107055568,0.0230358465063461,0.485784357139539
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32410,0.027219946697714,0.0111460681594217,0.00537365310524748,0.0490662402901805,0.0146232316854816
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32410,-0.00846413582692767,0.0138747017771746,-0.03565855131019,0.0187302796563346,0.541852120477467
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32410,0.00435404862565956,0.0198999268253812,-0.0346498079520876,0.0433579052034068,0.82681362495993
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32410,0.00426020801102394,0.0186887850808175,-0.0323698107473783,0.0408902267694262,0.819686830841209
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32410,-0.0226022580308129,0.0259789161346879,-0.0735209336548013,0.0283164175931754,0.384314003144123
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32410,-0.0194282981240256,0.0247523890478836,-0.0679429806578774,0.0290863844098262,0.432532062008276
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32410,0.0334393138534487,0.0148042706813188,0.00442294331806397,0.0624556843888335,0.0239251890913431
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32410,0.0138632565240033,0.013783052900315,-0.0131515271606141,0.0408780402086206,0.314533225902234
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32410,0.0134753886354813,0.0182806476357639,-0.022354680730616,0.0493054580015786,0.461059212930036
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120040.Fatigue severity over the past week,32417,0.00809308322880553,0.0481648897199097,-0.0863101006222175,0.102496267079829,0.866564977325713
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120041.Waking unrefreshed severity over the past week,32417,-0.0323716690246685,0.0483398058902918,-0.12711768856964,0.0623743505203035,0.503088240266273
IL20RB,Interleukin-20 receptor subunit beta,Health and medical history,X120042.Cognitive symptoms severity over the past week,32414,-0.0309270348832537,0.0518922415807163,-0.132635828381458,0.0707817586149503,0.551201713404961
