Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Lifestyle factors,X1050.Time spend outdoors in summer,45596,0.0552966216209766,0.0264838088667091,0.00338835624222685,0.107204886999726,0.0368151245569301
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Lifestyle factors,X1060.Time spent outdoors in winter,42387,0.0561048561138308,0.0301816047988462,-0.00305108929190775,0.115260801519569,0.0630564097273566
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Physical activities,X1070.Time spent watching television (TV),46949,0.0596268590482584,0.026726522850613,0.00724287426105696,0.11201084383546,0.0256909794783583
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Physical activities,X1080.Time spent using computer,42393,-0.0576626902789001,0.0282593309048216,-0.11305097885235,-0.00227440170544976,0.041316831380842
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Physical activities,X1090.Time spent driving,40109,0.00777239408106921,0.0309947722967514,-0.0529773596205635,0.0685221477827019,0.801999343079929
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Lifestyle factors,X1160.Sleep duration,48263,-0.0065398907477961,0.0242213131771378,-0.0540136645749863,0.0409338830793941,0.787158267923508
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32604,0.012791183929664,0.0181070630059835,-0.0226986595620637,0.0482810274213916,0.479947434100966
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32604,0.0222568378710276,0.0162442782654527,-0.00958194752925961,0.0540956232713148,0.170682809136738
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32604,-0.00723178708536594,0.0191629398891985,-0.044791149268195,0.0303275750974631,0.705898072700744
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32604,0.0240186554482547,0.0195269532753238,-0.01425417297138,0.0622914838678894,0.218722955366016
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32604,0.0191653213756117,0.0198114291263177,-0.0196650797119709,0.0579957224631943,0.33337924454059
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32604,-0.00920195085281159,0.0380977964308089,-0.083873631857197,0.0654697301515738,0.809146576523844
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32604,-0.0017785193405114,0.0370395184773532,-0.0743759755561237,0.0708189368751009,0.961704025761241
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32604,-0.0222835474735529,0.029395347129634,-0.0798984278476356,0.0353313329005299,0.44843472497939
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32604,-0.0123457703671033,0.0210370302759881,-0.05357834970804,0.0288868089738334,0.55731466480843
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32604,0.00356859640398131,0.0146018687318166,-0.0250510663103793,0.0321882591183419,0.806932512592529
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32604,0.0232687275071757,0.0202165215786125,-0.0163556547869048,0.0628931098012562,0.249775941324531
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32604,-0.00733400447043604,0.0123874430940336,-0.0316133929347418,0.0169453839938698,0.553832510897391
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32604,-0.00105374662972432,0.0154339645102954,-0.0313043170699034,0.0291968238104548,0.94556877561638
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32604,0.0134150776154652,0.0220202922016505,-0.0297446950997698,0.0565748503307001,0.542399358684404
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32604,0.011389896830382,0.0207378002918638,-0.0292561917416709,0.052035985402435,0.582860188481225
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32604,0.00563642777957476,0.0291505020807601,-0.051498556298715,0.0627714118578645,0.846684900548367
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32604,-0.0357127562782297,0.0275246500703375,-0.0896610704160911,0.0182355578596318,0.194501881142154
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32604,0.0136742878177578,0.016468798567138,-0.0186045573738325,0.0459531330093482,0.406385116144318
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32604,-0.000650769479510392,0.0152914086684823,-0.0306219304697358,0.029320391510715,0.966055037964934
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32604,0.00819359690349994,0.0203862297954654,-0.0317634134956123,0.0481506073026122,0.687754760285731
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120040.Fatigue severity over the past week,32611,-0.0297230863026874,0.0425781813435337,-0.113176321736013,0.0537301491306386,0.485145456112142
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Health and medical history,X120041.Waking unrefreshed severity over the past week,32610,-0.0334945794545122,0.0421946834826472,-0.116196159080501,0.0492070001714763,0.427328899143544
