Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
OSTN,Osteocrin,Lifestyle factors,X1050.Time spend outdoors in summer,45117,0.00841230198374083,0.0298799908111894,-0.0501524800061904,0.066977083973672,0.778301911128211
OSTN,Osteocrin,Lifestyle factors,X1060.Time spent outdoors in winter,41971,-0.00904129421349029,0.0345785295648078,-0.0768152121605136,0.058732623733533,0.793732127745772
OSTN,Osteocrin,Physical activities,X1070.Time spent watching television (TV),46450,-0.0145015726002838,0.0308711433785982,-0.0750090136223363,0.0460058684217688,0.638541699636948
OSTN,Osteocrin,Physical activities,X1080.Time spent using computer,41975,-0.00840601039323334,0.0326093306199935,-0.0723202984084207,0.055508277621954,0.796580268846918
OSTN,Osteocrin,Physical activities,X1090.Time spent driving,39757,-0.0518568911745089,0.0354629542114843,-0.121364281429018,0.0176504990800004,0.143684084607444
OSTN,Osteocrin,Lifestyle factors,X1160.Sleep duration,47727,0.0389379508901596,0.027705938766614,-0.0153656890924039,0.0932415908727231,0.159915451405596
OSTN,Osteocrin,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32444,0.0101841118233352,0.0161612529377292,-0.0214919439346141,0.0418601675812845,0.528610486558455
OSTN,Osteocrin,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32444,0.0202941291292828,0.0144819766642222,-0.00809054513259277,0.0486788033911583,0.161152164783523
OSTN,Osteocrin,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32444,0.00755961347112034,0.0171060659269313,-0.025968275745665,0.0410875026879057,0.658554789816393
OSTN,Osteocrin,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32444,0.00791933756520348,0.0174221414155205,-0.0262280596092166,0.0420667347396236,0.649441096665064
OSTN,Osteocrin,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32444,-0.00417811391839889,0.0176328616698142,-0.0387385227912346,0.0303822949544369,0.81270132975133
OSTN,Osteocrin,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32444,0.0180909169198381,0.0335985347083369,-0.0477622111085023,0.0839440449481784,0.590285809003517
OSTN,Osteocrin,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32444,-0.0112083819129562,0.0332156094229193,-0.0763109763818779,0.0538942125559656,0.735791676678623
OSTN,Osteocrin,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32444,0.0557657673988879,0.0262148393950726,0.00438468218454569,0.10714685261323,0.0334290588875418
OSTN,Osteocrin,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32444,0.00161283004928453,0.0188129710703741,-0.0352605932486488,0.0384862533472178,0.931683452733033
OSTN,Osteocrin,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32444,0.00999687716965408,0.0130293913805204,-0.015540729936166,0.0355344842754741,0.442952059086848
OSTN,Osteocrin,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32444,0.00568194462263635,0.0181005942561888,-0.0297952201194937,0.0411591093647664,0.753598130202411
OSTN,Osteocrin,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32444,-0.00604191618599138,0.0110733437883245,-0.0277456700111074,0.0156618376391247,0.585337536987079
OSTN,Osteocrin,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32444,-0.011074297076264,0.0137493777618568,-0.0380230774895033,0.0158744833369753,0.420589852551697
OSTN,Osteocrin,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32444,0.00851942996081152,0.0195909588811111,-0.0298788494461662,0.0469177093677892,0.663671879885815
OSTN,Osteocrin,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,32444,-0.00565355421586539,0.0185136636862153,-0.0419403350408474,0.0306332266091167,0.760090809448841
OSTN,Osteocrin,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,32444,0.00757278531384442,0.0254995866081463,-0.0424064044381223,0.0575519750658112,0.766491948809506
OSTN,Osteocrin,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,32444,0.00259686500754898,0.0242834195279743,-0.0449986372672806,0.0501923672823786,0.914839390553981
OSTN,Osteocrin,Health and medical history,X120039#7.Location of pain during the past week_Left hip,32444,0.00631856617319432,0.014678335642736,-0.0224509716865682,0.0350881040329568,0.666866233635625
OSTN,Osteocrin,Health and medical history,X120039#8.Location of pain during the past week_Right hip,32444,0.00238136898929135,0.0136790425839817,-0.0244295544753128,0.0291922924538955,0.861800033851896
OSTN,Osteocrin,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,32444,0.0345811109219014,0.0181424091730976,-0.000978011057369749,0.0701402329011726,0.0566740359862089
OSTN,Osteocrin,Health and medical history,X120040.Fatigue severity over the past week,32451,0.0705956833003124,0.0480257348376287,-0.0235347569814398,0.164726123582065,0.141613201561952
OSTN,Osteocrin,Health and medical history,X120041.Waking unrefreshed severity over the past week,32449,0.0472581150161073,0.0486246307440714,-0.0480461612422726,0.142562391274487,0.331131376129031
OSTN,Osteocrin,Health and medical history,X120042.Cognitive symptoms severity over the past week,32448,-0.0133748939943263,0.0526416939631308,-0.116552614162063,0.08980282617341,0.799444803053758
OSTN,Osteocrin,Health and medical history,X120098.Mobility problems today,32454,0.0839856309390622,0.0563938648502512,-0.0265463441674301,0.194517606045555,0.136455989589851
OSTN,Osteocrin,Health and medical history,X120099.Self-care problems today,32454,-0.0445031194712995,0.0924889375488528,-0.225781437067051,0.136775198124452,0.630407171783139
OSTN,Osteocrin,Health and medical history,X120100.Problems doing usual activities,32454,0.0320007705688945,0.0535302583794168,-0.0729185358547625,0.136920076992551,0.54998555077582
OSTN,Osteocrin,Health and medical history,X120101.Pain or discomfort today,32454,-0.0297186068823764,0.048621221658881,-0.125016201333783,0.0655789875690302,0.541066633198688
