Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
S100G,Protein S100-G,Lifestyle factors,X1050.Time spend outdoors in summer,45687,0.0100701413015726,0.0283741846276353,-0.0455432605685926,0.0656835431717378,0.722664252809172
S100G,Protein S100-G,Lifestyle factors,X1060.Time spent outdoors in winter,42463,-0.000557378999812047,0.0323383100247901,-0.0639404666484007,0.0628257086487766,0.986248634962277
S100G,Protein S100-G,Physical activities,X1070.Time spent watching television (TV),47044,0.00628490488366531,0.0290274193689658,-0.0506088370795076,0.0631786468468382,0.8285873982783
S100G,Protein S100-G,Physical activities,X1080.Time spent using computer,42457,-0.0434589889136145,0.0304854015340359,-0.103210375920325,0.0162923980930958,0.154010642342249
S100G,Protein S100-G,Physical activities,X1090.Time spent driving,40181,-0.0417324615599911,0.0335542162522175,-0.107498725414337,0.0240338022943553,0.213616651753819
S100G,Protein S100-G,Lifestyle factors,X1160.Sleep duration,48360,-0.0222188934265104,0.0262291604501595,-0.073628047908823,0.0291902610558021,0.396944218445463
S100G,Protein S100-G,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32648,-0.00757248161511881,0.0165471130922556,-0.0400048232759397,0.0248598600457021,0.647229277370105
S100G,Protein S100-G,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32648,-0.00890527133858439,0.0147679927501282,-0.0378505371288357,0.0200399944516669,0.546517639397175
S100G,Protein S100-G,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32648,-0.0247737086689078,0.0174290365845188,-0.0589346203745647,0.00938720303674901,0.155237285746963
S100G,Protein S100-G,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32648,-0.0101782458652026,0.0178068538447985,-0.0450796794010076,0.0247231876706024,0.567614446123954
S100G,Protein S100-G,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32648,0.00282659898061748,0.0180439953810762,-0.0325396319662918,0.0381928299275268,0.87552424271179
S100G,Protein S100-G,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32648,0.0169235364922979,0.0346040196160641,-0.0509003419551878,0.0847474149397836,0.624810369372657
S100G,Protein S100-G,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32648,-0.00769281847981073,0.0337458412732612,-0.0738346673754027,0.0584490304157813,0.819680339866928
S100G,Protein S100-G,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32648,0.000324949562535237,0.026719044780163,-0.0520443782065843,0.0526942773316548,0.990296885951003
S100G,Protein S100-G,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32648,0.0348156604469802,0.0191650207566634,-0.00274778023608011,0.0723791011300404,0.0693110263429916
S100G,Protein S100-G,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32648,-0.00903563935115978,0.0132754257614917,-0.0350554738436836,0.016984195141364,0.496125518417114
