Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
TF,Serotransferrin,Lifestyle factors,X1050.Time spend outdoors in summer,45762,0.109983389121742,0.0571047199979968,-0.00194186207433124,0.221908640317816,0.0541183210485022
TF,Serotransferrin,Lifestyle factors,X1060.Time spent outdoors in winter,42539,0.231972106057228,0.0651082424555238,0.104359950844402,0.359584261270055,0.000367767987540638
TF,Serotransferrin,Physical activities,X1070.Time spent watching television (TV),47134,0.206099812332479,0.0575901152636808,0.0932231864156646,0.318976438249293,0.00034598005715027
TF,Serotransferrin,Physical activities,X1080.Time spent using computer,42515,-0.431158390740643,0.0609924030587066,-0.550703500735708,-0.311613280745579,1.61694224597915e-12
TF,Serotransferrin,Physical activities,X1090.Time spent driving,40236,-0.05446832932934,0.0668271405157281,-0.185449524740167,0.076512866081487,0.415048550560797
TF,Serotransferrin,Lifestyle factors,X1160.Sleep duration,48444,-0.199647591488139,0.0524009233109077,-0.302353401177519,-0.0969417817987604,0.000139312560320191
TF,Serotransferrin,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,32668,-0.0076394387755432,0.00839087122395843,-0.0240855463745017,0.00880666882341533,0.362613828583785
TF,Serotransferrin,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,32668,-0.00794362108838317,0.00749357622873313,-0.0226310304967001,0.00674378831993377,0.28914963882928
TF,Serotransferrin,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,32668,-0.00962389729339619,0.00888888118708565,-0.0270461044200841,0.00779830983329167,0.278978091637607
TF,Serotransferrin,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,32668,-0.00326769664880194,0.00901879140672599,-0.0209445278059849,0.014409134508381,0.717121558284806
TF,Serotransferrin,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,32668,-0.0069186403092357,0.00917197243652535,-0.0248957062848254,0.011058425666354,0.450676223572999
TF,Serotransferrin,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,32668,-0.0155996252045665,0.017616200744694,-0.0501273786641668,0.0189281282550339,0.375898263274971
TF,Serotransferrin,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,32668,-0.0130516034125969,0.0171770975018804,-0.0467187145162826,0.0206155076910887,0.44738046576218
TF,Serotransferrin,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,32668,-0.00845366009164815,0.0136309911288401,-0.0351704027041748,0.0182630825208785,0.535156873467149
TF,Serotransferrin,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,32668,0.00412216018612476,0.00970914725481998,-0.0149077684333224,0.0231520888055719,0.671165223260962
TF,Serotransferrin,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,32668,-0.0094066345144337,0.00674114948936629,-0.0226192875135916,0.00380601848472422,0.162931421110119
TF,Serotransferrin,Health and medical history,X120039#18.Location of pain during the past week_Upper back,32668,-0.0035782605458967,0.0093825013698633,-0.0219679632308288,0.0148114421390354,0.702934152261981
TF,Serotransferrin,Health and medical history,X120039#19.Location of pain during the past week_Lower back,32668,-0.00378509294519369,0.00571937153948173,-0.0149950611625779,0.00742487527219051,0.508116525194245
TF,Serotransferrin,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,32668,-0.0170647667484417,0.00711121535007545,-0.0310027488345896,-0.00312678466229379,0.016430743529653
TF,Serotransferrin,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,32668,-0.000900726637894139,0.0101945809500736,-0.0208821053000383,0.01908065202425,0.929597892746858
