Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
ARHGAP5,Rho GTPase-activating protein 5,Lifestyle factors,X1050.Time spend outdoors in summer,46692,-0.0164479452787299,0.0191938427322757,-0.0540678770339904,0.0211719864765305,0.391490153676493
ARHGAP5,Rho GTPase-activating protein 5,Lifestyle factors,X1060.Time spent outdoors in winter,44873,-0.0133115011122143,0.0213894225608889,-0.0552347693315565,0.0286117671071279,0.533726802661725
ARHGAP5,Rho GTPase-activating protein 5,Physical activities,X1070.Time spent watching television (TV),47406,0.0129518720175181,0.0190122680533458,-0.0243121733670398,0.0502159174020759,0.495729543380195
ARHGAP5,Rho GTPase-activating protein 5,Physical activities,X1080.Time spent using computer,44865,-0.0513919893287678,0.019115801471544,-0.088858960212994,-0.0139250184445417,0.00718564367912555
ARHGAP5,Rho GTPase-activating protein 5,Physical activities,X1090.Time spent driving,42670,0.00483009028078169,0.0207125254233799,-0.035766459549043,0.0454266401106064,0.815612146867237
ARHGAP5,Rho GTPase-activating protein 5,Lifestyle factors,X1160.Sleep duration,48293,-0.0253005500665525,0.017349005019107,-0.0593045999040022,0.00870349977089726,0.144765941226126
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34631,0.00768940510653984,0.0308681509200926,-0.0528121706968416,0.0681909809099212,0.80328818566677
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34631,0.00849843805266985,0.0343850634155552,-0.0588962862418183,0.075893162347158,0.804796734250519
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34631,-0.0603488833138049,0.0362233755370606,-0.131346699366444,0.0106489327388339,0.0957612794524904
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34631,-0.0314956169456159,0.0374338453551275,-0.104865953841666,0.041874719950434,0.400175503881081
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34631,-0.0184815237231376,0.0377440353311256,-0.0924598329721437,0.0554967855258686,0.624396457277272
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34631,-0.0542062583989763,0.10334600475048,-0.256764427709918,0.148351910911965,0.599941492083842
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34631,-0.065866971846925,0.119712001298723,-0.300502494392422,0.168768550698572,0.582194394983849
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34631,0.032900734215809,0.0612227791242874,-0.0870959128677943,0.152897381299412,0.591015538394414
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34631,0.0234201958536353,0.047747710692639,-0.070165317103937,0.117005708811208,0.623798807528034
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34631,0.0538664171890927,0.0311425776319879,-0.00717303496960364,0.114905869347789,0.0837402152022975
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#18.Location of pain during the past week_Upper back,34631,0.0630958278706671,0.0493828944450388,-0.033694645241609,0.159886300982943,0.201409377394007
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#19.Location of pain during the past week_Lower back,34631,0.0412896096305935,0.0233779334417178,-0.00453113991517349,0.0871103591763604,0.0774164441862142
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,34631,-0.00258703305576546,0.0317159058126599,-0.0647502084485789,0.059576142337048,0.934992202007521
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,34631,0.0254510586885369,0.0503316944547797,-0.0731990624428313,0.124101179819905,0.613109173021008
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,34631,0.0141229219997562,0.0464801551765213,-0.0769781821462256,0.105224026145738,0.761253852978408
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,34631,0.0691798051874355,0.0563353081390381,-0.0412373987650792,0.17959700913995,0.219494578750112
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,34631,0.0525782260569771,0.0563940568675173,-0.0579541254033567,0.163110577517311,0.351200077394381
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#7.Location of pain during the past week_Left hip,34631,0.0380179182214657,0.0355942098714872,-0.0317467331266492,0.107782569569581,0.285521416735656
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#8.Location of pain during the past week_Right hip,34631,-0.038808881454048,0.0348455728603379,-0.10710620426031,0.0294884413522143,0.26543545909911
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,34631,-0.0491602469329238,0.038897936530569,-0.125400202532839,0.0270797086669914,0.20634111752194
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120040.Fatigue severity over the past week,34640,0.0305397768365357,0.0333349137221436,-0.0347966540588658,0.0958762077319372,0.359624882757746
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120041.Waking unrefreshed severity over the past week,34642,0.0306219357238136,0.0329236674201912,-0.0339084524197612,0.0951523238673884,0.352362257633265
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120042.Cognitive symptoms severity over the past week,34641,-0.00682227514206913,0.0367141620750116,-0.0787820328090919,0.0651374825249536,0.852591102532289
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120098.Mobility problems today,34643,-0.0265193597148509,0.0391485667772956,-0.10325055059835,0.0502118311686485,0.498176189527709
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120099.Self-care problems today,34643,-0.0125539669414888,0.0587216922585491,-0.127648483768245,0.102540549885268,0.830719947294497
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120100.Problems doing usual activities,34643,0.0209370854787863,0.0371296366931352,-0.0518370024397587,0.0937111733973313,0.572848930064352
ARHGAP5,Rho GTPase-activating protein 5,Health and medical history,X120101.Pain or discomfort today,34643,-0.000320232955221331,0.0332613168916083,-0.0655124140627736,0.0648719481523309,0.992318572100575
