Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
CCAR2,Cell cycle and apoptosis regulator protein 2,Lifestyle factors,X1050.Time spend outdoors in summer,47311,-0.0447200163096425,0.0258053323488364,-0.0952984677133618,0.00585843509407684,0.0831164479467486
CCAR2,Cell cycle and apoptosis regulator protein 2,Lifestyle factors,X1060.Time spent outdoors in winter,45433,-0.00665475704234837,0.0288361615372993,-0.0631736336554549,0.0498641195707582,0.817489933929775
CCAR2,Cell cycle and apoptosis regulator protein 2,Physical activities,X1070.Time spent watching television (TV),48040,0.0498654818960436,0.025890935901809,-0.00088075247150194,0.100611716263589,0.0541211615878875
CCAR2,Cell cycle and apoptosis regulator protein 2,Physical activities,X1080.Time spent using computer,45420,0.0251416430403822,0.0261155446565298,-0.0260448244864163,0.0763281105671806,0.335707935334965
CCAR2,Cell cycle and apoptosis regulator protein 2,Physical activities,X1090.Time spent driving,43133,-0.0189491646850712,0.0280981124074595,-0.0740214650036918,0.0361231356335494,0.500072347097367
CCAR2,Cell cycle and apoptosis regulator protein 2,Lifestyle factors,X1160.Sleep duration,48963,-0.00238804122413416,0.0237980732730982,-0.0490322648394065,0.0442561823911382,0.920070634850652
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,34823,0.0258262388367974,0.0229278337066564,-0.0191123152282491,0.070764792901844,0.260033648625602
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,34823,-0.0330935453413641,0.025561362607211,-0.0831938160514977,0.0170067253687695,0.195481912142226
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,34823,-0.0314671723192356,0.0272078463774088,-0.0847945512189568,0.0218602065804857,0.247501593476714
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,34823,-0.0166227557032086,0.0281040018426117,-0.0717065993147275,0.0384610879083103,0.554225086417598
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,34823,0.00255844549922423,0.0284833147554721,-0.053268851421501,0.0583857424199495,0.928431076121072
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,34823,-0.0373807894142148,0.0771046951898517,-0.188505991986324,0.113744413157895,0.62783130104893
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,34823,-0.104153606766071,0.0898523802608295,-0.280264272077297,0.0719570585451548,0.246433990039714
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,34823,-0.060202080783301,0.0456640781146481,-0.149703673888011,0.0292995123214094,0.187428850880248
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,34823,0.0404156435811347,0.0354707614445583,-0.0291070488501996,0.109938336012469,0.254577179464722
CCAR2,Cell cycle and apoptosis regulator protein 2,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,34823,0.00562970274570229,0.023477668736291,-0.040386527977428,0.0516459334688326,0.810501202998277
