Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Lifestyle factors,X1050.Time spend outdoors in summer,50359,0.154223375494052,0.0381737217007466,0.079402880960589,0.229043870027516,5.36254578263028e-05
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Lifestyle factors,X1060.Time spent outdoors in winter,48160,0.099528408938344,0.0424837567756164,0.0162602456581358,0.182796572218552,0.0191526712386413
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Physical activities,X1070.Time spent watching television (TV),51163,0.125236694877887,0.0377328595680782,0.0512802901244537,0.19919309963132,0.000904720099015831
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Physical activities,X1080.Time spent using computer,48178,-0.14908628372141,0.0374036909986814,-0.222397518078826,-0.0757750493639946,6.74767952339751e-05
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Physical activities,X1090.Time spent driving,45427,-0.122328920876236,0.0411954213417785,-0.203071946706122,-0.0415858950463499,0.00298726337300249
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Lifestyle factors,X1160.Sleep duration,52234,0.0529597831333227,0.0345903386808736,-0.0148372806811897,0.120756846947835,0.125768669470473
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,36046,-0.01600097183341,0.0125475079546027,-0.0405940874244314,0.00859214375761134,0.202267257925634
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,36046,-0.00440973963239884,0.0138127310553613,-0.031482692500907,0.0226632132361093,0.749544514556004
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,36046,-0.00369369245381093,0.0146240399191168,-0.0323568106952798,0.0249694257876579,0.80060227134181
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,36046,0.0202813660336242,0.0149529711814926,-0.0090264574821013,0.0495891895493496,0.175031009227098
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,36046,0.0371690329517975,0.0153302893922698,0.00712166574294865,0.0672164001606465,0.0153510715170569
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,36046,-0.0312867352885502,0.0410185942725353,-0.111683180062719,0.049109709485619,0.445639539574918
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,36046,-0.0146929347515329,0.0477039149064325,-0.108192607968141,0.0788067384650747,0.758088890486877
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,36046,0.00227668924189772,0.0245493798002182,-0.0458400951665299,0.0503934736503254,0.926113268516225
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,36046,0.027010304459983,0.0185401834303655,-0.00932845506353349,0.0633490639834994,0.145199388250725
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,36046,0.0282674819190286,0.0125764711964946,0.0036175983738993,0.0529173654641579,0.0246277862882369
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#18.Location of pain during the past week_Upper back,36046,0.0175992112530193,0.0198503420088099,-0.021307459084248,0.0565058815902867,0.375325694048096
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#19.Location of pain during the past week_Lower back,36046,0.0150631546397056,0.00938452226329843,-0.00333050899635928,0.0334568182757706,0.108512848146917
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,36046,-0.00287946123202831,0.0128508920038941,-0.0280672095596607,0.0223082870956041,0.822711292325018
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,36046,0.0221452609435074,0.020407250940314,-0.017852950899508,0.0621434727865228,0.277883140313418
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,36046,-0.0159066591142144,0.0189021122081292,-0.0529547990421477,0.0211414808137189,0.400079158771839
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,36046,0.0372997634618445,0.0230457248544119,-0.00786985725280284,0.0824693841764919,0.105594831690477
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,36046,0.0565275888932957,0.0224955813694902,0.012436249409095,0.100618928377496,0.0119976331756947
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#7.Location of pain during the past week_Left hip,36046,0.0142026091527508,0.0143629248637558,-0.0139487235802105,0.0423539418857121,0.322774428892474
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#8.Location of pain during the past week_Right hip,36046,-0.00268365876103997,0.0140565554027252,-0.0302345073503814,0.0248671898283014,0.848594523440002
EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,36046,-0.0193785918827947,0.0155805577502241,-0.0499164850732339,0.0111593013076445,0.213624287434314
