Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
FGF19,Fibroblast growth factor 19,Lifestyle factors,X1050.Time spend outdoors in summer,50359,-0.00899065726909574,0.0152673854285944,-0.0389147327091407,0.0209334181709493,0.55594791749818
FGF19,Fibroblast growth factor 19,Lifestyle factors,X1060.Time spent outdoors in winter,48150,-0.0185040203200367,0.016990592839041,-0.0518055822845571,0.0147975416444837,0.276134487082665
FGF19,Fibroblast growth factor 19,Physical activities,X1070.Time spent watching television (TV),51167,-0.00309348315030956,0.0151262127923478,-0.0327408602233112,0.0265538939226921,0.837955718636851
FGF19,Fibroblast growth factor 19,Physical activities,X1080.Time spent using computer,48191,-0.00429606746278575,0.0151342436096468,-0.0339591849376936,0.025367050012122,0.776517578792357
FGF19,Fibroblast growth factor 19,Physical activities,X1090.Time spent driving,45454,0.0244857675159283,0.0165331454118355,-0.00791919749126936,0.056890732523126,0.138622380569485
FGF19,Fibroblast growth factor 19,Lifestyle factors,X1160.Sleep duration,52244,0.0311273393912728,0.0138730843634938,0.00393609403882484,0.0583185847437207,0.0248595353522837
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#0.Location of pain during the past week_None of the given areas,36053,-0.00574091883017667,0.0327416220625391,-0.0699144980727532,0.0584326604123999,0.860817178699544
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#1.Location of pain during the past week_Left shoulder,36053,-0.0624859151489648,0.0361061590539212,-0.13325398689465,0.00828215659672074,0.0835615752529972
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#10.Location of pain during the past week_Upper right leg,36053,-0.00695887917934648,0.0382965487857526,-0.0820201147994215,0.0681023564407286,0.8558149867204
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#11.Location of pain during the past week_Lower left leg,36053,-0.0165186390187103,0.0394603208975584,-0.0938608679779248,0.0608235899405043,0.675510388014063
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#12.Location of pain during the past week_Lower right leg,36053,-0.00710341436059076,0.0403166395391859,-0.0861240278573952,0.0719171991362137,0.860148964087836
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#13.Location of pain during the past week_Left jaw pain,36053,0.0594211099310039,0.107649002777218,-0.151570935512343,0.270413155374351,0.580972156947562
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#14.Location of pain during the past week_Right jaw pain,36053,0.024789122745226,0.126521148872888,-0.223192329045634,0.272770574536087,0.844671323888202
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#15.Location of pain during the past week_Chest pain,36053,-0.0359865736752813,0.0644086787459407,-0.162227584017325,0.0902544366667625,0.5763679528363
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#16.Location of pain during the past week_Abdomen,36053,-0.0158214990333387,0.0488711471040791,-0.111608947357334,0.0799659492906563,0.746144683106226
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#17.Location of pain during the past week_Neck pain,36053,-0.0234543662073424,0.0330936450902715,-0.0883179105842746,0.0414091781695898,0.478515952859945
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#18.Location of pain during the past week_Upper back,36053,-0.0539778306426689,0.051418924930265,-0.154758923505988,0.0468032622206505,0.293859824781311
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#19.Location of pain during the past week_Lower back,36053,0.00736146428288672,0.0246064410660232,-0.0408671602065188,0.0555900887722922,0.764820065468849
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#2.Location of pain during the past week_Right shoulder,36053,-0.0563488175231105,0.0336480363714946,-0.12229896881124,0.00960133376501893,0.0940440993834759
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#3.Location of pain during the past week_Upper left arm,36053,-0.00554951252125417,0.0533700667076915,-0.110154843268329,0.0990558182258211,0.917186635408439
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#4.Location of pain during the past week_Upper right arm,36053,-0.0489598101324596,0.0492366406352003,-0.145463625777452,0.0475440055125331,0.320071375209657
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#5.Location of pain during the past week_Lower left arm,36053,-0.0238806796687904,0.0606173050293434,-0.142690597526303,0.0949292381887226,0.693623228258544
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#6.Location of pain during the past week_Lower right arm,36053,-0.0831294911091386,0.0590528305693738,-0.198873039025111,0.032614056806834,0.159257506510384
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#7.Location of pain during the past week_Left hip,36053,-0.0161293686147488,0.0377927369565469,-0.0902031330495807,0.0579443958200831,0.669548349395053
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#8.Location of pain during the past week_Right hip,36053,-0.039575231222059,0.0368880422179724,-0.111875793969285,0.0327253315251669,0.283374434274342
FGF19,Fibroblast growth factor 19,Health and medical history,X120039#9.Location of pain during the past week_Upper left leg,36053,0.030580181371477,0.0408736016655693,-0.0495320778930389,0.110692440635993,0.454384494548681
FGF19,Fibroblast growth factor 19,Health and medical history,X120040.Fatigue severity over the past week,36059,0.0468844516493158,0.0258638992087419,-0.00380879079981831,0.0975776940984498,0.069912561542013
FGF19,Fibroblast growth factor 19,Health and medical history,X120041.Waking unrefreshed severity over the past week,36062,-0.0214556174418775,0.02545634334811,-0.071350050404173,0.0284388155204181,0.3993451086258
FGF19,Fibroblast growth factor 19,Health and medical history,X120042.Cognitive symptoms severity over the past week,36063,-0.0301787638269767,0.0281911867413086,-0.0854334898399415,0.0250759621859882,0.284427367001558
FGF19,Fibroblast growth factor 19,Health and medical history,X120098.Mobility problems today,36064,0.0632492901372983,0.029835321680979,0.00477205964257947,0.121726520632017,0.034043464961224
FGF19,Fibroblast growth factor 19,Health and medical history,X120099.Self-care problems today,36064,-0.069067387958521,0.0452726924523728,-0.157801865165172,0.0196670892481296,0.127155375149703
FGF19,Fibroblast growth factor 19,Health and medical history,X120100.Problems doing usual activities,36064,0.0529554907796994,0.0288065809455537,-0.00350540787358589,0.109416389432985,0.0660561345254465
FGF19,Fibroblast growth factor 19,Health and medical history,X120101.Pain or discomfort today,36064,0.00869762415160033,0.0255354485100601,-0.0413518549281175,0.0587471032313182,0.733406936466885
FGF19,Fibroblast growth factor 19,Health and medical history,X120102.Anxiety or depression today,36064,0.0406963838405057,0.0329120318419321,-0.0238111985696812,0.105203966250693,0.216304278650341
FGF19,Fibroblast growth factor 19,Health and medical history,X120103.Scale to indicate how health is today,36047,-0.0136097436060469,0.0107615014938094,-0.0347022865339133,0.00748279932181954,0.206029373689766
FGF19,Fibroblast growth factor 19,Health and medical history,X120104.Little interest or pleasure in doing things over the last two weeks,36049,0.0409309702612618,0.0322312915876767,-0.0222423612505845,0.104104301773108,0.204154923835474
FGF19,Fibroblast growth factor 19,Health and medical history,"X120105.Feeling down, depressed, or hopeless over the last two weeks",36048,0.05496150816074,0.0344111391967292,-0.0124843246648492,0.122407340986329,0.110263329290384
FGF19,Fibroblast growth factor 19,Health and medical history,"X120106.Trouble falling or staying asleep, or sleeping too much over the last two weeks",36053,-0.00665935157159177,0.0259964537570861,-0.0576124009354806,0.044293697792297,0.797831396052583
FGF19,Fibroblast growth factor 19,Health and medical history,X120107.Feeling tired or having little energy over the last two weeks,36057,0.024784843119735,0.0264196060105337,-0.0269975846609109,0.076567270900381,0.348211534687633
FGF19,Fibroblast growth factor 19,Health and medical history,X120108.Poor appetite or overeating over the last two weeks,36057,0.0100732017756345,0.0380286627991032,-0.0644629773106078,0.0846093808618768,0.79110579380028
FGF19,Fibroblast growth factor 19,Health and medical history,X120109.Feeling bad about self over the last two weeks,36041,0.0372196786539606,0.0362712683207666,-0.033872007254742,0.108311364562663,0.304855333216019
FGF19,Fibroblast growth factor 19,Health and medical history,X120110.Trouble concentrating over the last two weeks,36060,-0.0201435954768828,0.034460619838623,-0.0876864103605838,0.0473992194068182,0.558875040674432
FGF19,Fibroblast growth factor 19,Health and medical history,X120111.Moving or speaking slower or faster than usual over the last two weeks,36051,-0.015422803398915,0.0503842952940752,-0.114176022175302,0.0833304153774725,0.759534484298863
FGF19,Fibroblast growth factor 19,Health and medical history,X120112.Thoughts of being better off dead or of hurting self over the last two weeks,36017,0.112924805906619,0.0709691507363393,-0.0261747295366059,0.252024341349844,0.111611343715693
FGF19,Fibroblast growth factor 19,Health and medical history,"X120113.Level of difficultly depression has made to do work, take care of things at home, or get along with other people",33242,0.00138401792849547,0.0364265458937129,-0.0700120120231819,0.0727800478801728,0.969693493130475
FGF19,Fibroblast growth factor 19,Lifestyle factors,X1269.Exposure to tobacco smoke at home,49713,0.0642689490548395,0.0336018337778668,-0.0015906451497795,0.130128543259459,0.0558048583821983
FGF19,Fibroblast growth factor 19,Lifestyle factors,X1279.Exposure to tobacco smoke outside home,48481,0.0129224493493454,0.0192021033467098,-0.0247136732102058,0.0505585719088966,0.50097387265266
